n_placebo,n_drug,lm_rho,se
44,192,-0.19775757575757577,0.006562019490507027
88,384,-0.15057882192713656,0.004851071318270709
176,768,-0.09880228189889206,0.003249872244810956
352,1536,-0.07358342633130167,0.002384304550336559
704,3072,-0.04986872943899821,0.0015948819912598318
