vr,rho,u_plus,u_minus,ratio,sTE_plus,sTE_minus
0.9,-0.62,1.0609081537009721,0.17909184629902786,5.923821634680031,22.279071227720415,3.760928772279585
0.93,-0.39,0.5203840481040535,0.25961595189594655,2.0044378795052706,10.928065010185122,5.451934989814878
0.93,-0.62,1.1192995093127973,0.12070049068720273,9.27336337193094,23.505289695568745,2.5347103044312576
0.95,-0.32,0.3899999999999998,0.2500000000000002,1.5599999999999978,8.189999999999996,5.250000000000004
0.95,-0.39,0.6236664289109584,0.1563335710890416,3.9893314312876655,13.096995007130126,3.283004992869874
0.95,-0.62,1.1556304696336832,0.08436953036631678,13.697249049700183,24.268239862307347,1.7717601376926524
0.97,-0.32,0.528086520466848,0.11191347953315198,4.718703436527623,11.089816929803808,2.3501830701961914
0.97,-0.39,0.694959013639538,0.08504098636046192,8.172047895750245,14.594139286430298,1.7858607135697004
0.97,-0.62,1.1903507692639679,0.04964923073603211,23.975210725673747,24.997366154543325,1.0426338454566744
0.99,-0.32,0.6072281323269013,0.03277186767309864,18.528944959257085,12.751790778864928,0.6882092211350714
0.99,-0.39,0.7535931792539569,0.02640682074604317,28.537823106436477,15.825456764333094,0.5545432356669066
0.99,-0.62,1.2237383539249431,0.016261646075056757,75.2530431591423,25.698505432423804,0.3414945675761919
1.0,-0.32,0.64,0.0,inf,13.44,0.0
1.0,-0.39,0.78,0.0,inf,16.38,0.0
1.0,-0.62,1.24,0.0,inf,26.04,0.0
