subset,k,studies,spearman,pearson_raw,pearson_raw_lo,pearson_raw_hi,pearson_corrected,pearson_corrected_lo,pearson_corrected_hi,mean_var_mpbo,mean_var_mdrug
all comparisons,341,219,-0.21097102308976923,-0.17798301665833743,-0.33203447432822397,-0.028089081692099095,0.0006612410943093452,-0.2091515802546196,0.20199536222917255,1.0615123758406984,1.0144189755905948
change scores only (correction exact here),240,146,-0.20484918016888637,-0.23507191096909552,-0.39864909393846093,-0.07704761920794709,-0.06526875213796847,-0.3371091839680595,0.20910907577398424,0.9144341294080723,0.9331867090767949
raw endpoint scores only,101,73,-0.21035078564920648,-0.11343222456833127,-0.43605694158820263,0.15831127507260884,0.08457757430212429,-0.3266840499650135,0.46958216204858905,1.4110052386508987,1.2074461435441783
