reliability,rho_true,reps,open_label_mean,open_label_lo,open_label_hi,lm_mean,lm_lo,lm_hi,study_level_mean,study_level_lo,study_level_hi
1.0,0.0,400,0.004744417244901554,-0.20897731675530978,0.193477686590821,-0.1407512063682153,-0.28999947166355544,0.026401852699799014,-0.07524183279407161,-0.29561319277737197,0.1931948648366555
0.95,0.0,400,-0.0672179563946321,-0.2613491071114086,0.13505952590609696,-0.1452015603536332,-0.3000801310274383,0.006863970976717931,-0.11700073061267094,-0.29077653689593985,0.09759106565076689
0.9,0.0,400,-0.10040408932408158,-0.28256841956958195,0.11026425627839803,-0.13592819907717238,-0.3113041985136135,0.03918671409953856,-0.10275378352990294,-0.3418192255505689,0.18309362279511493
0.85,0.0,400,-0.14749621358881337,-0.3368800852382797,0.05997235039272995,-0.13896763058715791,-0.34569713993871304,0.08983920960867879,-0.09722701179417599,-0.35952197056674673,0.1719465609017846
0.8,0.0,400,-0.1719208111725547,-0.3777759677362545,0.037298351590292565,-0.13572122327498154,-0.36224639850656903,0.09781797048360395,-0.09824903454754201,-0.3109038722471559,0.14520300594927446
0.7,0.0,400,-0.23087884364763483,-0.4086532704025924,-0.05656369976401016,-0.13614371631855168,-0.42610334260857313,0.1365573597266739,-0.10390522909925895,-0.311954910760881,0.12828619142051978
