dropped_mean,pct_p_below_001,rho_hi,rho_lo,rho_mean,sigma_te_hi,sigma_te_lo,sigma_te_mean,tau_placebo,world
23.09,100.0,0.017699096166717377,-0.5160838916916528,-0.26325777821276614,22.320905293507373,10.803322117643622,16.36832243432891,3.0,null sigma_TE=0
24.686666666666667,100.0,0.032325370447934015,-0.47817144004398104,-0.23035220227591927,21.29683987322915,10.53699943227302,15.706824450435361,4.0,null sigma_TE=0
26.82,100.0,0.03506567635911073,-0.4307890276852395,-0.19303389218563752,19.790306614656878,10.240891905576573,14.933061865676155,5.0,null sigma_TE=0
27.18,100.0,0.12205324639364164,-0.4105907105615951,-0.16298661444785476,19.420412743995342,9.428468213101509,14.37085500118179,6.0,null sigma_TE=0
28.413333333333334,100.0,0.1627266660517487,-0.3887489521659097,-0.12509885608890106,19.16769549327813,8.816292731378676,13.763373527014737,8.0,null sigma_TE=0
,,,,-0.1866709033010587,19.44238004227194,10.18923406962832,14.777579266116927,5.0,true sigma_TE=0.0
,,,,-0.1870543508386246,20.011802187478175,10.42803073124656,15.21168644921206,5.0,true sigma_TE=4.0
,,,,-0.18671857823556337,21.828875028686568,11.305457248429105,16.55783787125453,5.0,true sigma_TE=8.0
,,,,-0.16912991814965436,25.038801811716834,13.770856005437574,19.350186916821333,5.0,true sigma_TE=13.5
,,,,-0.16747850724604138,29.31656503158321,19.52669170737204,24.58575217711758,5.0,true sigma_TE=20.0
