sd_change,tau_placebo,tau_effect,var_e_placebo,var_e_drug,artifact_rho,pct_of_reported
18.0,3.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.38461945452911306,98.62037295618283
18.0,4.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.32256395658179904,82.7087068158459
18.0,5.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.274444310690864,70.3703360745805
18.0,6.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.23730886458429748,60.84842681648653
18.0,8.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.18517994161237403,47.48203631086513
18.0,10.0,2.988596699891361,7.596533452960508,6.976256929810413,-0.15105698100311998,38.732559231569226
20.0,3.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.4061095024867455,104.13064166326807
20.0,4.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.34559305055692313,88.61360270690336
20.0,5.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.2969302002249281,76.13594877562258
20.0,6.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.25844769755597424,66.26864039896776
20.0,8.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.203241880457722,52.113302681467175
20.0,10.0,3.32066299987929,9.378436361679638,8.612662876309152,-0.1664683119798205,42.68418255892834
22.0,3.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.4245513571393469,108.85932234342228
22.0,4.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.3662081969846436,93.89953768837015
22.0,5.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.31765113108879967,81.44900797148709
22.0,6.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.2783169898499148,71.36333073074739
22.0,8.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.2206248953610478,56.57048599001225
22.0,10.0,3.6527292998672185,11.347907997632362,10.421322080334074,-0.18148848912540388,46.53551003215484
