Hyp,Correlation (mean),Correlation (cluster1),Cluster size (cluster1),Correlation (cluster2),Cluster size (cluster2),Correlation (cluster3),Cluster size (cluster3)
1/3,0.3942122059984679,0.6695598519208624,50.0,0.6801824518361054,7.0,0.0945332769738431,7.0
2/4,0.5206116244290884,0.7360592533348942,43.0,0.25325606305497483,14.0,0.6589021060178557,7.0
5,0.48475900076339307,0.7766423100080591,41.0,0.32851125718294466,20.0,0.34248067141034816,3.0
6,0.25919164057764604,0.4420558500249893,47.0,0.44211071570728094,12.0,0.15611452004676182,5.0
7,0.48658367492737475,0.8512028837281476,31.0,0.4663681985968871,25.0,0.04891707099526834,8.0
8,0.30239542047974405,0.5926337766821026,36.0,0.2564543985165606,23.0,-0.04388022401063642,5.0
9,0.20510599416677816,0.5606617115254126,47.0,0.5677187720879895,8.0,0.10566721965153676,9.0
