,08MQ,0C7Q,0ED6,0H5E,0I4U,0JO0,1KB2,1P0Y,27SS,2T6S,2T7P,3C6G,3PQ2,3TR7,43FJ,46CD,4SZ2,4TQ6,50GV,51PW,6FH5,6VV2,80GC,94GU,98BT,9Q6R,9T8E,9U7M,AO86,B23O,B5I6,C22U,C88N,DC61,E3B6,E6R3,I07H,I52Y,I9D6,IZ20,J7F9,K9P0,L3V8,L7J7,L9G5,O03M,O21U,O6R6,P5F3,Q58J,Q6O0,R42Q,R5K7,R7D1,R9K3,SM54,T54A,U26C,UI76,UK24,V55J,X19V,X1Y5,XU70
08MQ,1.0,0.7140254488736907,0.5577294596455507,0.6820403736557064,0.6738584911789821,0.4073634838321163,0.8103645372281995,0.629483953858604,0.6055428820822115,0.7298956343077038,0.6703656876012632,0.7794838769056242,0.476050922389935,0.7664538319322828,0.7824906720172946,0.7053640798808726,0.3434722138867319,-0.08369492422985306,0.7209683023473099,0.6091224270034825,0.781721015057126,0.6259078339637365,0.20683545232357342,0.5458532204864124,0.7747511137164574,0.7133631628553785,0.7380469317222855,0.7520526753988089,0.6724962786207508,0.37150799390653966,0.7247478983780199,0.6516268554560634,0.6247139740492628,0.6622183649675558,0.15552741608007997,0.6386781568542329,0.42910264181249524,0.7112584241539381,0.5304523416689989,0.1547189287878501,0.6714927061559711,0.6737357257433333,0.7652360112519537,0.7505813381424273,0.45583226584111286,0.375321493048435,0.7138743071135963,0.1671300734338106,0.42227455324408053,0.24969819483492037,0.7820260182819327,0.23420146045037,0.5877818560111383,0.6175168332272517,0.6709812177239761,0.6233151556898554,0.26089821121970636,0.7199117456448695,0.5662849811342608,0.3645391719080245,0.8592082254259888,0.686279166276724,0.7179406377231418,0.376114409695411
0C7Q,0.7140254488736907,1.0,0.5019428842273926,0.7213345729041944,0.6749679323701613,0.5407906264549592,0.6644223125899915,0.6653656984164876,0.7031218678080373,0.7977621672971495,0.7177998192747149,0.7943677680072986,0.659418168064114,0.830602699105859,0.7393567341055907,0.7311547455734203,0.36012243970363905,-0.046970110804912785,0.8583976479000036,0.6536626391522846,0.8155520773273277,0.7590392599424747,0.20225396885045396,0.5173480631197197,0.8022103385700728,0.8345670283050397,0.6965566602983069,0.7654651889614849,0.7145764195612786,0.4802280201043421,0.8391999601378957,0.7487418672349615,0.7169538246159483,0.7766328427432515,0.2763890512561666,0.7814567327624452,0.44976027161022597,0.7594623929004318,0.6597532806927351,0.22409445083587187,0.7739767345732751,0.8160609194595071,0.7918642608606028,0.833431870539381,0.35316559319155355,0.4744858641541672,0.8348324524418769,0.26186138876282894,0.4839860051944518,0.3451938470035437,0.8620924320453387,0.4258842403437381,0.5112189578119781,0.7617275671767543,0.8076746833205457,0.6152784631450541,0.2770995192772106,0.8388532736380072,0.7281761866140202,0.39072880763433065,0.6863061184152958,0.8157929659689098,0.8624637827357252,0.42764729796505135
0ED6,0.5577294596455507,0.5019428842273926,1.0,0.48778342398495844,0.47741173453200925,0.2840538364903902,0.4693274747099708,0.39088205638485757,0.36693686203699116,0.4616174720889314,0.4520405404041157,0.5557016391458659,0.33569367191941607,0.5388572539940559,0.5123761718346743,0.3765140803406178,0.19280456347222028,-0.2768880160393549,0.5027871031931144,0.6354846673077644,0.5659766014342718,0.4385886223195191,-0.007907624161252406,0.4276227139942594,0.5834761387641096,0.5844500789221396,0.5414771306023802,0.6111968646852234,0.4458518514141256,0.26690319420529435,0.5195853234350575,0.33056167064019504,0.30907313807206444,0.47319831082711983,0.16634949550802355,0.3384356581483128,0.2713762354202038,0.41673364463754525,0.32738902217201166,-0.06560765885573433,0.3385337660183549,0.45487873333288864,0.5097677967444558,0.5659466862097569,0.4294147003474124,0.2745691615551502,0.48455187686402273,0.04614382826130158,0.16628289056328374,0.03858895512393909,0.5518617914778894,0.23087931427084732,0.9412054526427621,0.3258552017724554,0.35086919167873437,0.39026748224034263,-0.04106929001057394,0.5106759782255699,0.3611951037184869,0.06605841450188306,0.5863023341572691,0.4978926914199113,0.5157198330476007,0.08253066357207414
0H5E,0.6820403736557064,0.7213345729041944,0.48778342398495855,0.9999999999999998,0.7139641563491588,0.4388247869268941,0.6702819759877133,0.6544468906965074,0.633724170894333,0.7883445839473118,0.6412499403287554,0.8441324026527294,0.48790203434268786,0.8282509284527807,0.8037845966613552,0.7522963237147887,0.3303367976671352,-0.06248036030564281,0.724848690153741,0.5845672610645802,0.8028978474279125,0.6326215043149996,0.2170627738971747,0.5703083153314763,0.8494203768952616,0.7188646323839926,0.6808735556361277,0.8055038559142176,0.6009385082879091,0.36927873700219555,0.7192099731370297,0.6739124225230806,0.7256988324667388,0.6985632786709862,0.1834998965381683,0.662650931810693,0.4571961926081519,0.7087261697353813,0.5264191354195095,0.264855378150777,0.7483432399858649,0.6639355258888503,0.7913091286590329,0.7780043866342077,0.30500983437192863,0.37495577430588567,0.7088356564112696,0.19256575435597914,0.49791523706867874,0.3597200391408831,0.8347878210828459,0.368951262748589,0.5127502522086507,0.6241007846974178,0.7201831983472347,0.5162126246404604,0.195234474969466,0.7440467988199517,0.5813057111726584,0.44816551277176236,0.7233975907251061,0.6801483316817595,0.7027787847527367,0.42617170313891684
0I4U,0.6738584911789821,0.6749679323701613,0.47741173453200914,0.7139641563491588,1.0,0.41105932524380184,0.6000667546089448,0.5872148463668355,0.5792730047089384,0.7058011246238407,0.6384657141016391,0.7736534442814627,0.4643429953198453,0.7305665884655612,0.7571500358281652,0.6800783629697504,0.28489144940104894,-0.01827004375790631,0.6702440662503351,0.5407390362005123,0.7593756737524963,0.5835615914052642,0.16848921925799754,0.5209364466988438,0.7580093874622857,0.6552811050554933,0.647274715622666,0.6895315895430149,0.5677780951055059,0.3547021733092597,0.6637001689061471,0.6218874924414831,0.6190204688735153,0.6375690701152907,0.1875482177744251,0.6026843813672973,0.3919503174221278,0.668931512640214,0.5213198671606888,0.22917202060932318,0.6584036289043486,0.6138182502150888,0.7474906040285368,0.7050356605169255,0.32506177689282373,0.363206239630987,0.6583894921215688,0.17661741463929145,0.4389061207345949,0.30416890118582224,0.7366324793599038,0.39757382050540313,0.5038295578718354,0.5753645667772802,0.6524968077483726,0.48206890895697085,0.17327726785629569,0.6824010084304831,0.5488562952265287,0.35787003946045176,0.6909285586835447,0.6315165171223824,0.670805510334405,0.3738387000741136
0JO0,0.40736348383211624,0.5407906264549592,0.2840538364903902,0.4388247869268941,0.41105932524380184,1.0,0.3478321378871737,0.40610342315101927,0.46630360075794236,0.5406063276179651,0.46275731838451306,0.4587770979646015,0.5205248946776333,0.522228516459803,0.4412170534471943,0.4506286540922416,0.1911111513488565,-0.05507011681633436,0.5852921186243008,0.4181183348055693,0.5012605777639434,0.5123806178932887,0.07148601789573927,0.33204389621231967,0.4674593217674859,0.5676400904456727,0.45897528528110504,0.4321870591292685,0.5244229223391722,0.3679021814332826,0.5793392279506252,0.48242009403636854,0.46413234018150407,0.5515778222939346,0.2131038697182994,0.545125248195678,0.24553915197631088,0.46184307634625954,0.48138907173568707,0.09598387815035297,0.49711414528507675,0.5694836236627028,0.49458988241637736,0.5495912014300219,0.19560622626048657,0.33422713755264255,0.565556771365032,0.2181149002585497,0.2467694159520707,0.16780298175624467,0.5427826902155248,0.2830162671739971,0.2806371970455285,0.5120903240490565,0.5440404976838555,0.42866432448300246,0.11784617655041538,0.5727118613292224,0.552462260760584,0.18696843258191645,0.40866933367672015,0.5656696500551857,0.6014435605379895,0.21148124513423838
1KB2,0.8103645372281995,0.6644223125899916,0.4693274747099709,0.6702819759877133,0.6000667546089448,0.3478321378871737,0.9999999999999998,0.654651338340673,0.5539366861904192,0.6537287618729416,0.611820324860836,0.7325427027423145,0.4244265998985023,0.71225312909647,0.7251278258459086,0.6501298894019589,0.3889376771878385,0.06972814905164872,0.6733272940083058,0.5279572467928731,0.7149505632674245,0.5801355511260843,0.3122646188676889,0.48205612035605816,0.7340097605504027,0.6475598045605735,0.6516796073350363,0.7231339742541864,0.6383252663883797,0.34501221150585437,0.6504777362349724,0.6378345280503829,0.599553993623392,0.5973155246797704,0.05648604726336963,0.597829782495015,0.4551684564589008,0.6842432382259053,0.49138481075783796,0.36435323478841414,0.6494892649741917,0.61822261665656,0.6929640169220987,0.6859487909792551,0.36215174131207284,0.3516201519120844,0.6699483446461958,0.1612807164785322,0.5793886242296274,0.432333024647509,0.7305977998636147,0.23437921265974448,0.48761208258019556,0.57668706628879,0.6439543000102246,0.6697493060433475,0.2608097612349657,0.662217618415633,0.5116257619156294,0.47436977446991324,0.7628572004659826,0.6226311257959848,0.6575995401670947,0.5111796914776694
1P0Y,0.629483953858604,0.6653656984164876,0.39088205638485757,0.6544468906965073,0.5872148463668355,0.4061034231510193,0.654651338340673,1.0,0.5582723711212684,0.6907024544543693,0.5965510851317563,0.7300932301731247,0.4702301794876112,0.729660027923365,0.6902762261932133,0.6660348107662591,0.3593810181709154,0.10587252678364743,0.6951321638071858,0.4918796316544457,0.7203013122282466,0.6019470718775488,0.34034232637663947,0.4588028743324169,0.7144514510404442,0.6583692639205105,0.6706018545771163,0.6880751803327054,0.6929545049456265,0.30153417039062397,0.6939550680030077,0.6510407590867724,0.6433193377666604,0.649291463116216,0.11797713118269004,0.6263439071572166,0.4572429158474714,0.661091052460902,0.4862707787014298,0.40352180567676227,0.7030106736068361,0.6528410344076254,0.6899200722300044,0.713787889666986,0.2192161469785679,0.367193663839577,0.7123730579249383,0.2546614701968441,0.6247431916835136,0.49348803379312994,0.7424391021917798,0.26814544734231277,0.37400785579211293,0.6184748641787066,0.6932914660225313,0.5482580242986363,0.2757567336116036,0.713539673034014,0.5457671973509276,0.543004268190991,0.6185878356922176,0.6377462863831769,0.6571297609274049,0.541114861986297
27SS,0.6055428820822115,0.7031218678080373,0.36693686203699116,0.633724170894333,0.5792730047089384,0.4663036007579424,0.5539366861904192,0.5582723711212684,1.0,0.7884907034846451,0.6869848221182405,0.7171409610940687,0.5865573207989956,0.7676954351205652,0.6226453264245654,0.6847154138702263,0.3219006449912476,-0.04498477690497767,0.7644101027977882,0.5171317842276796,0.7405225594256396,0.7548661989924411,0.16286215500004445,0.4588627005686518,0.7145005700667482,0.7235571712793253,0.596628615562468,0.6555257260520896,0.6091576765044738,0.3963401791172579,0.760883255478345,0.7485158863210447,0.7159072938412057,0.7457450534704699,0.2909339719642635,0.7460607967355558,0.4972724137794144,0.7354299685030663,0.6981269348847335,0.16792179858048656,0.7900910573128566,0.7781031318574655,0.7237852527734808,0.7500654323289829,0.28383540532560947,0.41418831890633,0.7775585363031169,0.2552013378786207,0.3868493510960035,0.2513538513719185,0.7664489092301112,0.3545805089044363,0.3804209102924553,0.81017974915267,0.8087819787341374,0.4833894219606186,0.3268249080631188,0.7474067345802121,0.7466247991292339,0.27199071343177184,0.5855849455342682,0.7461557659434207,0.7374531118856613,0.38208256232655935
2T6S,0.7298956343077039,0.7977621672971495,0.4616174720889314,0.7883445839473119,0.7058011246238406,0.540606327617965,0.6537287618729416,0.6907024544543693,0.7884907034846452,1.0,0.7400091862101561,0.8557041519062587,0.6173242346820261,0.9412923177036868,0.7474887986725464,0.8312298159344798,0.3480302319049254,-0.06692582246083399,0.8486475936563379,0.6479390977991621,0.8919593899822872,0.7309556982167509,0.19479385073242603,0.6039806372809856,0.8538845313225789,0.8060229316936222,0.7620277490323886,0.7789845341354936,0.7468509754752553,0.438148948461537,0.8438103710883412,0.80960496177952,0.8780810311910187,0.8122921652022196,0.2648350431832124,0.8214873186820286,0.4975382930180336,0.8169781504806819,0.6743684322961961,0.20552706173187976,0.9223720388740747,0.8048169299965903,0.8184741625791778,0.9086215307835207,0.31033230009308316,0.44157837372225206,0.8382483169917684,0.27586155514842003,0.4529351549553496,0.3130027106961671,0.9209773636836927,0.3614539109378345,0.47603760201244294,0.8137585123356856,0.8995852029861384,0.5860127498050426,0.29519164319019864,0.8943450992135319,0.7569430099475184,0.39625413513826613,0.7188505066628595,0.813226185936483,0.8227910922562969,0.4087107474835983
