,08MQ,0C7Q,0ED6,0H5E,0I4U,0JO0,1KB2,1P0Y,27SS,2T6S,2T7P,3C6G,3PQ2,3TR7,43FJ,46CD,4SZ2,4TQ6,50GV,51PW,6FH5,6VV2,80GC,94GU,98BT,9Q6R,9T8E,9U7M,AO86,B23O,B5I6,C22U,C88N,DC61,E3B6,E6R3,I07H,I52Y,I9D6,IZ20,J7F9,K9P0,L3V8,L7J7,L9G5,O03M,O21U,O6R6,P5F3,Q58J,Q6O0,R42Q,R5K7,R7D1,R9K3,SM54,T54A,U26C,UI76,UK24,V55J,X19V,X1Y5,XU70
08MQ,1.0,0.7090509779881276,0.3733243601425607,0.7228698405631726,0.6833507192797005,-0.5669449056956212,0.8296713984662025,0.19764631109921044,-0.4015461085422674,0.5724414137868369,0.5295252230953876,0.802977154385318,0.4764604045052608,0.7711104747309309,-0.6981876294117021,-0.729595767286649,0.5860295401379644,0.7045950540075765,0.7094747485492837,0.532014544639223,0.8021195899691851,0.5971864826660779,0.07949404938303246,0.45863290161787973,0.10272314378573091,0.708701063515357,0.04727726831642054,0.7233773589898909,0.30095722374367223,0.4217613481451097,0.7166707018153399,0.7566740449030108,0.7371020663426828,0.6089911273309532,-0.24703364865785551,0.3956421571419386,0.31784214487759493,0.7747415230440204,0.37684578069002755,0.176152772479469,0.776436451333197,-0.5744900027305304,0.7432111392025055,-0.7385603099974594,0.5553544687335389,0.38797836800574576,0.6551933842419693,-0.0614973986545863,-0.5677764926926587,0.31680775658818167,0.7832448710543886,0.6748697125992087,0.4108828063651544,0.6619741901185897,0.7405637919535094,-0.699138387342325,0.1794296934246849,0.7200968807225188,0.4304197682201338,0.022695597497178616,0.8592213954698746,0.6736366447672402,0.6223815691869657,0.5408018606368961
0C7Q,0.7090509779881276,0.9999999999999999,0.4192228834958303,0.6876029503355622,0.6290576901852958,-0.6957442708405184,0.6560285300561101,0.10269654539564678,-0.5041460847966589,0.6229621463317677,0.5500377798852664,0.7601373729377094,0.5858536319551867,0.8107551527809548,-0.6462830985639979,-0.6767548466681698,0.6142350739420408,0.6955420023354119,0.819617249808185,0.5727623573493164,0.762340963731954,0.6993653531536542,0.11026447906974542,0.4634532084066843,-0.013199542725111889,0.803759114774604,-0.06887505498882532,0.7177315645663945,0.2678318545352541,0.5257163853935835,0.8114641632229508,0.7153970917221386,0.7155777496633421,0.6999764724770001,-0.1791553216637924,0.25842905651262027,0.3364351737902396,0.7280889873457583,0.46519718401436794,0.2527933145215816,0.7648628164768528,-0.6871748572195925,0.728184183908084,-0.8149335288977466,0.432736580570329,0.4887444273605173,0.7659854957576882,-0.13866925008534522,-0.5429995286264779,0.3819168091180621,0.8271383747558365,0.6941399531520517,0.4604272557186001,0.7554665600748859,0.7828416920754324,-0.6833133859054039,0.18835386947149527,0.8136035214090513,0.5704208557828861,-0.023490491207028605,0.6760560381589443,0.7794356088963867,0.7657087315695053,0.567112358173702
0ED6,0.3733243601425607,0.4192228834958303,1.0,0.4354168967945065,0.4394667718877079,-0.35035927464485966,0.2775354189782969,-0.1407925481204264,-0.3414280028475353,0.39819297611173504,0.3485821270524376,0.5270078580659522,0.2808311679630446,0.5060475942041072,-0.3256493699581565,-0.32759323175845445,0.43253130712744253,0.49622575791064627,0.4597340024546119,0.5499060357227384,0.5103120859668281,0.35280042569712444,0.039591111771147346,0.3683043056386384,0.04860883538282354,0.4835451921363217,-0.14098209698248662,0.5474641772571575,-0.05359588396844915,0.32063468058775185,0.4468375717377421,0.3146412967426095,0.2947690653301429,0.3949472790147691,-0.22409914909790984,0.21715765831213846,0.22291034674758517,0.4030729709523841,0.21289717286968457,0.2289568930142662,0.3269930497063506,-0.3322023463957511,0.4567668669018782,-0.5174809623666468,0.16491685093784914,0.2577282387225635,0.39994145723973096,-0.02347167062200262,-0.28710944108444736,0.2671762800073734,0.4944250928997019,0.49774612489569786,0.9179602020836847,0.2997034111971457,0.3141319171495123,-0.3114301047684061,-0.12215432096168952,0.4641159097943039,0.27174661222603,-0.1257714068378758,0.4264325257757774,0.4163467108304687,0.40176259274475196,0.2862930513133261
0H5E,0.7228698405631725,0.6876029503355622,0.4354168967945065,0.9999999999999999,0.6681438389168881,-0.5352274694316884,0.6879127225181879,0.07736765796605499,-0.4444641452428763,0.5780474263275146,0.46651941681938763,0.81532274396158,0.43166635440707773,0.8159924910629647,-0.6861639784146946,-0.6993449555288528,0.6165686808850167,0.7391327305801051,0.6962066347295203,0.5824744260467684,0.7686650971053761,0.5766378442556576,0.0968761885944249,0.43510377281100787,-0.07734368582268508,0.724866387664882,-0.13093137104058064,0.7658839531340731,0.15956343727842226,0.4194891849895136,0.700570877618393,0.6514136851040676,0.7137191390759596,0.5764985467151684,-0.19003377066480553,0.32894877226321945,0.31616708091154816,0.6801218150832912,0.30667649386864476,0.285489177075485,0.7202559178766604,-0.5355766507551784,0.8125640725650475,-0.7731182978629475,0.3819142670705058,0.39306675027157284,0.6491383455270401,-0.056602214184928785,-0.5320543394350881,0.42797186005915744,0.82292552061933,0.7412678204748893,0.5034840724396252,0.615758292206949,0.6829380867204841,-0.61367878638208,0.1706363247905468,0.7230069883756942,0.39228202662401834,-0.05138074136352533,0.7720408040728153,0.660514509581865,0.5827369631173671,0.5537902237772971
0I4U,0.6833507192797004,0.6290576901852958,0.4394667718877079,0.6681438389168881,1.0,-0.522535001756907,0.5834490580774213,-0.010821893252466248,-0.3985447901860825,0.5583831835165255,0.49757671361155015,0.7751346274156623,0.39173862802001846,0.699700449836392,-0.6363719321083388,-0.645475026454146,0.5479420085847104,0.6827239288582264,0.6331069923816947,0.524166227366579,0.7358684299557274,0.5085444220412961,0.07540837560107971,0.4278675114234759,0.025287125719623587,0.6291273006954357,-0.05383928292256379,0.6794942529403809,0.11124949636335234,0.40191189992124027,0.6327704682968849,0.620097590940247,0.6116461021092706,0.5442553785109469,-0.2005706278222342,0.284897083147447,0.29831836662281697,0.6667210294611016,0.33044095406667523,0.2822478101997386,0.6388235795764361,-0.4966955036413751,0.7249417075366127,-0.6771522826760256,0.4076599172809634,0.36680941729609196,0.5690545787591754,-0.05117789346846984,-0.4720129176336772,0.3670560427720439,0.6906717570775053,0.6312389629907229,0.49716443872602534,0.562330158835059,0.6152147762908957,-0.523075807214802,0.088877799824639,0.6446504343616913,0.4013914976193833,-0.031522201993680124,0.6911732934200001,0.6034543361790325,0.5355443058511036,0.5030060056061807
0JO0,-0.5669449056956212,-0.6957442708405184,-0.35035927464485966,-0.5352274694316884,-0.522535001756907,1.0,-0.48546706976897835,-0.05701622040815668,0.5367586579409495,-0.8133175713913414,-0.6133040772099405,-0.6402706803566117,-0.6505031700370985,-0.7414134247319873,0.5029353089636235,0.5882802755148967,-0.6006319979047267,-0.6243215897728607,-0.8271397321172246,-0.5294258180973558,-0.6843426024063785,-0.6599752896745539,-0.05727480503103052,-0.3935633076667388,0.010307990832332012,-0.7889276280100602,-0.0426795362530441,-0.5758559021566689,-0.39851325442417806,-0.5738993620638769,-0.8220636366119748,-0.6425940096632465,-0.6909978275419528,-0.8253120242050878,0.017545559988032408,-0.03985849704803259,-0.2915088406542007,-0.6397171128624846,-0.5878276448294093,-0.2597870733036807,-0.7257171733214441,0.7006834477924638,-0.6004787369213545,0.7855453438095522,-0.4205162053635494,-0.49946863932009655,-0.7692724172823117,0.2724814681439042,0.44441998337611366,-0.28946074804229344,-0.7433866216843733,-0.5163024769177851,-0.37751270438482337,-0.7508143684884344,-0.7694392188884401,0.6335030558785497,-0.12428121981641001,-0.8250430012207338,-0.7798942068219309,0.005616034050401076,-0.5437371434867708,-0.7808907977252398,-0.8299124146092998,-0.5068302426816086
1KB2,0.8296713984662025,0.6560285300561101,0.2775354189782969,0.6879127225181879,0.5834490580774213,-0.4854670697689784,1.0,0.2349472811592923,-0.3070490283786395,0.42610577505596564,0.46071761816155665,0.7125262744368254,0.4365736837052424,0.6996348261444407,-0.6351829344992397,-0.6894251800580439,0.5404142438125648,0.6402939329718481,0.6468028178046995,0.49513193485095797,0.7249280666982413,0.5518394887760499,0.11211823196260337,0.3595860186590162,0.03840267592362989,0.6693564997514868,0.017652943771570857,0.6941578094808036,0.33859011299334907,0.36948009527063,0.653130607799622,0.7291507398714188,0.688458323787511,0.5193734978708748,-0.2447140539566409,0.4156975139585024,0.3060185087872312,0.7208008889095661,0.30613552625130525,0.08118297325495662,0.7196616311968993,-0.5422263373502286,0.7000461215763929,-0.6708795413567351,0.6435394381357313,0.36243713760249163,0.6234825618524066,-0.055833556551749625,-0.580045105045017,0.295754571768363,0.7353313850994817,0.6329710023284802,0.3090244068007172,0.6296242119516952,0.6926057926344453,-0.7364825207293852,0.23600874528570706,0.6509707184836047,0.35726186656868897,0.02874684503949311,0.7884923377210339,0.6215444982043945,0.572648251564259,0.5104224467532812
1P0Y,0.19764631109921044,0.10269654539564678,-0.1407925481204264,0.07736765796605499,-0.010821893252466248,-0.05701622040815669,0.2349472811592923,1.0,0.07998349168402907,-0.0821004687949526,-0.006929850538808745,0.10231089952643488,0.14838555701251635,0.04415022532491571,-0.17094505354200246,-0.13606823111434255,-0.11750852475247946,-0.10418298487038813,0.08005301159321275,-0.1202864783021272,0.11142318882553785,0.11366512211741697,-0.010748045746385536,0.009449726041820547,0.029854865036427113,0.07134955268938799,0.19370336555482726,-0.0003774864663888899,0.5620753529437138,-0.10381928752635833,0.09604675524241299,0.14295753702772312,0.09654265654339454,0.10287504675955632,0.23352636155058917,-0.12430883067372368,-0.10501607820981809,0.09177704879873273,0.02125159063177575,-0.14081645172939597,0.1326383920100966,-0.0749727873973881,0.06146210976874424,-0.06470772152298548,0.1387577998659527,0.02671022148016118,0.13499583871592005,-0.1005744490921376,-0.2068661247189063,-0.06591187174347388,0.06473280677032367,-0.12357495272066689,-0.20431676063880652,0.11148494283832261,0.1605748047976917,-0.21947077777551816,0.3012791469686052,0.10448319194885293,0.014039263568925148,0.12506481093310845,0.1759115077719228,0.07323286154572987,0.1403527497641237,0.005695766440021787
27SS,-0.4015461085422674,-0.5041460847966589,-0.3414280028475353,-0.4444641452428763,-0.39854479018608246,0.5367586579409496,-0.30704902837863957,0.07998349168402907,1.0,-0.6031451152443592,-0.4934710405391706,-0.4868392837852218,-0.35421878016107394,-0.5599455233359023,0.3771355295561285,0.4596893741978496,-0.5000741148487006,-0.5120020703991638,-0.5624490668012545,-0.44763974569221354,-0.4942906647399857,-0.5100105768904283,-0.044129942482908274,-0.385469817084877,0.12895761877470888,-0.5180206024971984,0.12730868793920863,-0.4806814525076069,-0.036639202984441975,-0.38629018993285263,-0.5308486813958754,-0.4742699004740352,-0.4967731510773286,-0.4860981743896616,0.08164509740366693,-0.12592179672815654,-0.19720312268601536,-0.4793952691192667,-0.4432875114120347,-0.2866123536796839,-0.5106540602240026,0.44067744491271604,-0.4569068871032699,0.5447675782477619,-0.2606618402911286,-0.3056963622511723,-0.47155632488014115,0.10075070477089736,0.31446449958229966,-0.3137148969185708,-0.5505088293975064,-0.4807567365515667,-0.38418933342172584,-0.5486039774429657,-0.519454214648721,0.39463494513756503,0.00785876800090613,-0.540697108452616,-0.5498416922813701,0.01939634415396871,-0.377514755425447,-0.5391829559292601,-0.4776981170277472,-0.40364279314006196
2T6S,0.5724414137868369,0.6229621463317677,0.39819297611173504,0.5780474263275146,0.5583831835165256,-0.8133175713913414,0.4261057750559657,-0.0821004687949526,-0.6031451152443593,1.0,0.64964465042021,0.6715241005039989,0.48101027307217636,0.798597181501253,-0.47026916400605295,-0.6216884736206365,0.661545139985982,0.6848454834654065,0.7316944816616744,0.5779010040783974,0.7151480623825113,0.5726007402746428,0.033875646792065305,0.4217001749407817,-0.02436641152887874,0.679221951815653,0.02236277844973936,0.5982111139281132,0.19840766792645287,0.47288307165033616,0.71749904888042,0.661187418172313,0.7700378316060494,0.7328138773456939,-0.06555412368899541,0.08928369219291182,0.29039270276283075,0.6763246837219735,0.5670435203468925,0.3302708483149143,0.7787331946668629,-0.5807012095209995,0.6067285971300997,-0.777975096767965,0.41944980291485406,0.39483977762225625,0.6410367027193136,-0.159901336047777,-0.4050625098891549,0.2988920326299603,0.7538193555856258,0.5474215836099049,0.45122148437616716,0.6837482673108372,0.7554202433171538,-0.5285153122174604,0.04003762352935527,0.7677005448287351,0.6816877935421405,-0.04151991533955406,0.5463399959242717,0.6932378587777395,0.6674319586690947,0.49291372767712016
