,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,4954_R7D1,R7D1,1,False,,False,3615.0,2.456225633621216,8.76911449432373,1.0,0.0
1,4954_R7D1,R7D1,2,False,,False,2703.0,2.692257881164551,5.982654094696045,1.0,0.0
2,4954_R7D1,R7D1,3,False,,False,3615.0,2.456225633621216,8.76911449432373,1.0,0.0
3,4954_R7D1,R7D1,4,False,,False,2703.0,2.692257881164551,5.982654094696045,1.0,0.0
4,4954_R7D1,R7D1,5,False,,False,14008.0,2.2086069583892822,7.614216327667236,1.0,0.0
5,4954_R7D1,R7D1,6,False,,False,230.0,3.655094623565674,9.33659839630127,1.0,0.0
6,4954_R7D1,R7D1,7,False,,False,13903.0,2.279003143310547,9.908113479614258,1.0,0.0
7,4954_R7D1,R7D1,8,False,,False,706.0,3.9164247512817383,7.529176235198975,1.0,0.0
8,4954_R7D1,R7D1,9,False,,False,0.0,0.0,0.0,0.0,0.0
