,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,5653_C22U,C22U,1,False,,False,7894.0,3.100032329559326,6.6902055740356445,1.0,0.0
1,5653_C22U,C22U,2,False,,False,3882.0,3.1000802516937256,6.036312580108643,1.0,0.0
2,5653_C22U,C22U,3,False,,False,7894.0,3.100032329559326,6.6902055740356445,1.0,0.0
3,5653_C22U,C22U,4,False,,False,3882.0,3.1000802516937256,6.036312580108643,1.0,0.0
4,5653_C22U,C22U,5,False,,False,16828.0,3.1000499725341797,7.078949928283691,1.0,0.0
5,5653_C22U,C22U,6,False,,False,3317.0,3.1000287532806396,7.483431339263916,1.0,0.0
6,5653_C22U,C22U,7,False,,False,14283.0,3.10018253326416,8.895102500915527,1.0,0.0
7,5653_C22U,C22U,8,False,,False,2572.0,3.100368022918701,7.188220500946045,1.0,0.0
8,5653_C22U,C22U,9,False,,False,891.0,3.101149797439575,4.7604289054870605,1.0,0.0
