,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,4812_C88N,C88N,1,False,,False,3505.0,3.2546443939208984,7.241908550262451,1.0,0.0
1,4812_C88N,C88N,2,False,,False,3891.0,3.254603862762451,5.49155330657959,1.0,0.0
2,4812_C88N,C88N,3,False,,False,3505.0,3.2546443939208984,7.241908550262451,1.0,0.0
3,4812_C88N,C88N,4,False,,False,3891.0,3.254603862762451,5.49155330657959,1.0,0.0
4,4812_C88N,C88N,5,False,,False,8490.0,3.2545461654663086,7.011656284332275,1.0,0.0
5,4812_C88N,C88N,6,False,,False,0.0,0.0,0.0,0.0,0.0
6,4812_C88N,C88N,7,False,,False,7880.0,3.2546355724334717,8.27742862701416,1.0,0.0
7,4812_C88N,C88N,8,False,,False,546.0,3.260014057159424,6.045825481414795,1.0,0.0
8,4812_C88N,C88N,9,False,,False,0.0,0.0,0.0,0.0,0.0
