,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,4967_P5F3,P5F3,1,False,,False,55531.0,3.100051164627075,8.860422134399414,1.0,0.0
1,4967_P5F3,P5F3,2,False,,False,68003.0,3.1000285148620605,9.401517868041992,1.0,0.0
2,4967_P5F3,P5F3,3,False,,False,55531.0,3.100051164627075,8.860422134399414,1.0,0.0
3,4967_P5F3,P5F3,4,False,,False,68003.0,3.1000285148620605,9.401517868041992,1.0,0.0
4,4967_P5F3,P5F3,5,False,,False,29652.0,3.1000025272369385,8.850305557250977,1.0,0.0
5,4967_P5F3,P5F3,6,False,,False,26340.0,3.1000585556030273,8.337067604064941,1.0,0.0
6,4967_P5F3,P5F3,7,False,,False,74179.0,3.1000614166259766,10.541666984558105,1.0,0.0
7,4967_P5F3,P5F3,8,False,,False,66996.0,3.1000773906707764,9.437040328979492,1.0,0.0
8,4967_P5F3,P5F3,9,False,,False,302.0,3.100924015045166,5.048752307891846,1.0,0.0
