study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
Schweizer1994 (VEN 600A-301 FDA);1994.0;HAMD21;6.0;25.39;1;venlafaxine;SNRI;64.0;7.884666407619699;13.92;7.884666407619699;13.92;78.0;7.884666407619699;9.45
Lecrubier1997;1997.0;MADRS;8.0;24.9;1;venlafaxine;SNRI;72.0;8.216628821980935;16.93;8.216628821980935;16.93;76.0;8.216628821980935;14.07
Cunningham1997 (VEN XR 208 - FDA);1997.0;HAMD21;8.0;24.4;2;venlafaxine|venlafaxine;SNRI;179.0;8.45;12.555;8.489862481704723;12.58391061452514;99.0;8.45;9.3
Thase1997 (VEN XR 209 FDA);1997.0;HAMD21;8.0;24.53;1;venlafaxine;SNRI;91.0;10.07674842387779;11.66;10.07674842387779;11.66;100.0;10.07674842387779;6.78
Rudolph1998 (VEN 600A-203 (FDA);1998.0;HAMD21;6.0;26.0;3;venlafaxine|venlafaxine|venlafaxine;SNRI;231.0;9.608896932596586;11.166666666666666;9.60705106561038;11.17878787878788;92.0;9.608896932596586;6.7
Learned2012a Study1 (EUCTR2005-003401-87, SND103285, NCT00448058);2012.0;HAMD17;8.0;;1;venlafaxine;SNRI;133.0;6.36;14.0;6.36;14.0;126.0;7.68;12.7
Higuchi 2014(NCT01441440);2016.0;HAMD17;8.0;;2;venlafaxine|venlafaxine;SNRI;351.0;6.557239490002497;10.565;6.550559627128924;10.563333333333333;184.0;6.511036783800257;9.25
Rickels2009 (GNSC-04-DP-02 FDA) (NCT00285376);2009.0;HAMD17;8.0;24.8;1;vilazodone;atypical;198.0;8.44;10.4;8.44;10.400000000000002;199.0;8.46;8.6
Khan2011 (CLDA-07-DP-02 FDA) (NCT00683592);2011.0;HAMD17;8.0;25.0;1;vilazodone;atypical;231.0;10.64;10.7;10.64;10.7;232.0;10.66;9.1
FDA 244 (EMD 68 843-009);;HAMDunspecified;8.0;24.4;1;fluoxetine;SSRI;89.0;7.4;9.1;7.3999999999999995;9.1;95.0;7.8;9.3
FDA 245 (EMD 68 843-010);;HAMD17;8.0;23.8;2;fluoxetine|vilazodone;SSRI|atypical;196.0;7.405978878165124;10.399999999999999;7.408463628400515;10.357142857142858;99.0;7.95989949685296;10.2
Mathews2015 (NCT01473381);2015.0;MADRS;8.0;31.0;3;citalopram|vilazodone|vilazodone;SSRI|atypical;852.0;9.96;16.7701252236136;9.956836776512228;16.769927855745088;281.0;9.96;14.3112701252236
Pomara2013;2013.0;MADRS;8.0;;1;vilazodone;atypical;255.0;9.96;16.1;9.96;16.1;253.0;9.96;11.0
Alvarez2012 (11492A, NCT00839423);2012.0;HAMD24;6.0;29.9;3;venlafaxine|vortioxetine|vortioxetine;SNRI|atypical;319.0;9.240175538309405;17.466666666666665;9.213052144433599;17.46269592476489;105.0;9.222255689363639;12.23
Jain2013 (303, NCT00672958);2013.0;HAMD24;6.0;32.7;1;vortioxetine;atypical;292.0;11.10720486891279;14.61;11.10720486891279;14.61;286.0;11.1954358557405;13.87
Mahableshwarkar2013 (304, NCT00672620);2013.0;HAMD24;8.0;29.8;2;duloxetine|vortioxetine;SNRI|atypical;302.0;9.135551625020462;12.275;9.198327191022877;12.259172185430465;149.0;9.240362601110412;10.5
Baldwin2012 (11984A, NCT00635219);2012.0;HAMD24;8.0;31.3;3;duloxetine|vortioxetine|vortioxetine;SNRI|atypical;455.0;9.892598103030297;15.199999999999998;9.87790553687473;15.196043956043953;145.0;9.874107554609681;13.3
Henigsberg2012 (305, NCT00735709);2012.0;HAMD24;8.0;32.1;2;vortioxetine|vortioxetine;atypical;251.0;8.389052684917795;15.825;8.383622222448546;15.813705179282868;128.0;8.349516872250753;11.3
Katona2012 (12541A, NCT00811252);2012.0;HAMD24;8.0;29.2;2;duloxetine|vortioxetine;SNRI|atypical;265.0;8.056442943396535;15.85;8.12897414791937;15.810943396226413;129.0;7.950471684120383;10.8
Boulenger2014 (13267A, NCT01140906);2014.0;MADRS;8.0;31.8;3;duloxetine|vortioxetine|vortioxetine;SNRI|atypical;446.0;9.510641601168054;19.056666666666665;9.62699719108279;19.041390134529145;158.0;9.553051868382166;11.7
Jacobsen2015 (316, NCT01163266);2015.0;MADRS;8.0;32.3;2;vortioxetine|vortioxetine;atypical;246.0;9.299044979636196;13.685;9.308221667824377;13.679105691056913;139.0;9.514389680899138;10.77
Mahableshwarkar2015a (315, NCT01153009);2015.0;MADRS;8.0;31.9;3;duloxetine|vortioxetine|vortioxetine;SNRI|atypical;340.0;9.41790608961741;15.589999999999998;9.451391816029403;15.597764705882351;129.0;9.472419120794855;12.83
Mahableshwarkar2015b (317, NCT01179516);2015.0;MADRS;8.0;34.1;2;vortioxetine|vortioxetine;atypical;236.0;11.677649670631093;13.51;11.659617581791618;13.516355932203389;126.0;11.707645963215661;12.87
NCT01355081(japicCTI-111492, U1111-1120-9277);;HAMD17;8.0;20.9;2;vortioxetine|vortioxetine;atypical;240.0;6.386252649588264;9.05;6.393286979128149;9.04575;122.0;6.3842186679342365;8.4
NCT01255787 (EUCTR2010-022257-41, Lu AA21004/CCT-002, U1111-1117-6595, JapicCTI-101344, CTRI/2011/08/001963);;MADRS;8.0;31.6;3;vortioxetine|vortioxetine|vortioxetine;atypical;438.0;9.592466714055007;15.37;9.585580743632613;15.380730593607307;150.0;9.589752342996142;13.99
McIntyre2014 (NCT01422213);2014.0;MADRS;8.0;31.62;2;vortioxetine|vortioxetine;atypical;355.0;8.32575883144882;16.555;8.373781726664768;16.574619718309858;165.0;8.220948850345684;10.85
Mahableshwarkar2015c (NCT01564862);2015.0;MADRS;8.0;31.4;2;duloxetine|vortioxetine;SNRI|atypical;362.0;9.416242810275104;15.3;9.422975480409248;15.31657458563536;167.0;9.045993588324059;12.5
