study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
Goldstein2004a (HMAT - Study Group A, ID#4091);2004.0;HAMD17;8.0;17.47;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;258.0;6.395645991124925;6.63;6.397745420213175;6.632209302325582;89.0;6.415107169798491;4.78
Goldstein2004b (HMAT  - Study Group B, ID#4091);2004.0;HAMD17;8.0;18.63;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;254.0;7.453058744336147;7.416666666666667;7.488826739929315;7.426062992125983;88.0;7.598473530913957;4.99
Detke2002a (HMBH -  Study Group A);2002.0;HAMD17;8.0;21.5;1;duloxetine;SNRI;121.0;7.699999999999999;10.91;7.699999999999999;10.910000000000002;115.0;7.3994256533868885;6.05
Detke2002b (HMBH - Study Group B);2002.0;HAMD17;8.0;20.28;1;duloxetine;SNRI;123.0;7.874280919550686;10.46;7.874280919550686;10.46;136.0;7.813475539092703;8.29
Detke2004 (HMAY Study Group A);2004.0;HAMD17;8.0;19.88;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;271.0;5.508496180635899;10.703333333333333;5.499159954484143;10.69959409594096;93.0;5.496880933765984;8.07
Raskin2007 (HMBV) (NCT00062673);2007.0;HAMD17;8.0;18.76;1;duloxetine;SNRI;201.0;6.805174501803756;6.49;6.805174501803756;6.49;102.0;6.362688111168109;3.72
Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007);2007.0;HAMD17;8.0;17.8;2;duloxetine|escitalopram;SNRI|SSRI;547.0;6.78;7.415;6.77819170530958;7.414643510054845;137.0;6.79;5.97
Perahia2006 (HMAY - Study Group B);2006.0;HAMD17;8.0;21.3;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;292.0;5.652273063375575;11.103333333333333;5.647243911321314;11.113116438356164;99.0;5.571929647797072;10.13
Higuchi2009;2009.0;HAMD17;6.0;20.6;3;duloxetine|duloxetine|paroxetine;SNRI|SSRI;295.0;6.333333333333333;9.966666666666667;6.491828414105852;9.822711864406779;145.0;5.8;8.3
Cutler2009;2009.0;HAMD17;6.0;25.2;1;duloxetine;SNRI;141.0;9.17;12.37;9.17;12.37;152.0;9.17;10.26
NCT01145755;;MADRS;6.0;;1;duloxetine;SNRI;45.0;13.215161747023757;14.03;13.215161747023757;14.030000000000001;40.0;13.6610394919274;14.16
Burke2002 (SCT-MD-01);2002.0;HAMDunspecified;8.0;24.3;3;citalopram|escitalopram|escitalopram;SSRI;366.0;8.843333333333334;10.6;8.934266375106123;10.601639344262294;119.0;8.73;7.6
Gorman2002 (SCT-MD-02);2002.0;HAMDunspecified;8.0;24.8;2;citalopram|escitalopram;SSRI;243.0;8.82;10.9;8.818318363477834;10.889711934156379;125.0;8.94;9.6
Lepola2003 (ESC 99003);2001.0;MADRS;8.0;29.0;2;citalopram|escitalopram;SSRI;314.0;8.77;14.3;8.784969852504663;14.29108280254777;154.0;8.69;12.1
Ninan2003 (poster SCT-MD-26);;MADRS;8.0;30.4;1;escitalopram;SSRI;143.0;10.76;13.3;10.76;13.3;151.0;11.06;10.0
Bose2008 (SCT-MD-13);;HAMDunspecified;12.0;24.9;1;escitalopram;SSRI;129.0;9.09;9.8;9.09;9.8;134.0;9.26;9.2
Alexopoulos2004 (poster SCT-MD-27);2004.0;HAMD24;8.0;26.47;2;escitalopram|sertraline;SSRI;266.0;9.86;13.965;9.848135756678472;13.968834586466166;132.0;9.65;11.35
Kasper2005a (Study 99024);2005.0;MADRS;8.0;28.2;2;escitalopram|fluoxetine;SSRI;337.0;9.96;15.15;9.951338306799169;15.159347181008904;180.0;9.96;15.0
Dube2010 (NCT00420004);2010.0;HAMD21;8.0;;1;escitalopram;SSRI;54.0;8.818163074019441;15.0;8.818163074019441;15.0;122.0;3.3136083051561784;13.0
Kasper2012 (NCT00807248);2012.0;MADRS;8.0;35.4;1;escitalopram;SSRI;140.0;10.65;19.0;10.65;19.0;71.0;9.27;13.4
Wang 2014 (EUCTR2005-005052-40, NCT00351169, D1448C00004);2014.0;HAMDunspecified;8.0;27.2;1;escitalopram;SSRI;152.0;8.537517453315848;14.7;8.537517453315848;14.700000000000001;153.0;8.54;13.75
Griebel2012 (Study DF15878) (NCT00358631);2012.0;HAMD17;8.0;23.4;1;escitalopram;SSRI;81.0;7.53;9.27;7.53;9.27;71.0;7.57;7.7
NCT01020799;;HAMDunspecified;4.0;24.4;1;escitalopram;SSRI;49.0;6.93;9.84;6.93;9.84;94.0;7.853241369014454;9.15
SCT-MD-49 (NCT00668525);;HAMD24;8.0;29.3;2;escitalopram|escitalopram;SSRI;637.0;9.81490912491104;11.55;9.84568453306558;11.549921507064363;215.0;8.797726979169108;8.5
Study 19 (FDA) (Fabre1985);;HAMD21;5.0;28.9;1;fluoxetine;SSRI;16.0;7.3617750324356255;12.5;7.3617750324356255;12.5;21.0;7.3617750324356255;5.5
Study 62a (FDA) - MILD depression (Dunlop1990);;HAMD21;6.0;17.2;3;fluoxetine|fluoxetine|fluoxetine;SSRI;299.0;8.45;5.886666666666667;8.429239224379646;5.894581939799331;56.0;8.45;5.82
Study 62b (FDA) - MODERATE depression;;HAMD21;6.0;24.2;3;fluoxetine|fluoxetine|fluoxetine;SSRI;297.0;8.64651626561029;8.853333333333333;8.71022027268642;8.81993265993266;48.0;8.64651626561029;5.69
Stark1985 (Study 27 - FDA);1985.0;HAMD21;6.0;27.5;1;fluoxetine;SSRI;185.0;10.1;11.0;10.1;11.0;169.0;9.0;8.2
Heiligenstein1994;1994.0;HAMD17;8.0;21.1;1;fluoxetine;SSRI;45.0;7.76;12.3;7.76;12.3;43.0;7.76;8.52
Sramek1995;1995.0;HAMD24;9.0;28.2;1;fluoxetine;SSRI;72.0;6.3;8.6;6.3;8.6;70.0;6.7;6.4
NCT01808612;;HAMD21;6.0;;2;fluoxetine|fluoxetine;SSRI;251.0;7.201539126063036;6.215;7.252846065799499;6.203147410358566;259.0;7.88580370032123;6.91
Fabre1996;1996.0;HAMD21;6.0;27.7;1;fluvoxamine;SSRI;46.0;8.45;13.5;8.45;13.5;44.0;8.45;8.5
Montgomery2013 (F02695LP202, EudraCT2006-002404-34);2013.0;HAMD17;10.0;26.2;1;levomilnacipran;SNRI;276.0;7.475961476626267;14.9;7.475961476626267;14.900000000000002;277.0;7.65592580946289;11.5
Gommoll2014 (LVM-MD-02, NCT00969150);2014.0;HAMD17;8.0;24.9;1;levomilnacipran;SNRI;174.0;9.233634170791044;9.9;9.233634170791044;9.9;181.0;8.072174428244226;9.2
Asnis2013 (LVM-MD-01, NCT00969709);2013.0;HAMD17;8.0;24.7;3;levomilnacipran|levomilnacipran|levomilnacipran;SNRI;529.0;9.250983921996262;10.3;9.248151650340734;10.300378071833647;175.0;8.86326689206638;8.4
Sambunaris2014 (LVM-MD-03, NCT01034462);2014.0;HAMD17;8.0;23.3;1;levomilnacipran;SNRI;215.0;7.33143914930759;9.6;7.33143914930759;9.6;214.0;7.314369419163897;7.5
Bakish2014 (LVM-MD-10, NCT01377194);2014.0;MADRS;8.0;30.8;2;levomilnacipran|levomilnacipran;SNRI;372.0;10.77412461176555;14.5;10.76025557223024;14.499462365591398;185.0;10.473132291726293;11.3
MIR 003-003 (FDA);;HAMD21;6.0;25.4;1;mirtazapine;atypical;45.0;8.7;10.4;8.7;10.4;45.0;8.1;8.8
MIR 003-020 (FDA);;HAMD21;6.0;27.8;2;amitriptyline|mirtazapine;atypical|tricyclic;80.0;8.899999999999999;11.05;8.857307645903308;11.05;39.0;6.4;4.8
MIR 003-021 (FDA);;HAMD21;6.0;24.2;2;amitriptyline|mirtazapine;atypical|tricyclic;93.0;7.4;12.649999999999999;7.417491930279693;12.680645161290322;48.0;8.9;9.5
Vartiainen1994 (MIR 84023 FDA);1994.0;HAMD21;6.0;25.6;1;mirtazapine;atypical;44.0;9.7;10.9;9.7;10.9;45.0;9.2;9.0
Smith1990 (MIR 003-024 FDA);1990.0;HAMD21;6.0;27.5;2;amitriptyline|mirtazapine;atypical|tricyclic;99.0;8.7;13.0;8.70469133317988;12.99090909090909;48.0;9.7;7.7
Bremner1995(MIR 003-022 - FDA);1995.0;HAMD21;6.0;32.0;2;amitriptyline|mirtazapine;atypical|tricyclic;99.0;9.8;15.100000000000001;9.833200684618339;15.089898989898991;50.0;9.0;9.0
Claghorn1995 (MIR 003-002 (FDA);1995.0;HAMD21;6.0;24.2;1;mirtazapine;atypical;44.0;8.5;11.7;8.5;11.7;44.0;8.5;5.4
Halikas1995 (MIR 003-023 - FDA);1995.0;HAMD21;6.0;24.6;2;mirtazapine|trazodone;atypical;97.0;6.75;8.85;6.802482033251891;8.860824742268042;49.0;7.3;6.6
Kinoshita2009;2009.0;HAMD17;6.0;23.2;3;mirtazapine|mirtazapine|mirtazapine;atypical;200.0;7.099999999999999;13.0;7.128823650025706;12.982000000000001;70.0;7.5;10.4
