,collectionID,teamID,hyp,autorectify,problem,reverse_contrast,n_thresh_vox,min_unthresh,max_unthresh,p_pos_unthresh,p_neg_unthresh
0,4954_R7D1,R7D1,1,False,,False,4322.0,1.093819499015808,7.581234931945801,1.0,0.0
1,4954_R7D1,R7D1,2,False,,False,3228.0,1.374545693397522,5.5546488761901855,1.0,0.0
2,4954_R7D1,R7D1,3,False,,False,4322.0,1.093819499015808,7.581234931945801,1.0,0.0
3,4954_R7D1,R7D1,4,False,,False,3228.0,1.374545693397522,5.5546488761901855,1.0,0.0
4,4954_R7D1,R7D1,5,False,,False,16816.0,0.8695381283760071,6.718307018280029,1.0,0.0
5,4954_R7D1,R7D1,6,False,,False,282.0,2.0121567249298096,7.958056449890137,1.0,0.0
6,4954_R7D1,R7D1,7,False,,False,16661.0,0.8676984906196594,8.27195930480957,1.0,0.0
7,4954_R7D1,R7D1,8,False,,False,859.0,2.068082809448242,6.7044782638549805,1.0,0.0
8,4954_R7D1,R7D1,9,False,,False,0.0,0.0,0.0,0.0,0.0
