kappa,statistic,mean_ratio
0.0,lnVR,0.8303856846655358
0.0,lnCVR,1.0013135224222327
0.0,lnVR*,0.8766630451444142
0.1,lnVR,0.8589369517000192
0.1,lnCVR,1.0346134896830101
0.1,lnVR*,0.9065191384069735
0.2,lnVR,0.9344154855283323
0.2,lnCVR,1.1270721604016587
0.2,lnVR*,0.986570367739188
0.3,lnVR,1.0511706010328208
0.3,lnCVR,1.2669673270008088
0.3,lnVR*,1.1096056993905306
