true_model,kappa,lnVR,lnCVR,lnVR*
additive,0.0,0.999055365406607,1.2036603000213966,1.0545197711666356
additive,0.1,1.003267620569303,1.2082393935217521,1.0588398862524968
additive,0.2,1.015307479886882,1.221018447613546,1.071109154746302
additive,0.3,1.0358329271908802,1.2420009161141172,1.0918200150021284
additive,0.4,1.0600650033824042,1.2694111730082818,1.1169423159760359
multiplicative,0.0,0.8288862382094114,0.9993126332242211,0.8750740381178076
multiplicative,0.1,0.8578115312697089,1.0330214283248165,0.9053154678430011
multiplicative,0.2,0.9349479630400677,1.1265757389406392,0.9868919275332622
multiplicative,0.3,1.0508200615713545,1.2661887579054671,1.1091995477068834
multiplicative,0.4,1.186931746200152,1.427272195079535,1.2521295158371677
