study,scale,is_change,drug,year,n_drug,m_drug,sd_drug,n_pbo,m_pbo,sd_pbo,base_drug,base_pbo,lnvr,lnvr_v,lnmr,g,g_v
Sheehan2009a,HAMD21,False,fluoxetine,2009,99.0,18.09,8.89,95.0,18.4,9.2,29.5,29.4,-0.034493542649024954,0.010421189752496743,-0.016991365207736097,-0.034146202913793125,0.02046929302702793
Sheehan2009a,HAMD21,False,venlafaxine,2009,91.0,15.59,9.81,95.0,18.4,9.2,29.9,29.4,0.06443519614166264,0.010874704491725768,-0.16572098154525475,-0.2944810268349832,0.021573779813208807
Sheehan2009b (NCT00775203),HAMD17,False,trazodone,2009,202.0,11.8,8.0,204.0,13.2,8.1,23.2,22.4,-0.012398011996694488,0.004950616376246844,-0.11211729812070599,-0.17358129978483547,0.00985303805185196
Shipley1981,HAMD17,False,amitriptyline,1981,53.0,9.3,10.9,23.0,31.6,14.9,38.5,44.2,-0.3257103118282034,0.032342657342657344,-1.2231427204336562,-1.8053360613518084,0.08266083032960604
Silverstone1999,HAMD21,False,fluoxetine,1999,119.0,13.4,7.943996630131091,118.0,16.4,7.923393954612329,27.2,27.2,0.0025606427453281604,0.008510792409097495,-0.20202662787328698,-0.3769235119221202,0.017070614668510453
Silverstone1999,HAMD21,False,venlafaxine,1999,122.0,13.0,7.903250361996383,118.0,16.4,7.923393954612329,27.2,27.2,-0.002686803442185262,0.008405735678462952,-0.23233197736861597,-0.42830863410867004,0.01694924967257192
Smith1990 (MIR 003-024 FDA),HAMD21,True,mirtazapine,1990,50.0,-12.1,8.4,48.0,-7.7,9.7,27.5,27.7,-0.14432839589975638,0.020842379504993486,0.4519851237430572,-0.48185803008826994,0.04138658950198148
Smith1990 (MIR 003-024 FDA),HAMD21,True,amitriptyline,1990,49.0,-13.9,9.0,48.0,-7.7,9.7,27.6,27.7,-0.07512293937879147,0.02105496453900709,0.5906685112770079,-0.6576511822876665,0.042831629007855386
Stahl2000,HAMD21,True,citalopram,2000,103.0,-13.4,6.1,107.0,-10.2,6.1,26.5,26.4,0.0001849796522382539,0.009618941916389196,0.27286698666664044,-0.5226963366278039,0.019569227682068365
Stahl2000,HAMD21,True,sertraline,2000,106.0,-11.7,6.1,107.0,-10.2,6.1,26.6,26.4,4.4923629829290816e-05,0.009478885893980233,0.13720112151348496,-0.24502654454232545,0.018787590106877937
Stahl2010 (CAGO178A2302),HAMD17,False,agomelatine 25mg,2010,158.0,15.0,8.04,163.0,17.1,7.92,26.8,26.4,0.015136170987250262,0.006271133128882598,-0.13102826240640414,-0.2625622219418395,0.012513044584616691
Stahl2010 (CAGO178A2302),HAMD17,False,agomelatine 50mg,2010,161.0,15.9,8.25,163.0,17.1,7.92,26.8,26.4,0.040860574767168784,0.00621141975308642,-0.07275935428242843,-0.14806496619920637,0.012322542495591586
Stark1985 (Study 27 - FDA),HAMD21,True,fluoxetine,1985,185.0,-11.0,10.1,169.0,-8.2,9.0,27.5,28.1,0.11505204733915174,0.005693581780538302,0.29376111852816317,-0.29132545749518124,0.01139437395852219
Studie009 (CTN009-FCE20124),HAMD17,False,reboxetine,unpublished,24.0,14.38,8.94,23.0,15.09,8.52,25.33,25.27,0.047131106051708234,0.044466403162055336,-0.048193920486856834,-0.07989989919530752,0.08238339952539606
Study 015,HAMD21,False,reboxetine,unpublished,110.0,14.04,9.22,111.0,15.8,9.58,27.5,27.1,-0.03826085299641843,0.009132610508757298,-0.1180995414352561,-0.1865415925660693,0.01805492025076726
Study 032a (CTN032-FCE20124),HAMD21,False,reboxetine,unpublished,22.0,17.18,4.75,25.0,16.6,5.14,23.2,23.1,-0.07593227094433337,0.04464285714285714,0.03434322119361163,0.11493358614106791,0.08275604679158274
Study 045,HAMD21,True,reboxetine 4mg,unpublished,86.0,-8.6,8.45,86.0,-11.3,8.45,26.2,26.4,0.0,0.011764705882352941,-0.27304052245883287,0.3181148748159059,0.02334578153855057
Study 045,HAMD21,True,reboxetine 8mg,unpublished,88.0,-10.5,8.45,86.0,-11.3,8.45,26.4,26.4,-0.0001352265043948614,0.01162947937795808,-0.07342746855481731,0.094261130203354,0.022816786129656354
Study 049,HAMD21,True,reboxetine,unpublished,101.0,-9.3,5.443106736761622,101.0,-8.3,5.443106736761622,25.1,25.3,0.0,0.01,0.11375888535665796,-0.18302880226559878,0.01973667976770857
Study 19 (FDA) (Fabre1985),HAMD21,True,fluoxetine,unpublished,16.0,-12.5,7.3617750324356255,21.0,-5.5,7.3617750324356255,28.9,27.4,0.008333333333333331,0.058333333333333334,0.8209805520698303,-0.9303355282025514,0.117253668358424
Study 205 (FDA) (WELL 205),HAMD17,True,bupropion 200mg,unpublished,114.0,-9.6,8.014733023531498,116.0,-8.3,7.882163983742754,23.2,23.4,0.016755945182170415,0.008772604848018468,0.14550758367123828,-0.1630215911719202,0.01733615493292033
Study 205 (FDA) (WELL 205),HAMD17,True,bupropion 300mg,unpublished,111.0,-9.0,8.381824257707574,116.0,-8.3,7.882163983742754,23.6,23.4,0.061660727715985825,0.008893280632411068,0.08096906253366709,-0.0858105858172319,0.01752848713530172
Study 205 (FDA) (WELL 205),HAMD17,True,bupropion 400mg,unpublished,111.0,-9.3,7.24993466998919,116.0,-8.3,7.882163983742754,24.2,23.4,-0.08341239714710905,0.008893280632411068,0.11375888535665796,-0.13149167960363128,0.017550399279141347
Study 25 (FDA) (Rickels1986),HAMD21,False,fluoxetine,unpublished,15.0,16.3,8.59,23.0,17.0,8.59,25.2,25.8,0.012987012987012984,0.05844155844155844,-0.04204823624349939,-0.07978052215537657,0.10565667052501344
Study 62a (FDA) - MILD depression (Dunlop1990),HAMD21,True,fluoxetine 60mg,unpublished,97.0,-5.39,8.45,56.0,-5.82,8.45,17.2,17.41,-0.0038825757575757574,0.014299242424242423,-0.07675487682244074,0.0506344019547235,0.027895260763737984
