study,scale,is_change,drug,year,n_drug,m_drug,sd_drug,n_pbo,m_pbo,sd_pbo,base_drug,base_pbo,lnvr,lnvr_v,lnmr,g,g_v
"Boulenger2014 (13267A, NCT01140906)",MADRS,True,vortioxetine 20mg,2014,151.0,-18.79,9.584800467406716,158.0,-11.7,9.553051868382166,31.2,31.5,0.0034665082547764544,0.006518046709129512,0.47373597162166353,-0.7391553373250391,0.013773850705396492
"Boulenger2014 (13267A, NCT01140906)",MADRS,True,duloxetine,2014,146.0,-21.15,9.303945399667821,158.0,-11.7,9.553051868382166,31.2,31.5,-0.02615856160568952,0.006632989237865144,0.5920510636885765,-0.9991778183379254,0.014757701806680498
"Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU)",HAMD17,True,desvenlafaxine 50mg,2008,164.0,-13.16,7.555686600170761,161.0,-10.78,7.613146524269712,24.26,24.29,-0.007633602233936853,0.006192484662576688,0.1994893604163202,-0.3130808931444635,0.01240263078110796
"Boyer2008 (Study 333, NCT00300378)(EUCTR2005-005463-28, 3151A1-333-EU)",HAMD17,True,desvenlafaxine 100mg,2008,158.0,-13.65,7.541883053985921,161.0,-10.78,7.613146524269712,24.44,24.29,-0.009344952602951814,0.006309713375796179,0.23604695615011775,-0.377834348282497,0.012705085131242506
Bremner1995(MIR 003-022 - FDA),HAMD21,True,amitriptyline,1995,50.0,-14.1,8.9,50.0,-9.0,9.0,32.0,31.2,-0.011173300598125189,0.02040816326530612,0.4489502200479032,-0.5654514628117969,0.0409949101252921
Bremner1995(MIR 003-022 - FDA),HAMD21,True,mirtazapine,1995,49.0,-16.1,10.7,50.0,-9.0,9.0,33.0,31.2,0.17323174916565467,0.020620748299319726,0.581594694654198,-0.7132063127381444,0.04236559060886583
Brunoni2012,MADRS,False,sertraline,2012,30.0,21.67,13.14,30.0,24.73,8.65,30.5,30.76,0.4181016921126765,0.034482758620689655,-0.1320882659850571,-0.2715109786515069,0.06556541157013276
CAGO178A2303 (NCT00463242),HAMD17,False,agomelatine,unpublished,162.0,17.1,7.382194795587555,158.0,17.3,7.918977206685217,27.2,26.9,-0.07027018805608927,0.0062903034379079795,-0.011628037995119099,-0.026075546084699378,0.012444069243330351
CAGO178A2303 (NCT00463242),HAMD17,False,paroxetine,unpublished,163.0,14.0,7.532615747534185,158.0,17.3,7.918977206685217,27.0,26.9,-0.05011799221862544,0.006271133128882598,-0.21164917188847474,-0.42616918914174695,0.012688830817348583
CL3-20098-022,HAMD17,False,agomelatine,2001,129.0,14.5,8.2,147.0,15.9,8.6,27.6,28.0,-0.04714645652350128,0.007330907534246575,-0.0921704597996571,-0.16590380840261965,0.014524968340620788
CL3-20098-022,HAMD17,False,fluoxetine,2001,133.0,13.3,7.6,147.0,15.9,8.6,27.5,28.0,-0.12325073471354443,0.007212536322125363,-0.17855507399847773,-0.3185278428958537,0.014425776393365716
CL3-20098-023,HAMD17,False,agomelatine,2001,141.0,13.0,8.0,137.0,13.8,8.0,25.7,26.0,-0.00010504201680672275,0.007247899159663866,-0.05971923470162231,-0.09972801450589311,0.01433120935650206
CL3-20098-023,HAMD17,False,paroxetine,2001,137.0,12.2,8.1,137.0,13.8,8.0,26.1,26.0,0.012422519998557108,0.007352941176470588,-0.12323264042394821,-0.19820539126647185,0.014589888326308335
CL3-20098-024,HAMD17,False,agomelatine,2002,295.0,12.7,8.2,158.0,13.4,8.4,26.4,26.9,-0.025581584682747977,0.004885393647905022,-0.05365271349232014,-0.08450069543311943,0.009694518591588463
CL3-20098-024,HAMD17,False,fluoxetine,2002,146.0,12.5,7.4,158.0,13.4,8.4,26.5,26.9,-0.1264881431528711,0.006632989237865144,-0.06952606264861022,-0.11313094270478992,0.013134084950440876
CL3-20098-026,HAMD17,True,agomelatine,2001,105.0,-10.6,8.1,105.0,-9.6,7.3,23.4,23.0,0.10398971352404764,0.009615384615384616,0.09909090264423097,-0.12922703606723585,0.018950193371021808
CL3-20098-070,HAMD17,True,agomelatine,2011,148.0,-13.4,8.3,70.0,-10.7,7.8,26.8,26.7,0.05828676483962988,0.01064773735581189,0.22501096548900532,-0.330395530199626,0.0211473619489194
CN104-002 (FDA),HAMD17,True,nefazodone,unpublished,57.0,-10.8,7.86,57.0,-8.2,7.86,23.3,23.1,0.0,0.017857142857142856,0.2754119798599668,-0.3285687449835205,0.03509382896957437
Carman1991,HAMD17,True,amitriptyline,1991,48.0,-13.5,7.76,48.0,-7.5,7.76,27.6,26.7,0.0,0.02127659574468085,0.5877866649021191,-0.7670103092783506,0.04408207937419205
Claghorn1983,HAMD21,False,amitriptyline,1983,68.0,10.7,8.59,80.0,16.17,8.59,26.51,27.11,0.0011335726431135461,0.013791800491214812,-0.4129139321211552,-0.633510184765484,0.02828693753589262
Claghorn1995 (MIR 003-002 (FDA),HAMD21,True,mirtazapine,1995,44.0,-11.7,8.5,44.0,-5.4,8.5,24.2,24.7,0.0,0.023255813953488372,0.7731898882334817,-0.7346938775510203,0.0477464706810584
Claghorn1996,HAMD21,False,fluvoxamine,1996,44.0,15.98,8.59,45.0,19.84,8.59,26.09,26.42,0.00026427061310782193,0.02299154334038055,-0.21636216151859816,-0.4454747662485363,0.04529649913396543
Clayton2003 (Study 050),HAMD21,True,reboxetine,2003,144.0,-10.8,8.45,143.0,-11.1,8.45,25.6,25.5,-2.462326405988386e-05,0.007017630257066877,-0.027398974188114388,0.03540944771443847,0.01386631684390224
Clayton2003 (Study 050),HAMD21,True,fluoxetine,2003,144.0,-13.1,8.45,143.0,-11.1,8.45,26.0,25.5,-2.462326405988386e-05,0.007017630257066877,0.16566712188881735,-0.236062984762924,0.01396137883643249
Clayton2006a (WELL AK130926),HAMD17,True,bupropion,2006,129.0,-13.1,7.95,126.0,-11.9,7.86,,,0.011291572225125428,0.00790625,0.09607383008962203,-0.1513395363612696,0.015640473466722177
Clayton2006a (WELL AK130926),HAMD17,True,escitalopram,2006,133.0,-12.9,8.07,126.0,-11.9,7.86,,,0.026154754628621137,0.007787878787878788,0.08068891125014266,-0.12512674422921927,0.015395425726338747
Clayton2006b (WELL AK130927),HAMD17,True,escitalopram,2006,133.0,-14.2,8.07,130.0,-12.1,7.98,23.8,24.4,0.01112698061577073,0.00766384778012685,0.16003651200451952,-0.26090864388106355,0.015253386116623234
Clayton2006b (WELL AK130927),HAMD17,True,bupropion,2006,134.0,-13.2,6.94,130.0,-12.1,7.98,24.5,24.4,-0.13975320743901173,0.007635367488488663,0.08701137698962969,-0.1468302653817329,0.01510917851002536
Clayton2013 (NCT01121484),HAMD17,True,desvenlafaxine,2013,216.0,-9.9,7.76,216.0,-8.1,7.76,22.8,22.4,0.0,0.004651162790697674,0.20067069546215124,-0.2315539482916825,0.0092890971250391
Clayton2015,HAMD17,True,desvenlafaxine 50mg,2015,291.0,-11.28,6.733112207590187,294.0,-9.71,6.86285654811464,23.4,23.6,-0.0190686334631185,0.0034306225726727082,0.1498749637666792,-0.23063175060231106,0.006865698517409261
Clayton2015,HAMD17,True,desvenlafaxine 100mg,2015,301.0,-11.67,6.667293303882769,294.0,-9.71,6.86285654811464,23.5,23.6,-0.028949603419384483,0.003373151308304892,0.18386516399523106,-0.28937588734679875,0.006777042978653643
Cohn1996 (FDA CN104-006-2),HAMD17,True,nefazodone,1996,39.0,-12.1,7.6,42.0,-9.2,7.6,22.8,23.4,0.0009627727856225919,0.025353016688061617,0.2740019685477008,-0.3779448621553886,0.04940004655236381
Coleman2001 (AK1A4007),HAMD21,True,fluoxetine,2001,146.0,-12.8,9.67,145.0,-11.4,9.63,24.5,24.4,0.004121137295015366,0.0069204980842911875,0.11583181552512165,-0.1446995464933153,0.013710589334433526
Coleman2001 (AK1A4007),HAMD21,True,bupropion,2001,136.0,-12.7,9.33,145.0,-11.4,9.63,24.6,24.4,-0.031416729469300374,0.007175925925925926,0.10798863806409573,-0.13667499785162707,0.014206214069764132
Croft2014 (NCT01473394),MADRS,False,vilazodone,2014,253.0,14.6,11.13,252.0,20.1,11.11,30.6,30.9,0.0017906567475319216,0.003976158856636944,-0.31969828635073944,-0.49386538559358945,0.008138933777114351
Cunningham1994 (VEN 600A-302 FDA),HAMD21,True,venlafaxine,1994,65.0,-11.92,6.841198242473788,75.0,-8.8,5.75952783308861,25.02,24.41,0.1731631432577248,0.014569256756756757,0.3034659401530429,-0.49376710886891345,0.029279843898935832
Cunningham1994 (VEN 600A-302 FDA),HAMD21,True,trazodone,1994,71.0,-10.58,4.677857423703432,75.0,-8.8,5.75952783308861,24.66,24.41,-0.2076292078874964,0.013899613899613899,0.18421370494599243,-0.3365373790183372,0.027521649580090866
Cunningham1997 (VEN XR 208 - FDA),HAMD21,True,venlafaxine xr 75-150mg,1997,92.0,-13.59,8.45,99.0,-9.3,8.45,24.4,24.56,0.00039246467817896473,0.010596546310832025,0.379319828003842,-0.5056749872643912,0.021475361622364682
Cunningham1997 (VEN XR 208 - FDA),HAMD21,True,venlafaxine ir 75-150mg,1997,87.0,-11.52,8.45,99.0,-9.3,8.45,23.98,24.56,0.0007119126720455627,0.010915994304698622,0.21407025510853478,-0.2616495592319767,0.021603853284759295
Cutler2009,HAMD17,True,duloxetine,2009,141.0,-12.37,9.17,152.0,-10.26,9.17,25.2,25.2,0.00026017029328287596,0.006882686849574267,0.18702134666177292,-0.22950459975001658,0.013690742533410676
D'Amico1990 (FDA 030-A2-0007),HAMD17,True,nefazodone 200mg,1990,46.0,-13.3,8.05,47.0,-9.8,8.05,26.1,26.4,0.0002415458937198075,0.021980676328502417,0.3053816495511819,-0.43118936399568814,0.043312406836180026
D'Amico1990 (FDA 030-A2-0007),HAMD17,True,nefazodone 300mg,1990,41.0,-10.7,8.05,47.0,-9.8,8.05,25.4,26.4,0.0016304347826086966,0.023369565217391305,0.08786135579133404,-0.11082338880538888,0.044941658586970634
Davidson2002 (HDTSG) (NCT00005013),HAMD17,True,sertraline,2002,109.0,-10.53,7.52,116.0,-9.2,7.22,22.5,22.7,0.040992988599686746,0.00897745571658615,0.1350248420908895,-0.17993141954298308,0.01774747405086393
"DeMartinis2007 (Study 306, NCT00072774)",HAMD17,True,desvenlafaxine,2007,114.0,-10.5,7.04,118.0,-7.7,6.84,23.2,23.1,0.02897171302304956,0.00869828303456622,0.31015492830383945,-0.4022001972788849,0.01748346111517718
Detke2002a (HMBH -  Study Group A),HAMD17,True,duloxetine,2002,121.0,-10.91,7.699999999999999,115.0,-6.05,7.3994256533868885,21.5,21.09,0.03959864782323122,0.008552631578947367,0.5896215278022294,-0.6412134695024214,0.017724361717508522
Detke2002b (HMBH - Study Group B),HAMD17,True,duloxetine,2002,123.0,-10.46,7.874280919550686,136.0,-8.29,7.813475539092703,20.28,20.49,0.00814664942056594,0.007802064359441409,0.23250848948957345,-0.275892760994508,0.015539922056088604
Detke2004 (HMAY Study Group A),HAMD17,True,duloxetine 80mg,2004,93.0,-10.22,5.496880933765984,93.0,-8.07,5.496880933765984,19.88,19.86,0.0,0.010869565217391304,0.2361931024937009,-0.38953444973546814,0.021739150485266222
Detke2004 (HMAY Study Group A),HAMD17,True,duloxetine 120mg,2004,93.0,-11.06,5.496880933765984,93.0,-8.07,5.496880933765984,20.17,19.86,0.0,0.010869565217391304,0.31518151381233134,-0.5417246533530463,0.022121144795670247
Detke2004 (HMAY Study Group A),HAMD17,True,paroxetine,2004,85.0,-10.83,5.531726674375732,93.0,-8.07,5.496880933765984,20.26,19.86,0.006836774399766109,0.011387163561076604,0.2941665787310418,-0.4984496787238958,0.02302544000287461
Doogan1994,MADRS,True,sertraline,1994,83.0,-15.4,9.96,90.0,-12.1,9.96,27.9,27.4,0.0004795834475198688,0.011715538503699644,0.24116205681688804,-0.32986999241475423,0.023271682762795134
Dube2010 (NCT00420004),HAMD21,True,escitalopram,2010,54.0,-15.0,8.818163074019441,122.0,-13.0,3.3136083051561784,,,0.9840775928945917,0.01356619366910962,0.14310084364067324,-0.3558223607200373,0.026845788874624438
"Dunbar1993a (Claghorn1992, Rickels1989, Rickels1992, PAR 02-001 - FDA)",HAMD21,True,paroxetine,1993,51.0,-12.27,9.49,53.0,-6.81,9.54,26.8,25.9,-0.004870257453743201,0.019615384615384618,0.5887651385613991,-0.569569774120925,0.03947753455363721
"Dunbar1993b  (Claghorn1992, PAR 02-002 - FDA)",HAMD21,True,paroxetine,1993,36.0,-10.94,8.64,34.0,-5.77,8.63,25.0,24.6,0.00029227685482677984,0.029437229437229435,0.639753716473827,-0.592087967523646,0.0584513137323655
"Dunbar1993c  (Smith1992, PAR 02-003 - FDA)",HAMD21,True,paroxetine,1993,39.0,-10.08,10.3,37.0,-7.95,10.34,28.6,28.9,-0.004606967996739632,0.027046783625730993,0.23738133397698197,-0.20430673085053136,0.051878613153132525
"Dunbar1993d (Kiev1992, PAR 02-004 - FDA)",HAMD21,True,paroxetine,1993,37.0,-12.65,7.18,38.0,-7.61,7.15,28.8,27.5,0.004562401729591825,0.027402402402402402,0.5081940432999348,-0.6961860934759893,0.05550023181711993
Dunlop2011 (NCT00824291),HAMD17,True,desvenlafaxine,2011,285.0,-12.61,7.6,142.0,-10.5,7.1,22.0,21.8,0.06626792733451711,0.005306662671061832,0.18311489281335053,-0.2831834284156725,0.010607809167740725
Dunner1992 (PAR 29060.09),HAMD21,True,paroxetine 20mg,1992,104.0,-11.37,8.45,51.0,-9.25,8.45,25.19,24.5,-0.005145631067961166,0.014854368932038835,0.20635475623811075,-0.2496557200825109,0.02913865204755014
Dunner1992 (PAR 29060.09),HAMD21,True,paroxetine 30mg,1992,99.0,-9.98,8.45,51.0,-9.25,8.45,25.18,24.5,-0.00489795918367347,0.015102040816326531,0.07595953879903886,-0.08595200192232606,0.029432711889330925
Dunner1992 (PAR 29060.09),HAMD21,True,paroxetine 40mg,1992,100.0,-9.9,8.45,51.0,-9.25,8.45,25.03,24.5,-0.004949494949494949,0.01505050505050505,0.06791120561621036,-0.076535229476406,0.02932948813780925
Edwards1989 (MD/PAR/009 PAR-276),HAMD17,True,paroxetine,1989,21.0,-8.8,10.5,20.0,-4.5,8.8,26.8,25.5,0.17530774620563264,0.05131578947368421,0.6706743247078868,-0.4343138038041856,0.09620242244927404
FDA 245 (EMD 68 843-010),HAMD17,True,vilazodone,unpublished,104.0,-9.7,7.138627319029898,99.0,-10.2,7.95989949685296,23.8,23.4,-0.10914354000541902,0.009956409748365366,-0.05026183478088831,0.06597585598675687,0.01958009654168512
FDA 245 (EMD 68 843-010),HAMD17,True,fluoxetine,unpublished,92.0,-11.1,7.673330437300351,99.0,-10.2,7.95989949685296,23.5,23.4,-0.036273171864596,0.010596546310832025,0.08455738802806317,-0.11458484313058102,0.02083871197101701
FDA 246 (SB 659746-003),HAMD17,False,vilazodone 10mg,unpublished,120.0,13.0,7.52,128.0,13.1,7.52,23.8,23.3,0.0002646727982531594,0.008138688546284654,-0.007662872745569137,-0.013257288803272609,0.016047788409252185
FDA 246 (SB 659746-003),HAMD17,False,vilazodone 20mg,unpublished,121.0,12.6,7.52,128.0,13.1,7.52,23.7,23.3,0.00022965879265091863,0.008103674540682414,-0.0389154162496735,-0.06628726637780509,0.015988219793583572
FDA 246 (SB 659746-003),HAMD17,False,citalopram,unpublished,115.0,12.3,7.52,128.0,13.1,7.52,23.1,23.3,0.00044895703826495353,0.00832297278629645,-0.06301296782873392,-0.10605156757473308,0.016428646586754494
FDA 247 (SB 659746-014),HAMD17,False,vilazodone,unpublished,107.0,12.8,5.99349032179527,110.0,13.7,5.99349032179527,23.3,23.5,0.00012982516877271897,0.009304137095378223,-0.06795066190850767,-0.14963848477122882,0.018359861024923232
FDA 248 (SB 659746-002),HAMD17,False,vilazodone 10mg,unpublished,133.0,11.7,7.52,128.0,12.2,7.52,24.5,23.7,-0.00014912908613696,0.007724886661894536,-0.04184710993550049,-0.06629663891458527,0.01525098462622329
FDA 248 (SB 659746-002),HAMD17,False,vilazodone 20mg,unpublished,132.0,12.6,7.52,128.0,12.2,7.52,24.3,23.7,-0.00012021398088597713,0.007753801767145518,0.03226086221822148,0.053036712962007605,0.015304254140899577
Fabre1995 (SER 103 FDA),HAMD17,True,sertraline 50mg,1995,90.0,-10.6,8.6,86.0,-7.6,7.5,24.8,25.3,0.13659480730411075,0.011500330469266358,0.33270575382573614,-0.3696217167836614,0.022932338601134042
Fabre1995 (SER 103 FDA),HAMD17,True,sertraline 100mg,1995,89.0,-9.8,8.9,86.0,-7.6,7.5,24.9,25.3,0.17094772143647116,0.011564171122994652,0.254234138384241,-0.26576954986052975,0.022868138713308526
Fabre1995 (SER 103 FDA),HAMD17,True,sertraline 200mg,1995,82.0,-9.2,8.2,86.0,-7.6,7.5,25.7,25.3,0.08952162029293897,0.01205519244734931,0.19105523676270922,-0.20291570241181703,0.02373082428402852
Fabre1996,HAMD21,True,fluvoxamine,1996,46.0,-13.5,8.45,44.0,-8.5,8.45,27.7,26.0,-0.0005167958656330743,0.0227390180878553,0.46262352194811296,-0.5866585748242553,0.04563175912170125
Fava1998,HAMD21,False,paroxetine,1998,55.0,12.1,10.0,19.0,12.2,9.0,23.1,23.7,0.08684199713930783,0.037037037037037035,-0.00823049913651548,-0.010139206101763798,0.06934141412709266
Fava1998,HAMD21,False,fluoxetine,1998,54.0,13.1,10.3,19.0,12.2,9.0,23.9,23.7,0.116575502385744,0.03721174004192872,0.07117627846789495,0.08916677017004548,0.06970442046601559
Fava2005,HAMD17,False,fluoxetine,2005,47.0,13.3,7.3,43.0,12.6,6.4,19.6,19.9,0.13054116110134867,0.022774327122153208,0.05406722127027579,0.10079919203043122,0.04383117244195459
Feighner1984,HAMD21,False,bupropion,1984,34.0,12.3,8.2,15.0,21.0,5.9,31.0,28.0,0.30861903279576297,0.050865800865800864,-0.5349231753450512,-1.1281312738407474,0.10612865282185437
Feighner1989a,HAMD21,False,fluoxetine,1989,52.0,17.69,9.150889137127603,48.0,20.1,8.140638795573723,25.6,25.9,0.11614801866918327,0.020442219440967878,-0.12772030689333616,-0.2754856598131763,0.03983295357535461
Feighner1993a (Feighner 1989c PAR 03 001 - FDA),HAMD21,True,paroxetine,1993,36.0,-10.67,7.14,31.0,-4.39,7.18,24.8,24.7,-0.007967559089592204,0.030952380952380953,0.8881068382265822,-0.8671185241287964,0.06430369772398307
Feighner1993b (Cohn1990 Cohn1992 PAR 03 002 - FDA),HAMD21,True,paroxetine,1993,35.0,-9.0,7.33,36.0,-5.06,7.32,25.6,26.7,0.00178535599256688,0.028991596638655463,0.5758580940368453,-0.5320212732259447,0.05713303135192433
Feighner1993c (PAR 03 003 - FDA),HAMD21,True,paroxetine,1993,33.0,-9.67,9.47,40.0,-9.95,9.48,25.6,26.7,0.0017490781105436882,0.02844551282051282,-0.02854424170529841,0.02923665978768708,0.05414263521691082
Feighner1993d (Shrivastava1992 PAR 03 004 - FDA),HAMD21,True,paroxetine,1993,33.0,-12.03,8.73,36.0,-7.14,8.7,27.6,26.7,0.004781629905258633,0.029910714285714284,0.5216907536350945,-0.5548389769753773,0.05902897822607944
Feighner1993e (Peselow1989 PAR 03 005 - FDA),HAMD21,True,paroxetine,1993,40.0,-10.02,9.866306299725345,42.0,-4.07,9.850725861579948,25.6,26.7,0.0022057951878380593,0.025015634771732333,0.9009400962022149,-0.5978748159685754,0.050088059623910025
Feighner1993f (Fabre1992 PAR 03 006 - FDA),HAMD21,True,paroxetine,1993,39.0,-9.08,8.056047417933934,37.0,-2.97,8.02924653999365,29.7,28.8,0.0026013543659655497,0.027046783625730993,1.1175122397985937,-0.7519394674072756,0.0553453356495019
Feighner1998,HAMD17,True,nefazodone,1998,58.0,-12.2,9.13892772703669,59.0,-7.7,8.44926032265547,27.5,27.9,0.07861540047936852,0.017392619479733817,0.46021562287957263,-0.5081452236377566,0.034853089038020015
Feighner1999 (Study 91206 FDA),HAMD21,True,citalopram 20mg,1999,128.0,-9.94,7.513893379557667,124.0,-9.31,7.461195846542456,24.24,24.62,0.0069100221890212145,0.008002048524422253,0.0654779293795068,-0.08388181841219468,0.01579578978155741
Feighner1999 (Study 91206 FDA),HAMD21,True,citalopram 40mg,1999,120.0,-12.22,7.437770216302136,124.0,-9.31,7.461195846542456,24.44,24.62,-0.0030079606766327586,0.008266721322675412,0.2719848624544736,-0.38940864649761675,0.016607625570676104
Feighner1999 (Study 91206 FDA),HAMD21,True,citalopram 60mg,1999,110.0,-12.05,7.431923943767564,124.0,-9.31,7.461195846542456,24.52,24.62,-0.003408819357619798,0.008652196613709258,0.2579755686476883,-0.3667201474322757,0.01733252910860534
Fontaine1994 (FDA 03A0A-003),HAMD17,True,nefazodone 50-250mg,1994,46.0,-8.2,8.89,45.0,-6.8,8.89,25.2,25.9,-0.0002525252525252524,0.022474747474747474,0.18721154208814636,-0.15614949539758227,0.04335615922311553
Fontaine1994 (FDA 03A0A-003),HAMD17,True,nefazodone 100-500mg,1994,44.0,-11.0,8.89,45.0,-6.8,8.89,25.6,25.9,0.00026427061310782193,0.02299154334038055,0.48097266061630956,-0.46835644103564866,0.0454146025559225
GSK14,HAMD21,False,bupropion,unpublished,60.0,16.5,8.59,26.0,21.8,8.59,31.2,30.3,-0.01152542372881356,0.028474576271186443,-0.2785495888885084,-0.6114711657081299,0.05633115005058716
Georgotas1982,HAMD21,False,amitriptyline,1981,15.0,8.5,8.13,18.0,17.4,10.18,28.5,28.6,-0.21856156655425396,0.06512605042016806,-0.7164040427242125,-0.9326194654082853,0.12968558415745177
Golden2002a (29060/448),HAMD17,True,paroxetine 25-62.5mg,2002,102.0,-12.7,8.079603950689663,101.0,-9.9,8.039900496896712,23.0,23.4,0.004876643271010985,0.00995049504950495,0.2490672363240012,-0.3461020272748083,0.019853706327396185
Golden2002a (29060/448),HAMD17,True,paroxetine 20-50mg,2002,104.0,-11.1,8.260411612020311,101.0,-9.9,8.039900496896712,23.3,23.4,0.02691208008065275,0.009854368932038834,0.11441035117774412,-0.14664906574980724,0.019424833438840897
Golden2002b (29060/449),HAMD17,True,paroxetine 25-62.5mg,2002,108.0,-13.3,8.209920827876479,110.0,-10.2,8.180709015727182,23.8,23.5,0.003650197676290514,0.009260053159564435,0.26537631493748287,-0.37695558272556196,0.01854945263566146
Golden2002b (29060/449),HAMD17,True,paroxetine 20-50mg,2002,110.0,-12.1,8.180709015727182,110.0,-10.2,8.180709015727182,23.7,23.5,0.0,0.009174311926605505,0.17081773231247002,-0.23145375227175236,0.018178809948676686
Goldstein2002 (HMAQ - Study Group A),HAMD17,True,duloxetine,2002,68.0,-9.73,6.84,66.0,-6.61,6.74,18.47,19.44,0.014498185585099872,0.015154994259471873,0.38663024233431875,-0.4568201686531197,0.0302999307882394
Goldstein2002 (HMAQ - Study Group A),HAMD17,True,fluoxetine,2002,33.0,-7.75,6.89,66.0,-6.61,6.74,17.88,19.44,0.029943852409043667,0.023317307692307693,0.15910918950166064,-0.16659611821218193,0.04489340909117169
"Goldstein2004a (HMAT - Study Group A, ID#4091)",HAMD17,True,duloxetine 40mg,2004,90.0,-6.18,6.451046426743495,89.0,-4.78,6.415107169798491,17.47,17.79,0.005522809645334404,0.01129979570990807,0.2568777249662346,-0.21669754792536705,0.02228934463436623
"Goldstein2004a (HMAT - Study Group A, ID#4091)",HAMD17,True,duloxetine 80mg,2004,81.0,-6.31,6.3,89.0,-4.78,6.415107169798491,17.44,17.79,-0.0175378888384165,0.011931818181818182,0.2776951300497571,-0.2394696209406652,0.02354039036889731
"Goldstein2004a (HMAT - Study Group A, ID#4091)",HAMD17,True,paroxetine,2004,87.0,-7.4,6.435891546631282,89.0,-4.78,6.415107169798491,17.97,17.79,0.0033668091889284303,0.011495771670190275,0.4370394537067594,-0.4059973532123473,0.02300397960221176
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",HAMD17,True,duloxetine 40mg,2004,84.0,-7.42,7.332121111929344,88.0,-4.99,7.598473530913957,18.63,17.19,-0.03540555786724318,0.011771222822323778,0.39674314741586175,-0.32388052223203007,0.0233690457292683
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",HAMD17,True,duloxetine 80mg,2004,86.0,-8.61,7.51163098135152,88.0,-4.99,7.598473530913957,18.06,17.19,-0.01135953260795461,0.01162947937795808,0.5454884086762121,-0.4770174531453643,0.02344688776042263
"Goldstein2004b (HMAT  - Study Group B, ID#4091)",HAMD17,True,paroxetine,2004,84.0,-6.22,7.5154241397275765,88.0,-4.99,7.598473530913957,17.65,17.19,-0.010712945276871723,0.011771222822323778,0.2203339969876607,-0.16202157629758565,0.023139768772396062
"Gommoll2014 (LVM-MD-02, NCT00969150)",HAMD17,True,levomilnacipran,2014,174.0,-9.9,9.233634170791044,181.0,-9.2,8.072174428244226,24.9,24.4,0.13454220943423684,0.005667951188182402,0.07333127308554972,-0.08065142554675457,0.01123328160928873
Griebel2012 (Study DF15878) (NCT00358631),HAMD17,True,escitalopram,2012,81.0,-9.27,7.53,71.0,-7.7,7.57,23.4,23.0,-0.006190882780412303,0.013392857142857144,0.18556305071812554,-0.2069413719434226,0.026307428729461815
Griebel2012b (Study DF15879) (NCT00361491),HAMD17,True,paroxetine,2012,79.0,-16.1,7.4,76.0,-12.75,6.97,24.9,24.8,0.05960836518128136,0.013076923076923076,0.2332880003859823,-0.46348065894081447,0.026258362297824737
Guelfi1995 (VEN 600A-206 FDA),HAMD21,False,venlafaxine,1995,46.0,14.0,9.2,47.0,23.8,11.4,28.2,28.6,-0.2141683254517354,0.021980676328502417,-0.5306282510621704,-0.9371707835145242,0.047053989544171955
Halikas1995 (MIR 003-023 - FDA),HAMD21,True,mirtazapine,1995,49.0,-9.9,6.4,49.0,-6.6,7.3,24.6,23.5,-0.1315763577887192,0.020833333333333332,0.40546510810816455,-0.47695025016942777,0.04134572208379827
Halikas1995 (MIR 003-023 - FDA),HAMD21,True,trazodone,1995,48.0,-7.8,7.1,49.0,-6.6,7.3,24.6,23.5,-0.027557932901401946,0.02105496453900709,0.16705408466316624,-0.16530729859360638,0.040732736770955895
Heiligenstein1994,HAMD17,True,fluoxetine,1994,45.0,-12.3,7.76,43.0,-8.52,7.76,21.1,21.6,-0.0005411255411255401,0.023268398268398268,0.3671829215371475,-0.4828529349884286,0.04601787881740478
Heun2013 (lSRCTl\l5750736O),HAMD17,False,agomelatine,2013,148.0,13.4,7.5,70.0,16.1,7.6,26.8,26.7,-0.017090243017397082,0.01064773735581189,-0.18356456503355173,-0.3572201844573832,0.021189762498981534
Hewett2009 (WXL101497),MADRS,True,bupropion,2009,187.0,-16.0,9.03,197.0,-13.5,9.12,30.4,30.4,-0.009780285022498428,0.0052391924511740184,0.16989903679539742,-0.2749018100005776,0.010481344890406714
Hewett2009 (WXL101497),MADRS,True,venlafaxine,2009,185.0,-17.1,9.25,197.0,-13.5,9.12,30.0,30.4,0.014320118334278546,0.005268411712511091,0.23638877806423053,-0.39124694950367583,0.010640805251711566
Hewett2010a (AK130940) (NCT00093288),MADRS,True,bupropion,2010,210.0,-13.9,9.56430865248503,204.0,-12.4,9.712342662818278,29.5,29.8,-0.01542990440263957,0.004855398684799774,0.1141923675256548,-0.15535800796291435,0.009657877055808641
Hewett2010b (AK130939),MADRS,True,venlafaxine,2010,193.0,-17.0,10.56,186.0,-13.2,10.64,30.1,30.6,-0.007645741671419003,0.005306869369369369,0.2529965144638909,-0.3577994382399313,0.010684811525491054
Higuchi 2014(NCT01441440),HAMD17,True,venlafaxine 75mg,2016,174.0,-10.76,6.59545297913646,184.0,-9.25,6.511036783800257,,,0.01303969829627303,0.005622413847563094,0.15121200320930445,-0.22997126319977454,0.011208777173965923
