subset,k,studies,ln_mean_ratio,beta,lnVR,lnVR_lo,lnVR_hi,lnCVR,lnCVR_lo,lnCVR_hi,lnVR*,lnVR*_lo,lnVR*_hi
raw ENDPOINT scores,104,75,-0.18115917221625757,0.2897377308452154,-0.019026290841220424,-0.03503639272617632,-0.0033250933291115187,0.12327444779607144,0.0984504573467254,0.15029309111066833,0.022203602269146593,-0.01859032907071236,0.057638405960722214
baseline-to-endpoint CHANGE scores,240,146,0.2371302416460506,0.2897377308452154,0.005756533716156192,-0.002961670094312769,0.015443636506078886,-0.20415580188057733,-0.23130678156916099,-0.17800694246179075,-0.05506299007606071,-0.10506317139002656,0.0015040144525106775
