kind,statistic,beta,vr,lo,hi,sigma_int_over_sd,sigma_int_points,sd_control,k,studies
raw ENDPOINT,lnVR,0.2897377308452154,0.9811535665510812,0.9645366403300478,0.9968183838257633,0.0,0.0,8.274966090878756,104,75
raw ENDPOINT,lnCVR,0.2897377308452154,1.1311948322783343,1.1037453619548794,1.1625346824013936,0.5928632960355271,4.9059236712206005,8.274966090878756,104,75
raw ENDPOINT,lnVR*,0.2897377308452154,1.022451936814003,0.9823401888038309,1.0594679823192867,0.3499605771507705,2.8959119090669847,8.274966090878756,104,75
CHANGE score,lnVR,0.024457484134955996,1.005773134395205,0.9970021765040118,1.01562415933024,0.17746107464809463,1.47700362477225,8.322972390994186,240,146
CHANGE score,lnCVR,0.024457484134955996,0.8153353305131666,0.7931514444942211,0.8363866795275547,0.0,0.0,8.322972390994186,240,146
CHANGE score,lnVR*,0.024457484134955996,1.000622799957975,0.9763030477187191,1.030608484343617,0.2493067347687328,2.0749730703690736,8.322972390994186,240,146
