study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
Montgomery2004a (Study 99067),2004,escitalopram,HAMD17,148.0,19.99,146.0,-12.52,6.16,,True
Montgomery2004a (Study 99067),2004,venlafaxine,HAMD17,145.0,20.44,142.0,-12.83,6.2,,True
Wade2002 (ESC Study 99001 - FDA),2002,placebo,MADRS,189.0,28.7,189.0,16.7,9.1,,False
Wade2002 (ESC Study 99001 - FDA),2002,escitalopram,MADRS,191.0,29.2,188.0,14.3,9.1,,False
Lalit2004,2004,escitalopram,HAMD17,69.0,26.0,69.0,-20.0,7.76,,True
Lalit2004,2004,citalopram,HAMD17,74.0,25.0,74.0,-18.5,7.76,,True
Lalit2004,2004,sertraline,HAMD17,71.0,25.0,71.0,-20.0,7.76,,True
Colonna2005 (Study 99022),2005,escitalopram,MADRS,175.0,29.5,165.0,13.2,9.85,,False
Colonna2005 (Study 99022),2005,citalopram,MADRS,182.0,30.2,174.0,14.2,9.85,,False
Moore2005,2005,escitalopram,MADRS,142.0,36.3,138.0,-22.4,9.96,,True
Moore2005,2005,citalopram,MADRS,152.0,35.7,142.0,-20.3,9.96,,True
Kasper2005a (Study 99024),2005,escitalopram,MADRS,174.0,28.2,173.0,-15.5,9.96,,True
Kasper2005a (Study 99024),2005,fluoxetine,MADRS,164.0,28.5,164.0,-14.8,9.96,,True
Kasper2005a (Study 99024),2005,placebo,MADRS,180.0,28.6,180.0,-15.0,9.96,,True
Baldwin2006b (Study 99505),2006,paroxetine,MADRS,159.0,29.7,158.0,-18.31,9.96,,True
Baldwin2006b (Study 99505),2006,escitalopram,MADRS,166.0,29.6,165.0,-17.16,9.96,,True
Wade2007 (Study 10990),2007,escitalopram,HAMD17,144.0,22.7,141.0,9.93,6.66,,False
Wade2007 (Study 10990),2007,duloxetine,HAMD17,151.0,22.7,146.0,11.19,6.66,,False
Boulenger2006 (Study 10351),2006,escitalopram,MADRS,232.0,35.2,228.0,-20.93,9.96,,True
Boulenger2006 (Study 10351),2006,paroxetine,MADRS,227.0,34.8,223.0,-19.3,9.96,,True
Li2006,2006,escitalopram,HAMD17,28.0,23.7,28.0,-15.1,7.8,,True
Li2006,2006,citalopram,HAMD17,28.0,23.8,28.0,-12.1,7.7,,True
Yevtushenko2007,2007,escitalopram,MADRS,109.0,25.67049808429119,108.0,-28.7,8.105997779422346,,True
Yevtushenko2007,2007,citalopram,MADRS,110.0,35.7,108.0,-25.19,8.105997779422346,,True
Mao2008,2008,fluoxetine,HAMD17,117.0,24.1,113.0,9.4,7.4,,False
Mao2008,2008,escitalopram,HAMD17,123.0,24.7,118.0,8.9,6.5,,False
Hu2009,2009,escitalopram,HAMD17,25.0,21.3,25.0,6.76,3.1,,False
Hu2009,2009,citalopram,HAMD17,23.0,20.78,23.0,6.91,4.7,,False
Ou2010,2010,citalopram,HAMD17,120.0,22.9,117.0,9.1,7.5,,False
Ou2010,2010,escitalopram,HAMD17,120.0,23.4,115.0,8.6,7.2,,False
Hirayasu2011a,2011,escitalopram 10mg,HAMD17,100.0,22.3,96.0,8.7,6.5,,False
Hirayasu2011a,2011,escitalopram 20mg,HAMD17,105.0,22.2,101.0,9.9,7.7,,False
Hirayasu2011a,2011,placebo,HAMD17,105.0,22.5,100.0,9.3,6.6,,False
Hirayasu2011b,2011,placebo,MADRS,124.0,29.0,124.0,18.3,10.1,,False
Hirayasu2011b,2011,escitalopram 10mg,MADRS,121.0,29.4,120.0,15.6,11.0,,False
Hirayasu2011b,2011,escitalopram 20mg,MADRS,119.0,29.8,119.0,16.2,10.1,,False
Hirayasu2011b,2011,paroxetine,MADRS,121.0,29.8,121.0,15.6,10.0,,False
Dube2010 (NCT00420004),2010,escitalopram,HAMD21,62.0,,54.0,-15.0,8.818163074019441,base_mean:flagged-or-absent:*,True
Dube2010 (NCT00420004),2010,placebo,HAMD21,138.0,,122.0,-13.0,3.3136083051561784,base_mean:flagged-or-absent:*,True
Lv2013,2013,escitalopram,HAMD17,20.0,23.06,20.0,7.76,2.98,,False
Lv2013,2013,citalopram,HAMD17,22.0,22.78,22.0,7.9,3.11,,False
Kasper2012 (NCT00807248),2012,escitalopram,MADRS,140.0,35.4,140.0,-19.0,10.65,,True
Kasper2012 (NCT00807248),2012,placebo,MADRS,71.0,34.7,71.0,-13.4,9.27,,True
Griebel2012 (Study DF15878) (NCT00358631),2012,escitalopram,HAMD17,84.0,23.4,81.0,-9.27,7.53,,True
Griebel2012 (Study DF15878) (NCT00358631),2012,placebo,HAMD17,76.0,23.0,71.0,-7.7,7.57,,True
Mischoulon2014 (NCT00101452),2014,escitalopram,HAMD17,69.0,19.25,65.0,11.6483516483516,10.7496769977314,,False
Mischoulon2014 (NCT00101452),2014,placebo,HAMD17,65.0,19.43,60.0,12.3076923076923,8.649662806529898,,False
Study 19 (FDA) (Fabre1985),unpublished,fluoxetine,HAMD21,22.0,28.9,16.0,-12.5,7.3617750324356255,,True
Study 19 (FDA) (Fabre1985),unpublished,placebo,HAMD21,25.0,27.4,21.0,-5.5,7.3617750324356255,,True
Study 25 (FDA) (Rickels1986),unpublished,fluoxetine,HAMD21,18.0,25.2,15.0,16.3,8.59,,False
Study 25 (FDA) (Rickels1986),unpublished,placebo,HAMD21,24.0,25.8,23.0,17.0,8.59,,False
Study 62a (FDA) - MILD depression (Dunlop1990),unpublished,fluoxetine 60mg,HAMD21,104.0,17.2,97.0,-5.39,8.45,,True
Study 62a (FDA) - MILD depression (Dunlop1990),unpublished,fluoxetine 40mg,HAMD21,105.0,16.83,99.0,-6.04,8.45,,True
Study 62a (FDA) - MILD depression (Dunlop1990),unpublished,fluoxetine 20mg,HAMD21,107.0,16.99,103.0,-6.23,8.45,,True
Study 62a (FDA) - MILD depression (Dunlop1990),unpublished,placebo,HAMD21,56.0,17.41,56.0,-5.82,8.45,,True
Study 62b (FDA) - MODERATE depression,unpublished,fluoxetine 60mg,HAMD21,105.0,24.2,103.0,-7.2,9.02630118191504,,True
Study 62b (FDA) - MODERATE depression,unpublished,fluoxetine 40mg,HAMD21,103.0,24.19,97.0,-9.58,8.443527799015403,,True
Study 62b (FDA) - MODERATE depression,unpublished,fluoxetine 20mg,HAMD21,100.0,24.72,97.0,-9.78,8.469719815900428,,True
Study 62b (FDA) - MODERATE depression,unpublished,placebo,HAMD21,48.0,24.25,48.0,-5.69,8.64651626561029,,True
Chouinard1985,1985,fluoxetine,HAMD21,25.0,27.6,20.0,15.5,8.59,,False
Chouinard1985,1985,amitriptyline,HAMD21,28.0,25.9,24.0,10.6,8.59,,False
Stark1985 (Study 27 - FDA),1985,fluoxetine,HAMD21,185.0,27.5,185.0,-11.0,10.1,,True
Stark1985 (Study 27 - FDA),1985,placebo,HAMD21,169.0,28.1,169.0,-8.2,9.0,,True
DeRonchi1998,1988,fluoxetine,HAMD17,32.0,25.6,32.0,14.22,8.31,,False
DeRonchi1998,1988,amitriptyline,HAMD17,33.0,26.5,33.0,13.94,9.4,,False
Feighner1989a,1989,placebo,HAMD21,59.0,25.9,48.0,20.1,8.140638795573723,,False
Feighner1989a,1989,fluoxetine,HAMD21,62.0,25.6,52.0,17.69,9.150889137127603,,False
Falk1989,1989,trazodone,HAMD21,13.0,26.17,12.0,16.08,8.53,,False
Falk1989,1989,fluoxetine,HAMD21,14.0,23.77,13.0,10.08,7.57,,False
Fawcett1989,1989,amitriptyline,HAMD21,20.0,23.5,19.0,14.6,7.9,,False
Fawcett1989,1989,fluoxetine,HAMD21,20.0,23.6,19.0,12.8,6.5,,False
Manna1989,1989,fluoxetine,HAMD17,15.0,25.7,15.0,8.5,4.5,,False
Manna1989,1989,clomipramine,HAMD17,15.0,25.0,15.0,10.0,4.5,,False
Ginestet1989,1989,fluoxetine,HAMD21,28.0,33.1,28.0,10.4,7.2,,False
Ginestet1989,1989,clomipramine,HAMD21,26.0,33.7,26.0,10.5,12.0,,False
Beasley1991,1991,trazodone,HAMD21,61.0,24.3,57.0,-13.9,7.7,,True
Beasley1991,1991,fluoxetine,HAMD21,65.0,23.4,63.0,-12.2,7.2,,True
Judd1993,1993,amitriptyline,HAMD17,28.0,23.7,23.0,11.6,6.0,,False
Heiligenstein1994,1994,fluoxetine,HAMD17,46.0,21.1,45.0,-12.3,7.76,,True
Heiligenstein1994,1994,placebo,HAMD17,43.0,21.6,43.0,-8.52,7.76,,True
Lam1995,1995,fluoxetine,HAMD21,36.0,18.7,36.0,8.4,6.8,,False
Lam1995,1995,placebo,HAMD21,32.0,18.3,32.0,10.7,7.1,,False
Tollefson1995,1995,fluoxetine,HAMD17,335.0,22.2,326.0,14.0,7.7,,False
Tollefson1995,1995,placebo,HAMD17,336.0,22.1,329.0,15.7,7.4,,False
Marchesi1998,1998,fluoxetine,HAMD17,67.0,25.5,67.0,8.96,6.6,,False
Marchesi1998,1998,amitriptyline,HAMD17,75.0,25.3,75.0,8.15,6.9,,False
OntiverosSanchez1998,1998,fluoxetine,HAMD17,21.0,23.5,21.0,7.8,6.21,,False
OntiverosSanchez1998,1998,amitriptyline,HAMD17,21.0,23.1,21.0,5.8,5.45,,False
Versiani1999,1999,fluoxetine,HAMD21,77.0,28.4,77.0,10.5,8.9,,False
Versiani1999,1999,amitriptyline,HAMD21,80.0,27.8,79.0,8.7,7.7,,False
McGrath2000,2000,fluoxetine,HAMD17,49.0,,49.0,7.7,5.6,base_mean:flagged-or-absent:*,False
McGrath2000,2000,placebo,HAMD17,52.0,,52.0,10.3,6.3,base_mean:flagged-or-absent:*,False
Fava2002,2002,sertraline,HAMD17,96.0,21.0,96.0,8.11,7.21,,False
Fava2002,2002,fluoxetine,HAMD17,92.0,20.5,88.0,8.73,7.16,,False
Fava2002,2002,paroxetine,HAMD17,96.0,20.600000381469727,93.0,8.33,6.9,,False
LopezRodriguez2004,2004,fluoxetine,HAMD21,10.0,17.27,10.0,6.0,8.59,,False
LopezRodriguez2004,2004,placebo,HAMD21,10.0,17.27,10.0,14.0,8.59,,False
NCT01808612,unpublished,fluoxetine 20mg,HAMD21,169.0,,168.0,-6.18,7.38804439618496,base_mean:flagged-or-absent:*,True
NCT01808612,unpublished,fluoxetine 40mg,HAMD21,84.0,,83.0,-6.25,7.015033855941111,base_mean:flagged-or-absent:*,True
NCT01808612,unpublished,placebo,HAMD21,260.0,,259.0,-6.91,7.88580370032123,base_mean:flagged-or-absent:*,True
Fava2005,2005,placebo,HAMD17,43.0,19.9,43.0,12.6,6.4,,False
Fava2005,2005,fluoxetine,HAMD17,47.0,19.6,47.0,13.3,7.3,,False
Bjerkenstedt2005,2005,fluoxetine,HAMD21,57.0,23.8,54.0,14.9,8.4,,False
Bjerkenstedt2005,2005,placebo,HAMD21,58.0,25.2,55.0,15.5,6.7,,False
Moreno2005,2005,fluoxetine,HAMD21,20.0,15.41,20.0,6.603260869565217,5.104068209510389,,False
Moreno2005,2005,placebo,HAMD21,26.0,16.49,26.0,10.597826086956522,8.03649814642341,,False
DeWilde1983a,1983,fluvoxamine,HAMD17,22.0,23.4,21.0,6.4,7.52,,False
DeWilde1983a,1983,clomipramine,HAMD17,21.0,24.2,21.0,5.1,7.52,,False
Norton1984,1984,fluvoxamine,HAMD17,35.0,19.5,33.0,11.57,7.52,,False
Norton1984,1984,placebo,HAMD17,25.0,19.9,25.0,11.59,7.52,,False
Cassano1986,1986,fluvoxamine,HAMD17,161.0,25.61,120.0,13.41,7.52,,False
Remick1994,1994,fluvoxamine,HAMD17,16.0,23.8,13.0,8.7,7.2,,False
Nemeroff1995,1995,fluvoxamine,HAMD21,49.0,24.57,46.0,11.07,5.26,,False
Nemeroff1995,1995,sertraline,HAMD21,48.0,23.15,46.0,11.58,6.25,,False
Ottevanger1995,1995,fluvoxamine,HAMD17,20.0,26.4,20.0,12.8,9.07,,False
Ottevanger1995,1995,clomipramine,HAMD17,20.0,25.7,20.0,11.6,7.02,,False
Rapaport1996,1996,fluvoxamine,HAMD21,51.0,25.2,47.0,9.6,8.59,,False
Rapaport1996,1996,fluoxetine,HAMD21,49.0,25.6,46.0,9.7,8.59,,False
Claghorn1996,1996,fluvoxamine,HAMD21,50.0,26.09,44.0,15.98,8.59,,False
Claghorn1996,1996,placebo,HAMD21,50.0,26.42,45.0,19.84,8.59,,False
Fabre1996,1996,fluvoxamine,HAMD21,50.0,27.7,46.0,-13.5,8.45,,True
Fabre1996,1996,placebo,HAMD21,50.0,26.0,44.0,-8.5,8.45,,True
Kiev1997,1997,fluvoxamine,HAMD21,30.0,24.4,29.0,10.9,7.3,,False
Kiev1997,1997,paroxetine,HAMD21,30.0,24.4,29.0,11.5,7.4,,False
Murasaki1998,1998,fluvoxamine,HAMD21,113.0,22.9,96.0,12.5,9.5,,False
Murasaki1998,1998,amitriptyline,HAMD21,122.0,23.6,104.0,12.7,8.7,,False
Dalery2003,2003,fluvoxamine,HAMD17,90.0,22.3,86.0,10.0,7.52,,False
Dalery2003,2003,fluoxetine,HAMD17,94.0,22.2,91.0,11.3,7.52,,False
Rossini2005,2005,fluvoxamine,HAMD21,40.0,31.23,39.0,7.56,12.31,,False
Rossini2005,2005,sertraline,HAMD21,48.0,29.23,45.0,11.27,11.33,,False
"Montgomery2013 (F02695LP202, EudraCT2006-002404-34)",2013,placebo,HAMD17,281.0,25.8,277.0,-11.5,7.65592580946289,,True
"Montgomery2013 (F02695LP202, EudraCT2006-002404-34)",2013,levomilnacipran,HAMD17,282.0,26.2,276.0,-14.9,7.475961476626267,,True
"Gommoll2014 (LVM-MD-02, NCT00969150)",2014,placebo,HAMD17,182.0,24.4,181.0,-9.2,8.072174428244226,,True
"Gommoll2014 (LVM-MD-02, NCT00969150)",2014,levomilnacipran,HAMD17,175.0,24.9,174.0,-9.9,9.233634170791044,,True
"Asnis2013 (LVM-MD-01, NCT00969709)",2013,placebo,HAMD17,179.0,24.6,175.0,-8.4,8.86326689206638,,True
"Asnis2013 (LVM-MD-01, NCT00969709)",2013,levomilnacipran 40mg,HAMD17,181.0,24.7,176.0,-9.6,9.153884421380903,,True
"Asnis2013 (LVM-MD-01, NCT00969709)",2013,levomilnacipran 80mg,HAMD17,181.0,24.9,177.0,-10.5,9.179852939998549,,True
"Asnis2013 (LVM-MD-01, NCT00969709)",2013,levomilnacipran 120mg,HAMD17,183.0,25.0,176.0,-10.8,9.419214404609335,,True
"Sambunaris2014 (LVM-MD-03, NCT01034462)",2014,placebo,HAMD17,220.0,22.9,214.0,-7.5,7.314369419163897,,True
"Sambunaris2014 (LVM-MD-03, NCT01034462)",2014,levomilnacipran,HAMD17,222.0,23.3,215.0,-9.6,7.33143914930759,,True
"Bakish2014 (LVM-MD-10, NCT01377194)",2014,placebo,MADRS,189.0,31.0,185.0,-11.3,10.473132291726293,,True
"Bakish2014 (LVM-MD-10, NCT01377194)",2014,levomilnacipran 40mg,MADRS,190.0,30.8,185.0,-14.6,10.745161701901,,True
"Bakish2014 (LVM-MD-10, NCT01377194)",2014,levomilnacipran 80mg,MADRS,189.0,31.2,187.0,-14.4,10.803087521630102,,True
Ansseau1989a,1989,milnacipran 50mg,HAMD17,47.0,25.1,42.0,11.4,7.9,,False
Ansseau1989a,1989,milnacipran 100mg,HAMD17,48.0,24.4,44.0,9.2,6.7,,False
Ansseau1989a,1989,amitriptyline,HAMD17,49.0,24.8,45.0,8.1,5.7,,False
Leinonen1997,1997,milnacipran,HAMD17,52.0,23.7,47.0,12.12,5.78,,False
Leinonen1997,1997,clomipramine,HAMD17,55.0,23.1,46.0,8.18,5.56,,False
Guelfi1998,1998,milnacipran 100mg,HAMD17,100.0,27.9,92.0,-14.8,9.8,,True
Guelfi1998,1998,milnacipran 200mg,HAMD17,100.0,27.7,96.0,-12.9,11.4,,True
Guelfi1998,1998,fluoxetine,HAMD17,100.0,27.4,100.0,-12.1,10.0,,True
Sechter2004,2004,milnacipran,HAMD17,149.0,23.7,148.0,11.9,7.52,,False
Sechter2004,2004,paroxetine,HAMD17,153.0,23.4,151.0,11.4,7.52,,False
Kamijima2013 (japicCTI-090733),2013,milnacipran 100mg,HAMD17,303.0,22.1,249.0,9.2,6.0,,False
Kamijima2013 (japicCTI-090733),2013,milnacipran 200mg,HAMD17,301.0,22.3,255.0,9.6,6.4,,False
Kamijima2013 (japicCTI-090733),2013,paroxetine,HAMD17,301.0,22.1,253.0,9.0,6.0,,False
MIR 003-003 (FDA),unpublished,mirtazapine,HAMD21,45.0,25.4,45.0,-10.4,8.7,,True
MIR 003-003 (FDA),unpublished,placebo,HAMD21,45.0,25.5,45.0,-8.8,8.1,,True
MIR 003-020 (FDA),unpublished,mirtazapine,HAMD21,44.0,27.8,40.0,-10.6,8.7,,True
MIR 003-020 (FDA),unpublished,amitriptyline,HAMD21,43.0,29.2,40.0,-11.5,9.1,,True
MIR 003-020 (FDA),unpublished,placebo,HAMD21,43.0,29.5,39.0,-4.8,6.4,,True
MIR 003-021 (FDA),unpublished,mirtazapine,HAMD21,50.0,24.2,45.0,-11.7,7.6,,True
MIR 003-021 (FDA),unpublished,amitriptyline,HAMD21,50.0,25.0,48.0,-13.6,7.2,,True
MIR 003-021 (FDA),unpublished,placebo,HAMD21,50.0,24.4,48.0,-9.5,8.9,,True
Vartiainen1994 (MIR 84023 FDA),1994,mirtazapine,HAMD21,60.0,25.6,44.0,-10.9,9.7,,True
Vartiainen1994 (MIR 84023 FDA),1994,placebo,HAMD21,57.0,26.0,45.0,-9.0,9.2,,True
MIR 84062 (FDA),unpublished,mirtazapine,HAMD17,15.0,,15.0,7.1,6.8,base_mean:flagged-or-absent:*,False
MIR 84062 (FDA),unpublished,amitriptyline,HAMD17,15.0,,15.0,10.3,12.1,base_mean:flagged-or-absent:*,False
MIR 84062 (FDA),unpublished,placebo,HAMD17,15.0,,15.0,8.4,9.6,base_mean:flagged-or-absent:*,False
Smith1990 (MIR 003-024 FDA),1990,mirtazapine,HAMD21,50.0,27.5,50.0,-12.1,8.4,,True
Smith1990 (MIR 003-024 FDA),1990,amitriptyline,HAMD21,50.0,27.6,49.0,-13.9,9.0,,True
Smith1990 (MIR 003-024 FDA),1990,placebo,HAMD21,50.0,27.7,48.0,-7.7,9.7,,True
Bremner1995(MIR 003-022 - FDA),1995,amitriptyline,HAMD21,50.0,32.0,50.0,-14.1,8.9,,True
Bremner1995(MIR 003-022 - FDA),1995,placebo,HAMD21,50.0,31.2,50.0,-9.0,9.0,,True
Bremner1995(MIR 003-022 - FDA),1995,mirtazapine,HAMD21,50.0,33.0,49.0,-16.1,10.7,,True
Claghorn1995 (MIR 003-002 (FDA),1995,mirtazapine,HAMD21,45.0,24.2,44.0,-11.7,8.5,,True
Claghorn1995 (MIR 003-002 (FDA),1995,placebo,HAMD21,45.0,24.7,44.0,-5.4,8.5,,True
Halikas1995 (MIR 003-023 - FDA),1995,mirtazapine,HAMD21,50.0,24.6,49.0,-9.9,6.4,,True
Halikas1995 (MIR 003-023 - FDA),1995,trazodone,HAMD21,50.0,24.6,48.0,-7.8,7.1,,True
Halikas1995 (MIR 003-023 - FDA),1995,placebo,HAMD21,50.0,23.5,49.0,-6.6,7.3,,True
"Hoyberg1996 (Organon 88013, FDA88013)",1996,mirtazapine,HAMD17,56.0,26.7,54.0,13.2,8.5,,False
"Hoyberg1996 (Organon 88013, FDA88013)",1996,amitriptyline,HAMD17,59.0,25.7,59.0,10.3,6.7,,False
Mullin1996,1996,mirtazapine,HAMD17,79.0,22.5,71.0,11.7,7.3,,False
Mullin1996,1996,amitriptyline,HAMD17,77.0,22.6,71.0,10.7,6.8,,False
"Zivkov1995 (Organon 85146, FDA85146)",1997,mirtazapine,HAMD17,103.0,27.3,71.0,9.8,7.6,,False
"Zivkov1995 (Organon 85146, FDA85146)",1997,amitriptyline,HAMD17,104.0,26.2,73.0,9.0,6.9,,False
Wheatley1998,1998,mirtazapine,HAMD17,66.0,26.0,60.0,-14.2,11.1,,True
Wheatley1998,1998,fluoxetine,HAMD17,67.0,26.1,63.0,-10.3,11.1,,True
Leinonen1999 (Agren1995),1999,mirtazapine,MADRS,137.0,29.6,136.0,9.1,9.85,,False
Leinonen1999 (Agren1995),1999,citalopram,MADRS,133.0,29.1,133.0,8.9,9.85,,False
Benkert2000 (E-1559),2000,mirtazapine,HAMD17,139.0,22.4,127.0,10.7,7.52,,False
Benkert2000 (E-1559),2000,paroxetine,HAMD17,136.0,22.4,123.0,11.9,7.52,,False
Schatzberg2002 (003-901),2002,mirtazapine,HAMD17,128.0,22.2,126.0,-9.22,5.7,,True
Schatzberg2002 (003-901),2002,paroxetine,HAMD17,126.0,22.4,120.0,-7.29,5.9,,True
Hong2003 (22521),2003,mirtazapine,HAMD17,66.0,23.1,60.0,11.3,7.52,,False
Hong2003 (22521),2003,fluoxetine,HAMD17,66.0,24.3,59.0,14.0,7.52,,False
Winokur2003,2003,mirtazapine,HAMD21,8.0,25.6,8.0,7.1,3.7,,False
Winokur2003,2003,fluoxetine,HAMD21,12.0,26.7,11.0,12.2,9.2,,False
Versiani2005,2005,mirtazapine,HAMD17,145.0,29.0,145.0,12.7,7.52,,False
Versiani2005,2005,fluoxetine,HAMD17,149.0,28.0,147.0,12.7,7.52,,False
Szegedi2006,2006,mirtazapine,HAMD17,130.0,24.6,127.0,-11.6,6.2,,True
Szegedi2006,2006,venlafaxine,HAMD17,128.0,24.9,115.0,-12.3,6.2,,True
Kinoshita2009,2009,mirtazapine 15mg,HAMD17,70.0,23.2,65.0,-13.3,6.8,,True
Kinoshita2009,2009,mirtazapine 30mg,HAMD17,70.0,22.5,66.0,-13.8,6.9,,True
Kinoshita2009,2009,mirtazapine 45mg,HAMD17,71.0,22.1,69.0,-11.9,7.6,,True
Kinoshita2009,2009,placebo,HAMD17,70.0,22.5,70.0,-10.4,7.5,,True
003-048,unpublished,fluoxetine,HAMD17,210.0,22.8,179.0,12.3,7.08,,False
003-048,unpublished,placebo,HAMD17,72.0,23.0,59.0,13.2,7.73,,False
003-008 (FDA),unpublished,mirtazapine 15mg,HAMD21,30.0,26.0,30.0,-7.6,7.7,,True
003-008 (FDA),unpublished,mirtazapine 30mg,HAMD21,30.0,25.5,28.0,-7.3,7.7,,True
003-008 (FDA),unpublished,placebo,HAMD21,30.0,25.8,28.0,-9.6,7.7,,True
003-042,unpublished,mirtazapine 15mg,HAMD21,70.0,25.3,69.0,15.6,9.7,,False
003-042,unpublished,mirtazapine 30mg,HAMD21,70.0,24.7,69.0,14.6,8.2,,False
003-042,unpublished,mirtazapine 45mg,HAMD21,70.0,25.0,69.0,15.5,8.7,,False
003-042,unpublished,placebo,HAMD21,70.0,25.9,66.0,17.8,9.0,,False
"Murasaki2010a (iQWIG22532, Schoemaker2002)",2002,mirtazapine,HAMD17,104.0,25.1,101.0,10.7,7.65,,False
"Murasaki2010a (iQWIG22532, Schoemaker2002)",2002,fluvoxamine,HAMD17,105.0,25.1,104.0,10.0,7.63,,False
"Murasaki2010b (iQWIG9902, Schoemaker2002)",2002,mirtazapine,HAMD17,101.0,22.9,100.0,8.9,6.35,,False
"Murasaki2010b (iQWIG9902, Schoemaker2002)",2002,fluvoxamine,HAMD17,102.0,22.5,101.0,10.5,7.93,,False
Benkert2006(C-1763),2006,mirtazapine,HAMD17,140.0,24.6,127.0,-12.6,7.0,,True
Benkert2006(C-1763),2006,venlafaxine,HAMD17,135.0,24.9,115.0,-11.7,7.6,,True
E-1569,unpublished,mirtazapine,HAMD17,73.0,24.6,72.0,-12.2,7.5,,True
E-1569,unpublished,paroxetine,HAMD17,75.0,25.7,72.0,-15.0,6.6,,True
"Debonnel2000 (Blier2009, iQWIG E-1639)",2009,mirtazapine,HAMD17,21.0,24.0,18.0,15.9,7.2,,False
"Debonnel2000 (Blier2009, iQWIG E-1639)",2009,paroxetine,HAMD17,21.0,24.2,18.0,12.8,7.7,,False
Ansseau1994c,1994,nefazodone,HAMD17,55.0,27.7,54.0,18.1,8.7,,False
Ansseau1994c,1994,amitriptyline,HAMD17,51.0,28.1,49.0,11.4,8.4,,False
Armitage1997,1997,nefazodone,HAMD17,22.0,23.5,22.0,-12.0,7.76,,True
Armitage1997,1997,fluoxetine,HAMD17,21.0,23.6,21.0,-12.1,7.76,,True
Baldwin1996,1996,nefazodone,HAMD17,105.0,24.6,100.0,-9.7,7.76,,True
Baldwin1996,1996,paroxetine,HAMD17,101.0,24.8,95.0,-10.5,7.76,,True
Berlanga1997,1997,nefazodone,HAMD17,37.0,25.1,36.0,-12.3,7.76,,True
Berlanga1997,1997,fluoxetine,HAMD17,37.0,23.7,37.0,-12.4,7.76,,True
D'Amico1990 (FDA 030-A2-0007),1990,nefazodone 200mg,HAMD17,47.0,26.1,46.0,-13.3,8.05,,True
D'Amico1990 (FDA 030-A2-0007),1990,nefazodone 300mg,HAMD17,47.0,25.4,41.0,-10.7,8.05,,True
D'Amico1990 (FDA 030-A2-0007),1990,placebo,HAMD17,47.0,26.4,47.0,-9.8,8.05,,True
Feiger1996,1996,nefazodone,HAMD17,78.0,23.3,71.0,11.7,7.52,,False
Feiger1996,1996,sertraline,HAMD17,82.0,23.3,72.0,11.7,7.52,,False
Feighner1998,1998,nefazodone,HAMD17,61.0,27.5,58.0,-12.2,9.13892772703669,,True
Feighner1998,1998,placebo,HAMD17,59.0,27.9,59.0,-7.7,8.44926032265547,,True
Fontaine1994 (FDA 03A0A-003),1994,nefazodone 50-250mg,HAMD17,46.0,25.2,46.0,-8.2,8.89,,True
Fontaine1994 (FDA 03A0A-003),1994,nefazodone 100-500mg,HAMD17,44.0,25.6,44.0,-11.0,8.89,,True
Fontaine1994 (FDA 03A0A-003),1994,placebo,HAMD17,45.0,25.9,45.0,-6.8,8.89,,True
Gillin1997,1997,nefazodone,HAMD17,24.0,22.9,24.0,-11.5,6.907561074648561,,True
Gillin1997,1997,fluoxetine,HAMD17,20.0,23.2,20.0,-10.3,6.037383539249433,,True
Mendels1995 (FDA 03A0A-004B),1995,nefazodone 50-300mg,HAMD17,80.0,25.1,78.0,-10.1,8.85,,True
Mendels1995 (FDA 03A0A-004B),1995,nefazodone 100-600mg,HAMD17,80.0,25.4,78.0,-12.7,8.85,,True
Mendels1995 (FDA 03A0A-004B),1995,placebo,HAMD17,80.0,25.0,75.0,-9.5,8.85,,True
Rickels1994 ( FDA CN104-005),1994,nefazodone,HAMD17,96.0,24.4,86.0,-12.0,7.64,,True
Rickels1994 ( FDA CN104-005),1994,placebo,HAMD17,95.0,23.5,90.0,-8.2,7.64,,True
Rickels1995 (FDA CN104-006-1),1995,nefazodone,HAMD17,45.0,24.2,41.0,-8.0,7.3,,True
Rickels1995 (FDA CN104-006-1),1995,placebo,HAMD17,44.0,24.2,36.0,-8.6,7.3,,True
Cohn1996 (FDA CN104-006-2),1996,nefazodone,HAMD17,43.0,22.8,39.0,-12.1,7.6,,True
Cohn1996 (FDA CN104-006-2),1996,placebo,HAMD17,43.0,23.4,42.0,-9.2,7.6,,True
CN104-002 (FDA),unpublished,nefazodone,HAMD17,60.0,23.3,57.0,-10.8,7.86,,True
CN104-002 (FDA),unpublished,placebo,HAMD17,60.0,23.1,57.0,-8.2,7.86,,True
03A0A-004A (FDA),unpublished,nefazodone 150-300mg,HAMD17,80.0,23.2,77.0,-8.3,7.96,,True
03A0A-004A (FDA),unpublished,nefazodone 300-600mg,HAMD17,80.0,23.6,76.0,-9.5,7.96,,True
03A0A-004A (FDA),unpublished,placebo,HAMD17,80.0,23.5,77.0,-8.9,7.96,,True
PAR 01 001 (GSK & FDA),1989,paroxetine,HAMD21,25.0,27.9,22.0,-13.36,7.93,,True
PAR 01 001 (GSK & FDA),1989,placebo,HAMD21,25.0,27.5,21.0,-11.33,7.93,,True
PAR 29060/281,unpublished,paroxetine,HAMD21,82.0,27.8,76.0,16.1,8.59,,False
