route,beta,lo,hi,n_arms,n_studies
R1 placebo arms only,0.2897377308452154,0.02993256076279104,0.5244202204343034,76,76
R2 active arms only,0.3409986128807356,0.21114171123505202,0.48004192368325493,294,171
   all raw-endpoint arms,0.30042634281357267,0.19348789839448244,0.41158526092116526,370,172
"placebo, HAMD17",0.26643045903524365,0.041059484344091846,0.49180143372639545,39,39
"placebo, HAMD21",0.3561896167309512,0.07629217423652435,0.636087059225378,33,33
