id,idnoyear,year,tx,ct,d,criterion_percent,sd0tx,sd0ct,mu1tx,mu1ct,sd1tx,sd1ct,ntx,nct,duration,responder,statstest,diagnosis,reference,doi,path
Kinon2011,Kinon,2011,Olanzapine,PBO,,,24.25,24.3,-20.68,-14.6,24.25,24.3,62,122,4,0,MMRM,Schizophrenia (DSM-IV),"Kinon BJ, Zhang L, Millen BA, et al. A multicenter, inpatient, phase 2, double-blind, placebo-controlled dose-ranging study of LY2140023 monohydrate in patients with DSM-IV schizophrenia. J Clin Psychopharmacol 2011; 31(3):  349-55.",10.1097/jcp.0b013e318218dcd5,/home/stephanie/Desktop/response/lib/Kinon2011.pdf
Lieberman2015,Lieberman,2015,Risperidone,PBO,0.4,30,12.2,13.1,-13.4,-7.4,14.9,15.03,75,80,4,1,MMRM,Schizophrenia (SCID-CT),"Lieberman JA, Davis RE, Correll CU, et al. ITI-007 for the Treatment of Schizophrenia:    A 4-Week Randomized, Double-Blind, Controlled Trial. Biological psychiatry 2016; 79(12): 952-61.",10.1016/j.biopsych.2015.08.026,/home/stephanie/Desktop/response/lib/Lieberman2016.pdf
Lindenmayer2008,Lindenmayer,2008,Quetiapine,PBO,,,,,-10.7,-5.6,20.4,18.6,252,78,6,,,Acute exacerbation of schizophrenia (DSM-IV),"Lindenmayer JP, Brown D, Liu S, Brecher M, Meulien D. The efficacy and tolerability of once-daily extended release quetiapine fumarate in hospitalized patients  with  acute  schizophrenia: a 6-week randomized, double-blind, placebo-controlled study. PsychopharmacolBull 2008; 41(3): 11-35.",,https://medworksmedia.com/product/4282/
Litman2016,Litman,2016,Risperidone,PBO,,,,,-8.78,-0.99,6.46,11.14,30,53,4,0,MMRM,Schizophrenia (DSM-IV),"Litman RE, Smith MA, Doherty JJ, et al. AZD8529, a positive allosteric modulator at the mGluR2 receptor, does not improve symptoms in schizophrenia: A proof of principle study. Schizophrenia research 2016; 172(1-3): 152-7.",10.1016/j.schres.2016.02.001,/home/stephanie/Desktop/response/lib/Litman2016.pdf
Litman2014,Litman,2014,Olanzapine,PBO,,70,,,-8.24,4.82,14.84,14.99,22,41,4,1,ANOVA,Schizophrenia (DSM-IV),"Litman RE, Smith MA, Desai DG, Simpson T, Sweitzer D, Kanes SJ. The selective neurokinin 3 antagonist AZD2624 does not improve symptoms or cognition in schizophrenia: a proof-of-principle study. J Clin Psychopharmacol 2014; 34(2):  199-204.",10.1097/jcp.0000000000000071,/home/stephanie/Desktop/response/lib/Litman2014.pdf
Loebel2013,Loebel,2013,Lurasidone,PBO,0.71,20,10.75,10.2,-24.32,-10.3,20.1,19.7,246,120,6,1,MMRM,Schizophrenia (DSM-IV),"Loebel A, Cucchiaro J, Sarma K, et al. Efficacy and safety of lurasidone 80 mg/day and  160 mg/day in the treatment of schizophrenia: a randomized, double-blind, placebo- and active- controlled trial. Schizophr Res 2013; 145(1-3): 101-9.",10.1016/j.schres.2013.01.009,/home/stephanie/Desktop/response/lib/Loebel2013.pdf
Loebel2013,Loebel,2013,Quetiapine,PBO,,20,10.2,10.2,-27.8,-10.3,19.4,19.7,116,120,6,1,MMRM,Schizophrenia (DSM-IV),"Loebel A, Cucchiaro J, Sarma K, et al. Efficacy and safety of lurasidone 80 mg/day and  160 mg/day in the treatment of schizophrenia: a randomized, double-blind, placebo- and active- controlled trial. Schizophr Res 2013; 145(1-3): 101-9.",10.1016/j.schres.2013.01.009,/home/stephanie/Desktop/response/lib/Loebel2013.pdf
Marder1994,Marder,1994,Haloperidol,PBO,,20,17.4,16.7,-4.1,3.3,19.4,22.2,64,64,8,1,ANOVA,Chronic schizophrenia (DSM-III-R),"Marder SR, Meibach RC. Risperidone in the treatment of schizophrenia. AmJPsychiatry 1994; 151: 825-35.",10.1176/ajp.151.6.825,/home/stephanie/Desktop/response/lib/Marder1994.pdf
Marder1994,Marder,1994,Risperidone,PBO,,20,19.1,16.7,-16.1,3.3,19.2,22.2,63,64,8,1,ANOVA,Chronic schizophrenia (DSM-III-R),"Marder SR, Meibach RC. Risperidone in the treatment of schizophrenia. AmJPsychiatry 1994; 151: 825-35.",10.1176/ajp.151.6.825,/home/stephanie/Desktop/response/lib/Marder1994.pdf
Marder2007,Marder,2007,Olanzapine,PBO,,30,12.4,11.7,-18.4,-8,19.9,21.5,105,105,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Marder SR, Kramer M, Ford L, et al. Efficacy and safety of paliperidone extended-release tablets: results of a 6-week, randomized, placebo-controlled study. BiolPsychiatry 2007; 62(12): 1363-70.",10.1016/j.biopsych.2007.01.017,/home/stephanie/Desktop/response/lib/Marder2007-pdf
Marder2007,Marder,2007,Paliperidone,PBO,,30,11.7,11.7,-16.6,-8,19.38,21.5,222,105,6,1,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Marder SR, Kramer M, Ford L, et al. Efficacy and safety of paliperidone extended-release tablets: results of a 6-week, randomized, placebo-controlled study. BiolPsychiatry 2007; 62(12): 1363-70.",10.1016/j.biopsych.2007.01.017,/home/stephanie/Desktop/response/lib/Marder2007-pdf
McEvoy2007,McEvoy,2007,Aripiprazole,PBO,,30,30.14,21.82,-13.04,-2.33,24.54,25.54,200,107,6,1,ANCOVA,Schizophrenia with acute relapse (DSM-IV),"McEvoy JP, Daniel DG, Carson WH, Jr., McQuade RD, Marcus RN. A randomized, double-blind, placebo-controlled, study of the efficacy and safety of aripiprazole 10, 15 or 20 mg/day for the treatment of patients with acute exacerbations of schizophrenia. JPsychiatrRes 2007; 41(11): 895-905.",10.1016/j.jpsychires.2007.05.002,/home/stephanie/Desktop/response/lib/McEnvoy2007.pdf
Meltzer2004,Meltzer,2004,Haloperidol,PBO,,,16.7,14.6,-14,-4.2,19.9,17.6,95,96,6,0,ANCOVA,Acute schizophrenia (DSM-IV),"Meltzer HY, Arvanitis L, Bauer D, Rein W, Group M-TS. Placebo-controlled evaluation   of four novel compounds for the treatment of schizophrenia and schizoaffective disorder.  American Journal of Psychiatry. United States of America; 2004. p.  975-84.",10.1176/appi.ajp.161.6.975,/home/stephanie/Desktop/response/lib/Meltzer2004.pdf
