id,idnoyear,year,tx,ct,d,criterion_percent,sd0tx,sd0ct,mu1tx,mu1ct,sd1tx,sd1ct,ntx,nct,duration,responder,statstest,diagnosis,reference,doi,path
Potkin2008,Potkin,2008,Iloperidone,PBO,,,,,-8.6,-4.1,19.6,24.1,115,117,6,,ANCOVA,Acute or subacute exacerbation of schizophrenia or schizoaffective disorder (DSM-IV),"Potkin SG, Litman RE, Torres R, Wolfgang CD. Efficacy of iloperidone in the treatment   of schizophrenia: initial phase 3 studies. JClinPsychopharmacol 2008; 28(2 Suppl 1):  S4-11.",10.1097/jcp.0b013e3181692787,/home/stephanie/Desktop/response/lib/Potkin2008.pdf
Schmidt2012,Schmidt,2012,Olanzapine,PBO,,30,11.15,10.39,-22.9,-6.4,16.92,15.13,81,55,6,1,MMRM,Acute schizophrenia (DSM-IV),"Schmidt ME, Kent JM, Daly E, et al. A double-blind, randomized, placebo-controlled  study with JNJ-37822681, a novel, highly selective, fast dissociating D(2) receptor antagonist in the treatment of acute exacerbation of schizophrenia. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology 2012; 22(10):  721-33.",10.1016/j.euroneuro.2012.02.007,/home/stephanie/Desktop/response/lib/Schmidt2012.pdf
Shen2014,Shen,2014,Olanzapine,PBO,,20,11.67,10.21,-14.7,-2.7,20.22,20.56,71,71,6,1,ANCOVA,Acute schizophrenia (DSM-IV-TR),"Shen JH, Zhao Y, Rosenzweig-Lipson S, et al. A 6-week randomized, double-blind, placebo-controlled, comparator referenced trial of vabicaserin in acute schizophrenia. J Psychiatr Res 2014; 53: 14-22.",10.1016/j.jpsychires.2014.02.012,/home/stephanie/Desktop/response/lib/Shen2014.pdf
Study049,Study049,2010,Lurasidone,PBO,,,,,-10.52,-12.3,19.8,19.55,135,71,6,,,Schizophrenia (DSM-IV),"049 S. A 6-week, double-blind, randomized, fixed dose, parallel-group study of  the  efficacy and safety of three dose levels of SM-13496 (lurasidone) compared to placebo and haloperidol in patients with schizophrenia who are experiencing an acute exacerbation of symptoms. Center for drug evaluation and researchApplication number 200603Medical review(s)http://wwwfgagov 2010.",,
Study115,Study115,2000,Haloperidol,PBO,,,,,-15.2,-0.4,27.84,23.11,82,80,6,,,Acute exacerbation of schizophrenia or schizoaffective disorder (DSM-III-R),2000 S. Center for drug evaluation and research approval package for application number 20-825. Medical review. http://wwwfdagov 2000.,,
Study115,Study115,2000,Ziprasidone,PBO,,,,,-8.6,-0.4,19.89,23.11,76,80,6,,,Acute exacerbation of schizophrenia or schizoaffective disorder (DSM-III-R),2000 S. Center for drug evaluation and research approval package for application number 20-825. Medical review. http://wwwfdagov 2000.,,
Study93202,Study93202,2002,Aripiprazole,PBO,,,,,-11.1,-1.1,15.07,15.84,33,35,4,,,Schizophrenia with acute relapse (DSM-III-R),2002 S. Center for drug evaluation and research. Application number 21-436. Medical review(s). http://wwwfdagov 2002.,,
Study93202,Study93202,2002,Haloperidol,PBO,,,,,-15.8,-1.1,16.24,15.84,33,35,4,,,Schizophrenia with acute relapse (DSM-III-R),2002 S. Center for drug evaluation and research. Application number 21-436. Medical review(s). http://wwwfdagov 2002.,,
Study94202,Study94202,2002,Aripiprazole,PBO,,,,,-15.8,-1.4,28.51,25.73,54,57,4,,,Schizophrenia with acute relapse (DSM-IV),94202 S. Center for drug evaluation and research. Application number 21-436. Medical review(s). wwwfdagov 2002.,,
Study94202,Study94202,2002,Haloperidol,PBO,,,,,-10.4,-1.4,22.8,25.73,54,57,4,,,Schizophrenia with acute relapse (DSM-IV),94202 S. Center for drug evaluation and research. Application number 21-436. Medical review(s). wwwfdagov 2002.,,
StudyRIS1996,StudyRIS,1996,Risperidone,PBO,,,,,-20.33,-12.61,19.1,24,157,79,4,,,Chronic or subchronic schizophrenia (DSM-III-R),"1996 SR-U-. Office of Clinical pharmacology and biopharmacy review. NDA number: 20272. Janssen-Cilag, data on file 1996.",,
Tzimos2008,Tzimos,2008,Paliperidone,PBO,,,9.7,9,-14.6,-9.9,14.64,15,76,38,6,0,ANCOVA,Acute episode of schizophrenia (DSM-IV),"Tzimos A, Samokhvalov V, Kramer M, et al. Safety and tolerability of oral paliperidone extended-release tablets in elderly patients with schizophrenia: a double-blind, placebo-controlled study with six-month open-label extension. AmJGeriatrPsychiatry 2008; 16(1):  31-43.",10.1097/jgp.0b013e31815a3e7a,/home/stephanie/Desktop/response/lib/Tzimos2008.pdf
VanKammen1996,VanKammen,1996,Sertindole,PBO,,,11.29,13.24,-10.62,-5,21.17,21.03,101,47,6,1,ANOVA,"Schizophrenia, history of a previous response to antipsychotic drugs (DSM-III-R)","van Kammen DP. A randomized, controlled, dose-ranging trial of sertindole in patients with schizophrenia. Psychopharmacology 1996; 124: 168-75.",10.1007/bf02245618,/home/stephanie/Desktop/response/lib/VanKammen1996.pdf
Zborowski1995,Zborowski,1995,Haloperidol,PBO,,,,,-13.3,-1.2,22.23,24.56,113,106,8,,,Schizophrenia (DSM-III-R or DSM-IV),"Zborowski J, Schmitz P, Staser J, et al. Efficacy and safety of sertindole in a trial of schizophrenic patients. BiolPsychiatry 1995; 37: 661-2.",,
Zborowski1995,Zborowski,1995,Sertindole,PBO,,,,,-7.5,-1.2,20.52,24.56,111,106,8,,,Schizophrenia (DSM-III-R or DSM-IV),"Zborowski J, Schmitz P, Staser J, et al. Efficacy and safety of sertindole in a trial of schizophrenic patients. BiolPsychiatry 1995; 37: 661-2.",,
