"Effects"	"ChiSquared"	"Pvalue"	"delta_r2"
"1"	"Hypothesis"	185.388908364232	7.59363812999328e-36	0.349912179911597
"2"	"Smoothness"	13.2123974347331	0.000278103404841951	0.0366949948811814
"3"	"Used fMRIprep data"	2.26637692453824	0.132208659538827	0.00690147487413201
"4"	"Software package"	13.4506417464212	0.0037568197928693	0.0400079525288562
"5"	"Multiple testing correction"	7.50143894117792	0.0235008316149262	0.0237091622835561
