teamID,1,2,3,4,5,6,7,8,9
4SZ2,0,1,0,1,1,1,1,1,1
1K0E,1,0,1,0,1,1,0,1,1
R42Q,0,0,1,1,1,1,0,1,1
Q58J,0,0,1,1,1,1,1,1,0
L1A8,1,0,0,0,1,1,1,0,1
50GV,1,0,1,1,1,1,0,0,0
T54A,1,1,0,1,1,1,0,0,0
R9K3,1,1,0,1,1,1,0,0,0
P5F3,1,0,1,1,1,1,0,0,0
IZ20,0,0,1,1,1,1,1,0,0
9Q6R,1,1,1,1,1,0,0,0,0
XU70,0,0,1,1,1,1,0,0,0
80GC,1,1,0,0,1,1,0,0,0
C22U,1,0,1,0,1,1,0,0,0
E6R3,0,1,0,1,1,1,0,0,0
L9G5,1,1,1,1,0,0,0,0,0
2T6S,1,0,1,0,1,1,0,0,0
R5K7,1,0,1,1,1,0,0,0,0
98BT,1,1,0,1,1,0,0,0,0
L7J7,1,0,0,1,1,0,0,0,0
O21U,0,0,0,1,1,1,0,0,0
UI76,0,1,0,0,1,1,0,0,0
E3B6,0,1,0,0,1,1,0,0,0
DC61,0,1,0,1,1,0,0,0,0
VG39,0,0,1,1,1,0,0,0,0
B5I6,1,1,0,0,1,0,0,0,0
X1Z4,1,1,0,0,1,0,0,0,0
9U7M,0,1,0,1,1,0,0,0,0
08MQ,1,0,1,0,1,0,0,0,0
3C6G,1,0,0,1,1,0,0,0,0
46CD,1,0,1,0,1,0,0,0,0
1P0Y,0,0,0,0,1,1,0,0,0
43FJ,0,0,0,0,1,1,0,0,0
R7D1,1,0,0,0,1,0,0,0,0
16IN,1,0,0,0,1,0,0,0,0
6FH5,1,0,0,0,1,0,0,0,0
0H5E,0,0,0,1,1,0,0,0,0
V55J,1,0,0,0,1,0,0,0,0
51PW,0,0,0,1,1,0,0,0,0
4TQ6,0,0,1,1,0,0,0,0,0
I07H,0,0,0,0,1,1,0,0,0
3PQ2,1,0,0,0,1,0,0,0,0
L3V8,0,0,0,0,1,1,0,0,0
K9P0,1,0,0,0,1,0,0,0,0
SM54,0,0,0,0,1,0,0,0,0
O03M,0,0,0,0,1,0,0,0,0
0JO0,1,0,0,0,0,0,0,0,0
Q6O0,0,0,0,0,1,0,0,0,0
0I4U,0,0,0,0,1,0,0,0,0
X19V,0,0,0,0,1,0,0,0,0
X1Y5,0,0,0,0,1,0,0,0,0
0ED6,0,0,0,0,1,0,0,0,0
U26C,0,0,0,0,1,0,0,0,0
C88N,0,0,0,0,1,0,0,0,0
27SS,0,0,0,0,0,1,0,0,0
O6R6,0,1,0,0,0,0,0,0,0
94GU,0,0,0,0,1,0,0,0,0
3TR7,0,0,0,0,1,0,0,0,0
J7F9,0,0,0,0,1,0,0,0,0
I52Y,0,0,0,0,1,0,0,0,0
0C7Q,0,0,0,0,1,0,0,0,0
6VV2,0,0,0,0,1,0,0,0,0
B23O,0,0,0,0,1,0,0,0,0
AO86,0,0,0,0,1,0,0,0,0
2T7P,0,0,0,0,0,0,0,0,0
1KB2,0,0,0,0,0,0,0,0,0
I9D6,0,0,0,0,0,0,0,0,0
UK24,0,0,0,0,0,0,0,0,0
5G9K,0,0,0,0,0,0,0,0,0
9T8E,0,0,0,0,0,0,0,0,0
