"est"	"2.5 %"	"97.5 %"
"(Intercept)"	0.0159739442257166	0.000845070059516351	0.301947621091132
"varnum2"	0.506565873135533	0.204460908784144	1.25505156634354
"varnum3"	0.435555996302634	0.175676902647368	1.07987460534854
"varnum4"	1.15701176457473	0.493946927362157	2.71016206237646
"varnum5"	23.2009599985784	8.10021255681124	66.4531382454907
"varnum6"	1.34362342116593	0.554375473780756	3.25650030221144
"varnum7"	0.0513546403108599	0.0126067519588297	0.209197348378909
"varnum8"	0.0724493948192128	0.0175908816174785	0.298388388018869
"varnum9"	0.0542220939868167	0.0106734728182449	0.275452566037323
"fwhm"	1.25248786256184	1.10123839178205	1.42451067595472
"used_fmriprep_dataYes"	1.80468393548485	0.832181631177991	3.91366978671088
"packageFSL"	5.8488829893831	2.28048154981252	15.0009686446739
"packageAFNI"	2.60762447013006	0.628873215150569	10.8125218460656
"packageOther"	2.97115010540086	0.974130517051442	9.06216651085304
"testingnonparametric"	0.333529318832824	0.0321915203257269	3.45562450594124
"testingparametric"	1.46477841213306	0.14673466939018	14.6221462560138
"movement_modeling"	0.631251958557304	0.274709471101764	1.45054713106276
