fit,n_treated_obs,n_instruments,n_studies,mean_log_resid,lo,hi,sd_ratio,p
LINEAR,250,39.0,81.0,-0.05982546126762522,-0.1170479409855866,-0.005914091741763905,0.9419289223178193,0.0275
QUADRATIC,190,18.0,72.0,-0.1485454481567134,-0.2614909576767864,-0.056876191108871405,0.8619608317493179,0.00025
NONPARAMETRIC rank,256,,,-0.02151094053025298,-0.06817877588626875,0.025156894825762784,,0.3662940754481314
