domain,k,studies,smd,smd_se,lnvr,lnvr_se,vr
Psychosomatic outcomes,11,11,-0.39791007727885147,0.17954284845685964,-0.29625186304440443,0.12426489936441004,0.7436001190432634
Distress,46,46,-0.452956415647859,0.0669917450461958,-0.14843281052116358,0.046557109696101384,0.8620579264474987
Anxiety,17,17,-0.6070342184570793,0.15882434927253147,-0.12115992060180267,0.10559589081731319,0.8858922758382175
Depression,32,32,-0.440309545503986,0.08355700949440044,-0.10823640420486774,0.0599392200246892,0.8974154185730904
Mental wellbeing,18,18,-0.3486443969110549,0.07389004981796135,-0.08366048876616844,0.04498350606209927,0.9197434663317472
Mindfulness,42,42,-0.6165214745515551,0.10152524833260254,-0.06076872365455105,0.04176675329300338,0.941040855100287
Real life functioning,20,20,-0.2790376831720046,0.11101244566305625,-0.042973264515653184,0.03945843960600813,0.9579370006343594
Cognitive functioning,8,8,-0.2904974564193456,0.12100795627984438,-0.03760262827691486,0.08522068890016982,0.9630955718096766
Relationship with self,18,18,-0.749369442486881,0.1644163719124692,-0.03112099859642818,0.03872928679383427,0.9693582749890074
