domain,mine,paper,diff,k,studies,lo,hi
Anxiety,-0.7824827289582557,-0.56,-0.2224827289582556,8,8,-1.349282835134664,-0.21905591141124975
Depression,-0.8888089043388356,-0.53,-0.3588089043388356,11,11,-1.3820286160703796,-0.4308079721516947
Distress,-0.5381889458741197,-0.45,-0.08818894587411968,18,18,-0.6903002334836902,-0.40812504215953355
Mental wellbeing,-0.2695111667407966,-0.33,0.0604888332592034,5,5,-0.5118200683362392,-0.11844098639798047
