moderator,level,lnvr,lo,hi,smd,k,studies
participant type,indicated,-0.06104903581116274,-0.10138942076950083,0.09103926462761265,-0.5102011640031989,11,4.0
participant type,selective,-0.11565128832533694,-0.1712449789591069,-0.060368170434660834,-0.4591106804432382,77,22.0
participant type,universal,-0.09974223117185622,-0.1649629107607538,-0.03514159699982199,-0.4919972665647904,124,45.0
SMD (within-corpus slope),slope,0.05762626563032127,-0.015934952231821044,0.1311874834924636,,212,71.0
baseline severity,more severe than average for the instrument,-0.0979801613572693,-0.15950491142994744,-0.03882063559453628,,44,
baseline severity,less severe than average,-0.07681560703755763,-0.1652171965282285,-0.00173250269198557,,63,
