quantity,value,lo,hi
null slope from baseline arms,0.4728654924964831,0.2578595655822902,0.9004527264964304
"null slope by simulation (additive, no floor)",0.19942154230077486,,
observed post-intervention slope,0.45960431323215856,0.2805556122679253,0.6715205725424402
observed post-intervention intercept,-0.06587313167323033,-0.11074781692035889,-0.01569513626658967
baseline intercept (must be 0),0.0006334007887201301,-0.04475824079418883,0.0453024941402517
