subset,k,studies,beta,lnVR,lnVR_lo,lnVR_hi,lnCVR,lnCVR_lo,lnCVR_hi,lnVR*,lnVR*_lo,lnVR*_hi
BASELINE (must be ~0 for all three),232,74,0.4728654924964831,0.011744027244898458,-0.03343060118578945,0.05761095829142418,-0.011752350969379814,-0.057677693484005685,0.036753786209682594,0.0006334007887201337,-0.044860788251766794,0.046536608318503904
"POST-INTERVENTION, all scales",212,71,0.4728654924964831,-0.10349036256027522,-0.151119722322742,-0.05622606150819041,-0.021643369823191354,-0.0718706218761137,0.02573581741658364,-0.06478774403029798,-0.11293377291170098,-0.007532068319551309
"POST, symptom scales (lower is better)",117,66,0.4728654924964831,-0.14045819548195637,-0.21175500799389704,-0.06688755704381864,0.07423308786001309,-0.008376505291276239,0.14971732364824497,-0.03893809604975399,-0.12194980935548967,0.07312529111540068
"POST, positively-keyed scales",95,58,0.4728654924964831,-0.05796155780409946,-0.10594571342879311,-0.009465510243157197,-0.1397227966540853,-0.19096020946357842,-0.0878210250332449,-0.09662362628002055,-0.1579298607347074,-0.04582784953688061
"1-6 MONTHS, all scales",78,24,0.4728654924964831,-0.07951810877880582,-0.14334766641344343,-0.022431203701020412,0.012885172673203339,-0.04014989941077978,0.07724095369847556,-0.035823785586710365,-0.09252629049551285,0.03256699054024116
