study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
Dvorakova 2017,Mindfulness,MAAS,Mindfulness,passive,0.04936372311833603,0.03922071315328133,0.03654487057807314,0.009756174945364656,0.06748041643225963,-0.05772424148689498
Dvorakova 2017,Psychosomatic outcomes,PSQI,Sleep,passive,0.18165732561709189,0.2984929885559967,-0.10212949507637979,-0.19105523676270922,-0.0029075114153014614,-0.18814772534740776
Dvorakova 2017,Relationship with self,SCS,Self-compassion,passive,0.03947881097378742,0.01342302033214077,0.0864095111875311,0.10536051565782635,0.0927905644816038,0.012569951176222546
Esch 2017,Cognitive functioning,Attention Network Test (ANT),Attention,passive,-0.054179916373792825,-0.5456550149076707,-0.05139877405644222,-0.23066853365735926,0.022842239188958502,-0.25351077284631773
Esch 2017,Mindfulness,Freiburg Mindfulness Inventory,Mindfulness (trait),passive,0.01049878409821957,-0.015698909543103642,0.024033199444156193,-0.41215409625896093,0.06112977908937102,-0.47328387534833194
Flook 2013,Cognitive functioning,Rapid Visual Information Processing task,Attention,passive,0.03243527575315374,0.6931471805599453,0.03243527575315374,-0.3364722366212129,0.06539448034267314,-0.40186671696388604
Flook 2013,Distress,SCL-90-R,Psychological distress,passive,-0.0771392307303276,0.7274092441664675,-0.15822400521489402,0.054701135713056966,-0.03137979837071858,0.08608093408377554
Flook 2013,Mindfulness,FFMQ,Mindfulness,passive,-0.12810896044090922,0.1787490370988449,0.09808993684020717,-0.2191277775142843,0.09871928068080399,-0.3178470581950883
Flook 2013,Real life functioning,CLASS emotional support subscale,Classroom behaviour,passive,-0.06330013088642462,0.3566749439387324,0.06491954609931569,0.287682072451781,0.08188275102280582,0.2057993214289752
Flook 2013,Relationship with self,SCS only shared humanity subscale reported,Self-compassion,passive,-0.020927520105955874,0.024391453124159048,0.1971366425790952,-0.29423947299793995,0.1489931171190354,-0.44323259011697536
Galante 2018,Distress,Clinical Outcomes in Routine Evaluation Measure,Psychological distress,passive,0.06001800972625295,0.05608946665104358,-0.1264841471091196,0.0,-0.015269374272525935,0.015269374272525935
Galante 2018,Mental wellbeing,WEMWBS,Wellbeing,passive,-0.03296772589365651,0.08887238932947623,0.03479679756373235,0.030390633705009287,0.06659313465797494,-0.03620250095296565
Giannandrea 2018,Cognitive functioning,Sustained Attention to Response Task errors,Sustained attention,passive,-0.010152371464018073,-0.059147672502694884,-0.46774203762967886,-0.23533310683879535,-0.1884840535826578,-0.04684905325613756
Giannandrea 2018,Mindfulness,FFMQ italian,Mindfulness,passive,0.036396768006750894,-0.11084935575599546,0.09409858763095892,-0.15582070330100975,0.09669336335405712,-0.25251406665506687
Glass 2019,Anxiety,DASS-21,Anxiety,passive,-0.08902085089676093,-0.0905968953522267,-0.2966874546365801,0.08552217343816214,-0.10166066997537702,0.18718284341353916
Glass 2019,Depression,DASS-21,Depression,passive,0.4824261492442928,0.2582348711254797,-0.2611553181183523,-0.06357280401761219,-0.083625372321687,0.020052568304074814
Glass 2019,Distress,DASS-21,Stress,passive,-0.0544881852840698,-0.19912867511033588,0.016838564362829524,0.09121600827166157,0.05747794731351251,0.03373806095814906
Glass 2019,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,passive,-0.0036683826904586017,-0.08511131941628476,-0.016866176340907542,0.10757413028614016,0.040370193868388166,0.06720393641775199
Glass 2019,Mindfulness,FFMQ,Mindfulness,passive,-0.028649174237562688,0.15869958835362757,-0.025183199888472223,0.2613733477885549,0.03614866344631155,0.22522468434224338
Grandpierre 2013,Cognitive functioning,mind wandering task modified,Mind wandering,passive,-0.04407848895694395,0.09737416402517637,-0.04420609250449568,-0.010989121575595206,0.0264930793981031,-0.0374822009736983
Grandpierre 2013,Distress,DASS total (also subscales reported),Stress,passive,0.01989015847921963,0.04075543656489091,-0.14575688769878958,-0.2241046277937602,-0.025051775422502948,-0.19905285237125725
Grandpierre 2013,Real life functioning,LASSI subscales,Academic functioning,passive,-0.0905968953522267,-0.09472096246428868,0.10367842947484152,-0.12727433304146626,0.10155587138368447,-0.22883020442515073
Greenberg 2010,Cognitive functioning,Competitor Rule Suppression,Task switching,passive,-0.2310882745794041,-0.10821358464023272,-0.2818511521409877,-0.10821358464023272,-0.09413010306305734,-0.014083481577175372
Greeson 2014,Distress,PSS-10,Perceived Stress,passive,-0.02445881295559268,0.05341493591890865,-0.14889249124778345,0.09289374689269624,-0.02664333587654602,0.11953708276924226
Greeson 2014,Mindfulness,Cognitive and Affective Mindfulness Scale-Revised (CAMS-R),Mindfulness,passive,-0.015923313666802656,0.041745191688406104,0.16302420440420304,0.07360035792962409,0.13167842578710073,-0.05807806785747664
Greeson 2014,Psychosomatic outcomes,Medical Outcome Study Sleep sub Scale (MOS SLP9),Sleep,passive,-0.0016326534238851123,0.06102371479225355,-0.24045894552056377,0.10807121224125457,-0.07312036821191986,0.18119158045317443
Greeson 2014,Relationship with self,SCS-26,Self-compassion,passive,0.0038240964384034758,0.02985296314968113,0.17435338714477774,0.058840500022933395,0.1374288591390185,-0.07858835911608511
Haarig 2016,Depression,BDI-II,Depression,passive,0.1532041582232276,0.179340928655817,-0.6295214846797338,0.04317217186520878,-0.2705995908878897,0.3137717627530985
Haarig 2016,Mindfulness,FFMQ-D German version,mindfulness,passive,-0.015444651898364628,-0.008064559836730408,0.08344489807549194,-0.265013272639068,0.09128579485210994,-0.3562990674911779
Haarig 2016,Real life functioning,,Coping with stress- SVF -78 (German scale validated for func,passive,-0.0016090108057006626,0.03226086221822148,-0.14323772681110122,-0.32158362412746233,-0.023773107126728324,-0.297810517000734
Huang 2015,Distress,,Perceived Stress Scale,passive,-0.09729891098679945,0.21570857282669165,-0.5260930958967792,-0.01834913866819643,-0.21810171261971295,0.19975257395151652
Hwang 2019,Distress,PSS-10,Perceived Stress,passive,-0.01585024287638732,0.1362450984961188,-0.07514334756977029,0.3168760289769169,0.010790038197523291,0.30608599077939364
Hwang 2019,Mindfulness,FFMQ,Mindfulness,passive,-0.011156679500966252,-0.21314902058921423,0.03456308361872171,0.10536051565782635,0.06647450681914732,0.03888600883867903
Hwang 2019,Psychosomatic outcomes,PSQI,Sleep,passive,0.1513996464553685,0.7438904703502593,-0.11567682154844096,0.02427756958134684,-0.0097838236576007,0.03406139323894754
Hwang 2019,Real life functioning,Teachers’ Sense of Efficacy Scale (TSES)-Short Form,Teacher Efficacy,passive,0.029678437222069275,0.08482319230907692,0.059479539817960406,-0.26129531727858607,0.07912152858767714,-0.3404168458662632
Hwang 2019,Relationship with self,SCS-12,Self-compassion,passive,0.040683576636443536,-0.05884050002293335,0.1046706225638886,0.028987536873252187,0.10205948584215416,-0.07307194896890197
Kang 2009,Depression,BDI Korean,Depression,passive,0.1299121342402095,0.10671881605100342,-0.7782378545307866,-0.4285875255290185,-0.34608460977675015,-0.08250291575226837
Kang 2009,Distress,psychosocial wellbeing index-short form (PWI-SF),Stress,passive,0.09297645645810457,0.2704288243042214,-0.31608212601210695,0.011650617219975274,-0.11150496039606954,0.12315557761604481
Kaviani 2008,Anxiety,BAI,Anxiety,passive,0.020269371762062713,0.08455738802806317,-0.5321678972477631,-0.3939042857070884,-0.2211851424747071,-0.1727191432323813
Kaviani 2008,Depression,BDI,Depression,passive,-0.14682810075116653,-0.24362208265775043,-0.25152300060411503,-0.2623642644674911,-0.07873622884518926,-0.18362803562230184
Klatt 2017,Distress,PSS,Perceived Stress,passive,-0.003703707937484303,0.0861506330078061,-0.30039410804014277,-0.1041402592525969,-0.10354208223996243,-0.0005981770126344682
Klatt 2017,Psychosomatic outcomes,PSQI,Sleep,passive,-0.06025919151819684,0.15790302944580875,-0.4216150553792791,-0.11778303565638339,-0.16507105520228543,0.047288019545902046
Klatt 2017,Real life functioning,Utrecht Work Engagement Scale,Work engagement,passive,-0.0043668191663404025,-0.02985296314968116,0.03456067506546743,0.025975486403260736,0.06647328429274975,-0.04049779788948901
Kor 2019,Anxiety,HADS A Chinese,Anxiety,passive,0.08004270767353636,-0.4991295840027994,-0.2766211250923561,-0.23827512618311894,-0.09147546127109717,-0.1467996649120218
Kor 2019,Depression,CES-D Chinese,Depression,passive,-0.03863141314043645,-0.1743151089002134,-0.43908718842416383,-0.1806768195810763,-0.17393950925507556,-0.006737310326000723
Kor 2019,Distress,PSS Chinese,Perceived stress,passive,-0.03566387067408642,-0.07547278743313585,-0.19264156582594408,-0.11394425934921784,-0.04884936285400751,-0.06509489649521033
Kor 2019,Real life functioning,Zarit Burden Interview Chinese,Caregiver burden,passive,-0.06350962756799206,0.044066356605117846,-0.17367519112013932,-0.07048039864728706,-0.03922246600092552,-0.031257932646361536
Krick 2019,Distress,PANASX-N past few weeks,Negative affect,passive,0.04831857727080773,-0.05406722127027582,-0.21072103131565253,-0.4376222197426957,-0.05802608492810056,-0.37959613481459514
Krick 2019,Mindfulness,FFMQ German validation,Mindfulness,passive,0.0,-0.02353049741019416,0.14788106681366275,0.024692612590371414,0.12399211641710065,-0.09929950382672922
Krick 2019,Relationship with self,Health-oriented Leadership instrument,Self-care,passive,0.0060790460763821925,-0.23483959107740093,0.26047479767957055,-0.3184537311185346,0.18114211214179893,-0.4995958432603335
Lara-Cinisomo 2019,Anxiety,STAI trait,Anxiety,passive,0.20501789836686313,0.7023838667129946,-0.25213904307792984,-0.6008587464694718,-0.07904891787746475,-0.5218098285920071
Lara-Cinisomo 2019,Depression,PHQ-8,Depression,passive,-0.15838134924794628,-0.16242511646707608,-0.1823215567939546,0.49578774640145024,-0.04361116293362785,0.5393989093350781
Lara-Cinisomo 2019,Distress,PSS-14,Perceived Stress,passive,0.02149519812689154,-0.15115756175912642,-0.3736386764964872,-0.29292042911336985,-0.1407193455027158,-0.15220108361065404
Lara-Cinisomo 2019,Mindfulness,FFMQ,Mindfulness,passive,-0.004195116941541958,0.05804336964991535,0.11905784841101917,-0.13006748379195027,0.1093621117461932,-0.23942959553814347
Lee 2010,Anxiety,SCL-90-R Anxiety subscale,Anxiety,passive,0.0364315031702259,-0.11242109251499792,-0.3896053148996918,-0.28725536026267323,-0.14882364500023992,-0.1384317152624333
Lee 2010,Depression,BDI,Depression,passive,-0.06382804153397265,-0.02666824708216118,-0.753173417996303,-0.07738666361542011,-0.33336247658361834,0.2559758129681982
Lee 2010,Mental wellbeing,Psychological well-being scale (PWB-18),Psychological well-being,passive,0.020798470509205916,0.41900722493681486,0.18306377513298694,0.19338172094505285,0.14185005233031142,0.05153166861474143
Lee 2010,Mindfulness,Park scale,Mindfulness,passive,-0.043386271517519955,-0.09281329960573777,0.2271267387005045,-0.36036229537045195,0.16421540216049144,-0.5245776975309434
Lee 2010,Psychosomatic outcomes,Symptom Checklist-90-Revised somatization subscale,Somatization,passive,-0.008499838679112174,-0.14170321937403532,-0.23440960584284934,-0.0688823070554164,-0.07004986211837581,0.0011675550629594161
Lee 2010,Relationship with self,SCS 26,Self-compassion,passive,-0.05319611238148788,0.06616359404308549,0.11920725328966612,-0.015785185989412087,0.10943794623635761,-0.1252231322257697
Li 2018,Mindfulness,FFMQ,Mindfulness,passive,0.02473201446984635,-0.40967564064450795,0.16625869786442285,0.2726441950872404,0.13332018049228297,0.13932401459495744
Lin 2019,Distress,PSS-14,Perceived stress,passive,0.02107428929388167,0.022200709980192333,-0.08997124295228474,-0.07578161271175159,0.0032637385430052956,-0.07904535125475688
Lin 2019,Mental wellbeing,PANAS time frame last week or 2 Chinese,Positive affect,passive,0.00900594933559516,0.08717637987755474,0.11575511202247353,-0.007722046093910278,0.10768571849557804,-0.11540776458948832
Lin 2019,Real life functioning,Connor-Davidson Resilience Scale,Resilience,passive,-0.001088139389195488,0.07711730334443141,0.06318265104740078,0.01041676085825558,0.08100114292590918,-0.0705843820676536
Liu 2013,Distress,Affect-balance Scale negative Chinese validated,Negative Affect,passive,0.25782910930209985,-0.13353139262452274,-0.45198512374305744,-0.4054651081081643,-0.18048620544023058,-0.2249789026679337
Liu 2013,Mental wellbeing,Index of well-being Chinese validated,Wellbeing,passive,-0.029558802241544505,0.5877866649021191,0.08004270767353636,0.06453852113757116,0.08955892102502333,-0.025020399887452166
Liu 2013,Mindfulness,FFMQ validated in Chinese,Mindfulness,passive,-0.0024420036555517443,0.015873349156290163,0.11204638367895055,0.24934592370823383,0.1058032530390525,0.14354267066918133
Liu 2015,Mindfulness,FFMQ,Mindfulness,passive,0.004161817227372774,-0.17160633663859967,0.11010995538838753,0.03959046727100856,0.10482036644602664,-0.06522989917501809
Lo 2017,Depression,CES-D,Depression,passive,-0.012957145644003474,-0.03744279748377614,-0.16678029958274268,-0.07738666361542035,-0.035722777174078166,-0.04166388644134218
Lo 2017,Distress,The Parenting Stress Index–Short Form,Stress,passive,-0.01525589030421842,-0.06492498308331189,-0.056050643509858306,0.0176353118122736,0.02048105693369422,-0.0028457451214206203
Lo 2017,Mindfulness,The Interpersonal Mindfulness in Parenting,The Interpersonal Mindfulness in Parenting,passive,0.03826906970484012,-0.0014936522567832536,0.0407721800790383,-0.0421608108242781,0.06962610179190772,-0.11178691261618581
Lynch 2018,Anxiety,HADS A,Anxiety,passive,0.2830416928952788,0.25752903428109347,-0.23424916772671917,-0.002773926882725208,-0.06996842740988536,0.06719450052716015
Lynch 2018,Depression,HADS D,Depression,passive,0.13512586545768013,0.08434114843375096,-0.19306609607693181,0.14030754573506057,-0.04906484467384212,0.1893723904089027
Lynch 2018,Distress,PSS-10,Perceived stress,passive,0.14489135441446144,0.29996891644443163,-0.38351107484568153,0.2863925816219091,-0.14573034850536887,0.432122930127278
Lynch 2018,Mindfulness,FMI short form,Mindfulness,passive,-0.0995633979735003,-0.26480329006685,0.2506949285981741,0.006441246102857075,0.1761780748735468,-0.16973682877068974
Manotas 2014,Distress,PSS-14,Perceived stress,passive,-0.031350529884076044,0.12136085700426734,-0.36179004460550285,-0.2231435513142097,-0.1347052516743505,-0.08843829963985922
Manotas 2014,Mindfulness,FFMQ,Mindfulness,passive,0.03603993648319687,0.021053409197832263,0.09501782488337113,-0.3022808718729335,0.09715994710291528,-0.3994408189758488
Moynihan 2013,Mental wellbeing,PANAS-P in last week,Positive affect,passive,-0.0005707762712035288,-0.0070972618707617705,0.027273112824240563,0.004008021397538868,0.06277428482158386,-0.058766263424044986
Moynihan 2013,Psychosomatic outcomes,PSQI,Sleep,passive,-0.0190845486924107,0.02210034700066592,-0.17335862867425636,-0.10446725968061138,-0.0390617861629836,-0.06540547351762778
Nyklicek 2008,Distress,, ,passive,-0.1742132722503353,0.05811691098991486,-0.33345093906443884,0.06042105947476505,-0.12032097159003212,0.18074203106479717
Nyklicek 2008,Mental wellbeing,, ,passive,0.031252543504104315,-0.030283496587252295,0.2904989757228944,-0.030239885189718235,0.19638169638523295,-0.2266215815749512
Park 2016,Depression,Korean depression scale CES-D scale,Psychological depression,passive,-0.017294712797470375,-0.007947061692531945,-0.32822033878173723,0.14713989322462398,-0.11766603883760375,0.26480593206222774
Park 2016,Distress,stress response inventory (Koh),Psychological stress,passive,-0.08488533214932444,0.12388191279795742,-0.413326221984598,-0.2441353930935006,-0.16086383345534006,-0.08327155963816055
Park 2016,Psychosomatic outcomes,Korean Sleep Scale A,Sleep,passive,0.028750871183013137,-0.13370669282656683,-0.07769291923154775,-0.42952267648016634,0.009495934090218039,-0.4390186105703844
Perez-Blasco 2013,Distress,DASS total,Psychological Distress,passive,-0.11488027599842202,-0.4864596428325686,-0.7352262462702516,-0.19695321906201874,-0.3242529037901225,0.12729968472810377
Perez-Blasco 2013,Mental wellbeing,SWLS,Life satisfaction,passive,0.022337179846152213,-0.13353139262452274,0.12444736376015411,0.15070240054834233,0.11209770614201335,0.03860469440632898
Perez-Blasco 2013,Mindfulness,FFMQ subscales,Mindfulness,passive,-0.011397319829393394,0.1021700529499363,0.1838506706084597,-0.14584811012716156,0.14224946242813125,-0.2880975725552928
Perez-Blasco 2013,Relationship with self,SCS-12 subscales Spanish,Self-compassion,passive,-0.0399438661316439,-0.47290638890369696,0.1924522752687767,0.5368011101692514,0.14661543969686663,0.3901856704723847
Perez-Blasco 2016,Anxiety,DASS assume validated,Anxiety,passive,-0.01739174271186922,0.11778303565638346,-1.0635209688568397,-0.6085897925318824,-0.49088777633563707,-0.11770201619624532
Perez-Blasco 2016,Distress,DASS assume validated,Stress,passive,-0.07696104113612844,0.1752040890250908,-0.5663954749208014,-0.5679840376059391,-0.23855827597545698,-0.3294257616304821
Perez-Blasco 2016,Real life functioning,,Brief Resilient Coping Scale validated in spanish,passive,-0.0034904049397686022,-0.019802627296179754,0.29165822083142046,0.01980262729617973,0.1969701026178592,-0.17716747532167945
Phang 2015,Distress,PSS-10,Perceived Stress,passive,-0.027966607739145066,-0.10341309537343082,-0.15626961746654472,-0.1588492006088126,-0.030387795968776818,-0.1284614046400358
Phang 2015,Mindfulness,MAAS,Mindfulness,passive,0.02525386732120341,0.1868773733298153,0.10686314554236125,0.06624938554120066,0.10317236022585534,-0.03692297468465468
Phang 2015,Relationship with self,General Self-Efficacy,Self-efficacy,passive,-0.023350076372611866,0.043435399031772015,0.05301368968346489,-0.12453882578061369,0.07583961133792334,-0.20037843711853703
Plummer 2018,Distress,PSS (cohen 1983),Perceived stress,passive,0.06713930283762852,0.10354067894084036,-0.04811924834419846,0.058268908123975824,0.02450685123256314,0.033762056891412685
Plummer 2018,Mindfulness,CAMS-R,Mindfulness,passive,-0.003016593539425679,0.04879016416943204,0.0844752356353284,-0.07696104113612844,0.09180877056920184,-0.16876981170533029
Pots 2014,Anxiety,HADS A,Anxiety,passive,-0.04169752354159978,0.08304635721774609,-0.2596042576972406,0.03468555798789011,-0.08283808962172166,0.11752364760961177
Pots 2014,Depression,CES-D validated in Dutch,Depression,passive,-0.0018242631997470702,0.17790476583536532,-0.28130042986226034,0.10840929850718477,-0.09385056906384871,0.20225986757103348
Pots 2014,Mental wellbeing,Mental Health Continuum,Wellbeing,passive,0.021506205220963682,0.14715764433628764,0.1157754059918956,0.06820825002653357,0.10769601924906395,-0.03948776922253039
Pots 2014,Mindfulness,FFMQ subscales,Mindfulness,passive,0.027380563237280327,0.13582655085031836,0.14475113281575386,0.13591903961702967,0.12240343369717097,0.013515605919858703
Robins 2012,Mindfulness,FFMQ,Mindfulness,passive,0.00526191120803097,-0.006346349496288487,0.1290497367008682,-0.42560752724817713,0.11443376510251199,-0.5400412923506891
Robins 2012,Real life functioning,Cognitive Failures Questionnaire,Cognitive Failures,passive,-0.03731288621527907,-0.24567266437423807,-0.128851528733425,0.01823106794369549,-0.016471002894894907,0.03470207083859039
Robins 2012,Relationship with self,SCS-26,Self-compassion,passive,-0.0011702751481904318,0.053339330906947945,0.20383260640112238,-0.13369392817953282,0.15239183479948365,-0.28608576297901644
Roeser 2013,Cognitive functioning,"Operation Span Task total & stringent scores, errors",attention/working memory,passive,0.034897939851277246,0.000915331871688206,0.1394470864191563,-0.20334729849970506,0.11971122138163666,-0.3230585198813417
Roeser 2013,Depression,BDI,Depression,passive,-0.04516572958018971,0.26000368502963633,-0.18028430347001193,-0.3165325009406407,-0.042577099865834925,-0.2739554010748058
Roeser 2013,Mindfulness,FFMQ,Mindfulness,passive,0.015848192240023713,0.06669137449867235,0.08978530387235505,-0.04000533461369925,0.09450403943284172,-0.13450937404654095
Schellekens 2017,Distress,HADS total score,Psychological distress,passive,-0.09381875521765486,-0.06247694195538659,0.0050559876574576244,0.1405334481354275,0.05149738158254938,0.08903606655287813
Schellekens 2017,Mindfulness,FFMQ,Mindfulness,passive,0.046477193667217004,-0.1296604200489017,0.002650813836851778,0.06584656579758653,0.05027657050801023,0.015569995289576304
Schellekens 2017,Relationship with self,SCS-26 Dutch,Self-compassion,passive,0.017545150704059362,0.1787550121432805,0.015235048377707821,0.14589248944809655,0.056664039372196225,0.08922845007590033
Schroeder 2018,Distress,PSS-10,Perceived stress,passive,-0.07183556668786452,0.2815794182832183,-0.08034297577230722,-0.005676458004805191,0.008150826162717346,-0.013827284167522536
Schroeder 2018,Mindfulness,MAAS,Mindfulness,passive,-0.07503518594291396,0.0,0.056833474763166004,-0.07571182173569636,0.0777784466469173,-0.15349026838261365
Shapiro 2019,Depression,PHQ-8,Depression,passive,-0.1722999983329358,-0.30520442314398344,-0.2582936134522803,0.02444113515914566,-0.08217283665941165,0.10661397181855731
Shapiro 2019,Distress,PSS,Perceived Stress,passive,-0.24175220141943893,0.4869503714156827,-0.29526196797455,-0.03515987165362767,-0.10093712563579336,0.06577725398216569
Shapiro 2019,Mindfulness,FFMQ,Mindfulness,passive,0.08101764513624675,0.26082900810716125,0.13609164336905702,-0.15925768607185836,0.11800807543831571,-0.27726576151017407
?tefan 2018,Anxiety,Liebowitz Social Anxiety Scale validated in Romanian,Social anxiety,passive,-0.017802078708196452,0.2775120728532597,-0.4280643622413749,0.153030003228893,-0.1683445754663488,0.3213745786952418
?tefan 2018,Depression,BDI-II validated in Romanian,Depression,passive,-0.03718738353967356,0.04133562405790712,-0.44851336167667805,-0.20136975176464905,-0.17872401863173898,-0.022645733132910073
?tefan 2018,Distress,PSS-10 validated in Romanian,Perceived stress,passive,-0.040043481440841466,0.20479441264601322,-0.2807842415078513,-0.2103946824842524,-0.0935885636926727,-0.11680611879157969
?tefan 2018,Relationship with self,SCS-12 validated in Romanian,Self-compassion,passive,-0.0064000218454674,0.31918073951115183,0.18844607627692808,0.4164956989064249,0.1445819849610154,0.27191371394540953
Strub 2013,Depression,BDI-13 validated in French- Include,Depression,passive,-0.22447599654798844,-0.015915455305899457,-0.55452347903171,-0.48097266061630956,-0.23253232311744887,-0.24844033749886069
Strub 2013,Distress,PSS validated in french,Perceived Stress,passive,-0.1181812040868877,0.05869655299519091,-0.03580945269671078,-0.056667519912266415,0.030755021208062585,-0.087422541120329
Strub 2013,Real life functioning,MBI subscales validated in French,Burnout,passive,-0.3578120585563958,-0.23137405045072534,-0.3540571413966535,-0.2546528228836791,-0.1307802073408293,-0.12387261554284978
Thomas 2016,Depression,BDI-II,Depression,passive,-0.2033409240180301,0.1407170522853972,-0.9265472320413443,-0.5440262929382281,-0.42136304868695273,-0.1226632442512754
VanBerkel 2014,Mindfulness,MAAS Dutch,Mindfulness,passive,0.0,0.13353139262452277,0.0,0.0,0.04893107819437982,-0.04893107819437982
VanBerkel 2014,Real life functioning,Utrecht Work Engagement Scale (Dutch validated),Work engagement,passive,0.0,0.0,-0.02469261259037141,0.11778303565638346,0.036397674308403356,0.0813853613479801
Verweij 2018,Mental wellbeing,Mental Health Continuum,Wellbeing,passive,0.03278982282299097,0.25131442828090617,0.09531017980432474,-0.28768207245178107,0.09730833975634366,-0.38499041220812474
Verweij 2018,Mindfulness,FFMQ Dutch validation,Mindfulness,passive,0.019881370553828995,-0.009216655104923952,0.06243900325528842,-0.09265883048270483,0.08062368436038285,-0.17328251484308768
Verweij 2018,Real life functioning,MBI Dutch validated subscales,Burnout,passive,-0.05675281659244948,0.09402894964827639,-0.0953101798043249,-0.3136575588550415,0.000553816632415903,-0.31421137548745737
Verweij 2018,Relationship with self,SCS-SF 12 item Dutch validated,Self-compassion,passive,0.025975486403260736,0.0,0.09763846956391607,0.0,0.09849012624466041,-0.09849012624466041
Vieten 2008,Depression,CES-D,Depression,passive,0.19166741921219227,0.3150810466398953,-0.23052365861183224,-0.14035735769492258,-0.06807744441864158,-0.072279913276281
Vieten 2008,Distress,PSS,Perceived stress,passive,-0.011764841579586483,-0.08338160893905114,-0.2344007058388443,0.1112256351102244,-0.07004534468044275,0.18127097979066714
Vieten 2008,Mindfulness,MAAS,Mindfulness,passive,-0.0540672212702757,0.23361485118150527,0.05406722127027579,0.07598590697792205,0.07637435981120898,-0.00038845283328692304
Woolhouse 2014,Anxiety,DASS-21,Anxiety,passive,-0.37729423114146804,-0.34611086545898156,-0.6236903795819542,-0.6700987851236542,-0.2676398556624423,-0.40245892946121187
Woolhouse 2014,Depression,CES-D,Depression,passive,-0.3048604089868655,0.08617769624105241,-0.17706493935013418,-0.8796565986943747,-0.04094302446685577,-0.8387135742275189
Woolhouse 2014,Distress,PSS-10,Perceived stress,passive,-0.16008541534707268,0.1721475662792283,-0.0801357179512393,-0.15415067982725822,0.00825602547973836,-0.16240670530699658
Woolhouse 2014,Mindfulness,FFMQ,Mindfulness,passive,0.053859169672729204,-0.23799649545232723,0.10161017641078264,-0.14050217399569828,0.10050607355871205,-0.24100824755441033
Xu 2015,Distress,Brief Profile of Mood State (POMS) in the last week,Mood,passive,0.0059171770280885185,-0.03109058707003112,-0.14582749836338285,-0.19574457712609522,-0.02508761577656697,-0.17065696134952824
Xu 2015,Mindfulness,Five Facet Mindfulness Questionnaire (FFMQ),Mindfulness,passive,-0.004239090705766822,0.0852975805118952,0.03804586741508751,-0.04919024419077166,0.06824228800502347,-0.11743253219579514
Yazdanimehr 2016,Anxiety,BAI,Anxiety,passive,0.014713360081147401,0.09961573170093446,-0.5985733778139325,-0.345677189729191,-0.25489104156222214,-0.09078614816696884
Yazdanimehr 2016,Depression,Edinburgh Postnatal Depression Scale,Depression,passive,-0.048669906818556465,0.0480684030410224,-0.5276025301456333,0.03993271033537101,-0.2188678668292351,0.2588005771646061
Yazdanimehr 2016,Distress,short form of Health Survey (SF-36) mental health subscale,Mental health,passive,-0.05058944076004115,-0.004332136739134682,0.11290408022266155,-0.09371401027150263,0.1062386001354601,-0.19995261040696272
Zhang 2018,Anxiety,Spielberger Anxiety Scale State and Trait,Anxiety,passive,0.022898527005288674,0.1513996464553683,-0.07498580688456263,0.20090317250609016,0.010870002236523,0.19003317026956718
Zhang 2018,Depression,Self-rating Depression Scale,depression,passive,-0.0017302705460688465,0.056807290240835535,-0.0071754404637409145,0.03588424879238953,0.04528898916622606,-0.009404740373836533
DamiaoNeto 2019,Anxiety,DASS-21 subscale,Anxiety,active-nonspecific,-0.08068891125014276,-0.0341913647482792,-0.1556773976810582,-0.008608374536600164,-0.030087198786781455,0.021478824250181293
DamiaoNeto 2019,Depression,DASS-21 subscale,Depression,active-nonspecific,0.038515672080615404,-0.13923157906386704,-0.13385103462820294,-0.2385924622552575,-0.019008637435599843,-0.21958382481965766
DamiaoNeto 2019,Distress,DASS-21 subscale,Stress,active-nonspecific,0.028760152175262652,0.10032272162786926,-0.05932937805760315,-0.0317486983145803,0.018816846467045806,-0.0505655447816261
DamiaoNeto 2019,Mindfulness,FFMQ,Mindfulness,active-nonspecific,-0.030485002508849914,0.07999380433098321,0.014531471714950525,0.124737979832137,0.05630691999299683,0.06843105983914016
Ireland 2017,Distress,PSS,Perceived Stress,active-nonspecific,0.023256862164267183,0.0,-0.13868338753395063,-0.2461330695389086,-0.021461428952319478,-0.22467164058658912
