study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
Lebares 2019,Real life functioning,abbreviated Maslach Burnout Inventory validated?,Burnout,active-specific,0.15814697028914673,-0.2558240187868811,0.17237819358652354,0.11338097425574582,0.13642629618509955,-0.023045321929353726
Lonnberg 2020,Depression,EDPS,Depression,active-specific,-0.18192559559297833,0.07186456122964424,-0.44295345171270933,-0.1638594939542193,-0.17590193583701452,0.012042441882795213
Lonnberg 2020,Distress,PSS-14,Perceived Stress,active-specific,-0.14498505111830007,0.042947393832568646,-0.25723776265718573,-0.0919684891424216,-0.08163691100918662,-0.010331578133234987
Lonnberg 2020,Mindfulness,FFMQ,Mindfulness,active-specific,0.06416444852155882,0.02011240978709569,0.09966312491096724,0.015194214740916532,0.0995177948682871,-0.08432358012737057
Lopez-Maya 2019,Relationship with self,SCS,Self-compassion,active-specific,0.1871147565993457,0.02640921171045071,0.2536301760848076,-0.26560787462590163,0.17766793918501378,-0.4432758138109154
Ma 2019,Anxiety,BAI,Anxiety,active-specific,-0.39540032149202364,0.11271973369983677,-0.7308384516613284,-0.22705745063534608,-0.3220257598700098,0.09496830923466373
Ma 2019,Cognitive functioning,Internal switching task (switching cost),Attention,active-specific,0.0,-0.3513978868378886,-0.12062798778861475,-0.3566749439387323,-0.01229692209818075,-0.34437802184055155
Ma 2019,Depression,HADS D Chinese,Depression,active-specific,-0.18732445350925656,-0.024956731973867507,-0.6008517754237104,-0.0032840752011898846,-0.2560475039394485,0.2527634287382586
Ma 2019,Distress,Revised Clinical Interview Schedule (CIS-R) Chinese,Psychological Symptoms,active-specific,-0.28877916526615405,-0.03618815929199409,-0.8043062754299348,-0.09503127867296748,-0.3593163424094509,0.2642850637364834
Ma 2019,Mindfulness,MAAS,Mindfulness,active-specific,0.06438456840075729,-0.048009219186360606,0.0903226382932859,-0.033336420267591836,0.09477677806245072,-0.12811319833004256
Malinowski 2017,Mental wellbeing,WEMWBS,Wellbeing,active-specific,-0.0055096558109696955,-0.2809023854664022,0.020128767430613825,-0.058840500022933465,0.05914797893793039,-0.11798847896086385
Malinowski 2017,Mindfulness,FFMQ,Mindfulness,active-specific,-0.0175957618903796,-0.208466836898277,0.024185861937039543,-0.058496206681608494,0.06120726706981636,-0.11970347375142484
Malinowski 2017,Relationship with self,Generalised Self-Efficacy Scale,Self-efficacy,active-specific,0.026747508367028144,0.024692612590371414,0.034758633365174256,-0.30368241379822203,0.06657376338598973,-0.3702561771842118
Sevinc 2018,Distress,PSS-10,Perceived stress,active-specific,-0.22137207166582765,-0.1823215567939546,-0.3970262394622997,-0.13102826240640414,-0.15259033612739903,0.02156207372099489
Sevinc 2018,Mindfulness,FFMQ subscales,Mindfulness,active-specific,0.09815355354287156,0.015938782049428845,-0.03896596853338372,-0.08519293364985225,0.02915284615636596,-0.11434577980621821
Sevinc 2018,Relationship with self,SCS 26 subscales,Self-compassion,active-specific,0.023776127247266483,0.10856638055145952,-0.030958801925464123,-0.023810648693718333,0.03321710030169255,-0.05702774899541088
Guardino 2014,Distress,PSS-14,Perceived stress,active-nonspecific,-0.10867902565398786,-0.06524052186840108,-0.11414221871870397,-0.10907109505436201,-0.009004894453602419,-0.10006620060075959
Guardino 2014,Mindfulness,FFMQ,Mindfulness,active-nonspecific,0.08562163521740299,0.20630544686412103,0.11514200895714881,0.1715273116630742,0.10737452143964393,0.06415279022343026
James 2018,Anxiety,DASS,Anxiety,active-nonspecific,-0.10204925435417035,-0.06899287148695143,-0.21542150522029946,0.06453852113757116,-0.060411937688184966,0.12495045882575613
