study,domain,instrument,outcome,trange,dir_imp,ctrl_cat,design,n_mbp,m_mbp,sd_mbp,n_ctl,m_ctl,sd_ctl,parse_notes,arm1_label,arm2_label,country,USA,participanttype,contacthours,nr_rand,d1,d2,d3,d4,d5,coi,taught
Benn 2012,Mental wellbeing,PANAS-P in last week,Positive affect,Postintervention,U,passive,Randomized controlled trial,30.0,3.35,0.77,29.0,3.18,0.75,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Mindfulness,FFMQ,Mindfulness,1-6months,U,passive,Randomized controlled trial,24.0,3.7,0.06,19.0,3.43,0.07,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,31.0,3.43,0.1,29.0,3.3,0.1,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,30.0,3.61,0.08,29.0,3.33,0.07,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Relationship with self,SCS 26,Self-compassion,1-6months,U,passive,Randomized controlled trial,24.0,3.32,0.43,19.0,3.1,0.49,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Relationship with self,SCS 26,Self-compassion,Baseline,U,passive,Randomized controlled trial,31.0,2.96,0.46,29.0,3.02,0.4,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Benn 2012,Relationship with self,SCS 26,Self-compassion,Postintervention,U,passive,Randomized controlled trial,30.0,3.17,0.44,29.0,3.07,0.45,,Mindfulness,Control,US,yes,2.selective,36,70,Some,High,High,High,Some,NR,NR
Berghmans 2010,Anxiety,HADS A French version,Anxiety,Baseline,D,passive,Randomized controlled trial,10.0,2.41,0.57,9.0,1.97,0.28,,Mindfulness,Control,France,no,1.universal,27.5,26,Some,High,High,High,Some,NR,NR
Berghmans 2010,Anxiety,HADS A French version,Anxiety,Postintervention,D,passive,Randomized controlled trial,10.0,2.0,0.48,9.0,2.05,0.36,,Mindfulness,Control,France,no,1.universal,27.5,26,Some,High,High,High,Some,NR,NR
Berghmans 2010,Depression,HADS D French version,Depression,Baseline,D,passive,Randomized controlled trial,10.0,1.84,0.47,9.0,1.7,0.19,,Mindfulness,Control,France,no,1.universal,27.5,26,Some,High,High,High,Some,NR,NR
Berghmans 2010,Depression,HADS D French version,Depression,Postintervention,D,passive,Randomized controlled trial,10.0,1.43,0.42,9.0,1.39,0.28,,Mindfulness,Control,France,no,1.universal,27.5,26,Some,High,High,High,Some,NR,NR
Carmody 2011,Anxiety,HADS A (protocol says HADS),Anxiety,1-6months,D,passive,Randomized controlled trial,57.0,7.2,3.5,53.0,7.7,4.2,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Anxiety,HADS A (protocol says HADS),Anxiety,Baseline,D,passive,Randomized controlled trial,57.0,9.6,4.3,48.0,7.4,3.3,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Anxiety,HADS A (protocol says HADS),Anxiety,Postintervention,D,passive,Randomized controlled trial,57.0,6.5,2.8,53.0,7.2,4.1,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Depression,HADS D,Depression,1-6months,D,passive,Randomized controlled trial,57.0,3.4,2.2,53.0,4.3,3.7,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Depression,HADS D,Depression,Postintervention,D,passive,Randomized controlled trial,57.0,2.9,1.9,53.0,4.4,3.2,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Distress,PSS-14,Perceived Stress,1-6months,D,passive,Randomized controlled trial,57.0,20.4,6.2,53.0,23.4,7.5,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Distress,PSS-14,Perceived Stress,Baseline,D,passive,Randomized controlled trial,57.0,24.5,7.7,48.0,23.2,8.6,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Distress,PSS-14,Perceived Stress,Postintervention,D,passive,Randomized controlled trial,57.0,20.1,6.3,53.0,23.3,8.0,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Psychosomatic outcomes,Included,bother from hot flashes and night sweats in the previous 24 ,1-6months,D,passive,Randomized controlled trial,38.0,2.5,0.9,42.0,2.7,0.8,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Psychosomatic outcomes,Included,bother from hot flashes and night sweats in the previous 24 ,Baseline,D,passive,Randomized controlled trial,57.0,3.29,0.55,48.0,3.07,0.54,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Carmody 2011,Psychosomatic outcomes,Included,bother from hot flashes and night sweats in the previous 24 ,Postintervention,D,passive,Randomized controlled trial,39.0,2.7,0.8,43.0,2.8,0.7,,Mindfulness,Control,US,yes,2.selective,27.5,110,Low,High,High,High,Some,N,N
Cerna 2019,Depression,Beck Depression Inventory,Depression,Baseline,D,passive,Randomized controlled trial,51.0,7.14,5.76,52.0,8.87,6.24,,Mindfulness,Control,Chile,no,1.universal,6,103,Low,High,High,High,Some,N,NR
Cerna 2019,Depression,Beck Depression Inventory,Depression,Postintervention,D,passive,Randomized controlled trial,27.0,3.22,3.43,19.0,8.64,8.44,,Mindfulness,Control,Chile,no,1.universal,6,103,Low,High,High,High,Some,N,NR
Cerna 2019,Mental wellbeing,Mental Health Questionnaire MHC–14,Psychological wellbeing,Baseline,U,passive,Randomized controlled trial,51.0,55.84,11.63,52.0,56.79,11.94,,Mindfulness,Control,Chile,no,1.universal,6,103,Low,High,High,High,Some,N,NR
Cerna 2019,Mental wellbeing,Mental Health Questionnaire MHC–14,Psychological wellbeing,Postintervention,U,passive,Randomized controlled trial,27.0,64.37,10.66,19.0,56.18,12.51,,Mindfulness,Control,Chile,no,1.universal,6,103,Low,High,High,High,Some,N,NR
Christopher 2018,Anxiety,PROMIS,Anxiety,1-6months,D,passive,Randomized controlled trial,24.0,50.66,8.79,25.0,49.28,7.72,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Anxiety,PROMIS,Anxiety,Baseline,D,passive,Randomized controlled trial,31.0,51.91,9.62,30.0,52.25,5.43,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Anxiety,PROMIS,Anxiety,Postintervention,D,passive,Randomized controlled trial,24.0,48.83,8.69,26.0,48.7,8.26,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Cognitive functioning,Shooter Bias Task [Time Frame: 8 weeks] control estimates bl,Decision Making,1-6months,U,passive,Randomized controlled trial,24.0,0.86,0.07,25.0,0.83,0.07,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Cognitive functioning,Shooter Bias Task [Time Frame: 8 weeks] control estimates bl,Decision Making,Baseline,U,passive,Randomized controlled trial,31.0,0.84,0.09,30.0,0.82,0.05,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Cognitive functioning,Shooter Bias Task [Time Frame: 8 weeks] control estimates bl,Decision Making,Postintervention,U,passive,Randomized controlled trial,24.0,0.83,0.07,26.0,0.82,0.11,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Depression,PROMIS,Depression,1-6months,D,passive,Randomized controlled trial,24.0,48.15,8.5,25.0,46.27,7.37,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Depression,PROMIS,Depression,Baseline,D,passive,Randomized controlled trial,31.0,47.49,8.58,30.0,48.36,6.9,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Depression,PROMIS,Depression,Postintervention,D,passive,Randomized controlled trial,24.0,46.69,6.69,26.0,47.32,6.34,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Distress,PSQ,Operational stress,1-6months,D,passive,Randomized controlled trial,24.0,2.73,1.14,25.0,2.79,1.19,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Distress,PSQ,Operational stress,Baseline,D,passive,Randomized controlled trial,31.0,2.92,1.3,30.0,2.82,0.98,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Distress,PSQ,Operational stress,Postintervention,D,passive,Randomized controlled trial,24.0,2.66,1.17,26.0,2.76,1.02,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Psychosomatic outcomes,PROMIS,Sleep difficulties,1-6months,D,passive,Randomized controlled trial,24.0,49.62,8.67,25.0,51.59,8.74,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Psychosomatic outcomes,PROMIS,Sleep difficulties,Baseline,D,passive,Randomized controlled trial,31.0,50.69,8.37,30.0,52.14,7.63,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Psychosomatic outcomes,PROMIS,Sleep difficulties,Postintervention,D,passive,Randomized controlled trial,24.0,47.4,6.93,26.0,51.25,5.83,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Real life functioning,Connor-Davidson Resilience Scale,Resilience,1-6months,U,passive,Randomized controlled trial,24.0,83.2,11.38,25.0,77.48,10.19,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Real life functioning,Connor-Davidson Resilience Scale,Resilience,Baseline,U,passive,Randomized controlled trial,31.0,81.48,12.36,30.0,76.1,9.34,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Real life functioning,Connor-Davidson Resilience Scale,Resilience,Postintervention,U,passive,Randomized controlled trial,24.0,83.66,10.73,26.0,77.07,9.5,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Relationship with self,SCS,Self-compassion,1-6months,U,passive,Randomized controlled trial,24.0,41.62,7.12,25.0,38.64,6.58,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Relationship with self,SCS,Self-compassion,Baseline,U,passive,Randomized controlled trial,31.0,39.93,6.59,30.0,36.33,6.89,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
Christopher 2018,Relationship with self,SCS,Self-compassion,Postintervention,U,passive,Randomized controlled trial,24.0,40.95,5.7,26.0,37.61,6.2,,Mindfulness,Control,US,yes,2.selective,22,61,Some,High,Some,High,Some,Y,Y
DeVibe 2013,Distress,e 12-item General Health Questionnaire (GHQ12),Psychological Distress,6+months,D,passive,Randomized controlled trial,49.0,10.49,5.15,63.0,12.0,5.2,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mental wellbeing,Subjective well-being scale 4 item version,Wellbeing,6+months,U,passive,Randomized controlled trial,49.0,6.9520408,1.4255583,63.0,6.2998413,1.7930974,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mindfulness,FFMQ subscales,Mindfulness,6+months,U,passive,Randomized controlled trial,49.0,140.53061,15.276755,60.0,134.28333,15.721185,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Distress,e 12-item General Health Questionnaire (GHQ12),Psychological Distress,Baseline,D,passive,Randomized controlled trial,144.0,12.44,5.97,143.0,12.95,6.22,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mental wellbeing,Subjective well-being scale 4 item version,Wellbeing,Baseline,U,passive,Randomized controlled trial,144.0,6.3,1.8,144.0,6.4,1.8,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mindfulness,FFMQ subscales,Mindfulness,Baseline,U,passive,Randomized controlled trial,144.0,125.11111,16.352802,143.0,127.1049,14.449384,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Real life functioning,MBI,Burnout,Baseline,D,passive,Randomized controlled trial,144.0,32.3,12.4,144.0,32.0,11.8,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Distress,e 12-item General Health Questionnaire (GHQ12),Psychological Distress,Postintervention,D,passive,Randomized controlled trial,140.0,9.21,3.95,138.0,13.06,6.04,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mental wellbeing,Subjective well-being scale 4 item version,Wellbeing,Postintervention,U,passive,Randomized controlled trial,144.0,6.8,1.4,144.0,6.1,1.8,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Mindfulness,FFMQ subscales,Mindfulness,Postintervention,U,passive,Randomized controlled trial,140.0,130.27857,16.172215,138.0,127.76812,15.448662,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
DeVibe 2013,Real life functioning,MBI,Burnout,Postintervention,D,passive,Randomized controlled trial,144.0,32.9,12.1,144.0,34.4,11.2,,Mindfulness,Control,Norway,no,1.universal,15,293,Low,High,High,High,Some,N,Y
Dvorakova 2017,Anxiety,GAD-7,Anxiety,Baseline,D,passive,Randomized controlled trial,55.0,7.8,4.82,54.0,6.41,5.24,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Anxiety,GAD-7,Anxiety,Postintervention,D,passive,Randomized controlled trial,52.0,5.94,4.38,53.0,6.71,4.64,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Depression,PHQ,Depression,Baseline,D,passive,Randomized controlled trial,55.0,7.36,4.26,54.0,6.31,4.78,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Depression,PHQ,Depression,Postintervention,D,passive,Randomized controlled trial,52.0,6.06,5.0,53.0,7.33,5.36,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,Baseline,U,passive,Randomized controlled trial,55.0,21.76,7.52,54.0,22.67,6.95,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,Postintervention,U,passive,Randomized controlled trial,52.0,23.43,7.11,53.0,21.27,7.65,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Mindfulness,MAAS,Mindfulness,Baseline,U,passive,Randomized controlled trial,55.0,4.03,1.02,54.0,4.15,1.0,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Mindfulness,MAAS,Mindfulness,Postintervention,U,passive,Randomized controlled trial,52.0,4.18,1.03,53.0,4.36,1.04,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Psychosomatic outcomes,PSQI,Sleep,Baseline,D,passive,Randomized controlled trial,55.0,6.18,3.22,54.0,5.02,2.53,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Psychosomatic outcomes,PSQI,Sleep,Postintervention,D,passive,Randomized controlled trial,52.0,5.58,2.66,53.0,6.02,3.41,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Relationship with self,SCS,Self-compassion,Baseline,U,passive,Randomized controlled trial,55.0,2.77,0.72,54.0,2.98,0.74,,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dvorakova 2017,Relationship with self,SCS,Self-compassion,Postintervention,U,passive,Randomized controlled trial,52.0,3.02,0.8,53.0,3.1,0.75,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,11,109,Some,High,Low,High,Some,N,NR
Dziok 2010,Anxiety,Spielberger Anxiety Scale State and Trait,Anxiety,1-6months,D,passive,Randomized controlled trial,23.0,36.7,9.3,6.0,46.5,12.4,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,12,52,Some,High,High,High,Some,NR,N
Dziok 2010,Anxiety,Spielberger Anxiety Scale State and Trait,Anxiety,Baseline,D,passive,Randomized controlled trial,39.0,40.0,11.0,13.0,39.3,13.5,,Mindfulness,Control,US,yes,1.universal,12,52,Some,High,High,High,Some,NR,N
Dziok 2010,Depression,CES-D,Depression,1-6months,D,passive,Randomized controlled trial,23.0,12.3,9.6,6.0,18.4,13.1,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,Mindfulness,Control,US,yes,1.universal,12,52,Some,High,High,High,Some,NR,N
Dziok 2010,Depression,CES-D,Depression,Baseline,D,passive,Randomized controlled trial,39.0,16.9,9.9,13.0,10.1,12.1,,Mindfulness,Control,US,yes,1.universal,12,52,Some,High,High,High,Some,NR,N
Esch 2017,Cognitive functioning,Attention Network Test (ANT),Attention,Baseline,D,passive,Randomized controlled trial,16.0,499.0,76.7,15.0,493.0,81.8,,Mindfulness,Control,Germany,no,1.universal,7.5,32,Low,High,Low,High,Some,N,Y
Esch 2017,Cognitive functioning,Attention Network Test (ANT),Attention,Postintervention,D,passive,Randomized controlled trial,16.0,474.0,60.9,15.0,467.0,47.4,,Mindfulness,Control,Germany,no,1.universal,7.5,32,Low,High,Low,High,Some,N,Y
Esch 2017,Mindfulness,Freiburg Mindfulness Inventory,Mindfulness (trait),Baseline,U,passive,Randomized controlled trial,16.0,37.0,4.5,15.0,37.9,6.42,,Mindfulness,Control,Germany,no,1.universal,7.5,32,Low,High,Low,High,Some,N,Y
Esch 2017,Mindfulness,Freiburg Mindfulness Inventory,Mindfulness (trait),Postintervention,U,passive,Randomized controlled trial,16.0,37.9,2.98,15.0,38.3,6.32,,Mindfulness,Control,Germany,no,1.universal,7.5,32,Low,High,Low,High,Some,N,Y
Flook 2013,Cognitive functioning,Rapid Visual Information Processing task,Attention,Baseline,U,passive,Randomized controlled trial,10.0,0.91,0.07,8.0,0.91,0.02,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Cognitive functioning,Rapid Visual Information Processing task,Attention,Postintervention,U,passive,Randomized controlled trial,10.0,0.94,0.05,8.0,0.94,0.04,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Distress,SCL-90-R,Psychological distress,Baseline,D,passive,Randomized controlled trial,10.0,53.3,7.47,8.0,53.88,4.16,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Distress,SCL-90-R,Psychological distress,Postintervention,D,passive,Randomized controlled trial,10.0,45.5,7.89,8.0,49.88,8.61,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,10.0,133.9,15.68536082,8.0,160.01,14.18894626,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,10.0,147.7,12.59878106,8.0,140.77,16.96601569,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Real life functioning,CLASS emotional support subscale,Classroom behaviour,Baseline,U,passive,Randomized controlled trial,10.0,4.92,0.57,8.0,5.38,0.49,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Real life functioning,CLASS emotional support subscale,Classroom behaviour,Postintervention,U,passive,Randomized controlled trial,10.0,5.25,0.76,8.0,5.05,0.7,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Relationship with self,SCS only shared humanity subscale reported,Self-compassion,Baseline,U,passive,Randomized controlled trial,10.0,3.35,1.02,8.0,3.38,0.81,,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Flook 2013,Relationship with self,SCS only shared humanity subscale reported,Self-compassion,Postintervention,U,passive,Randomized controlled trial,10.0,4.08,0.76,8.0,3.31,0.83,arm1.n=assumed-by-review-authors;arm2.n=assumed-by-review-authors,mMBSR Training,Waitlist control,US,yes,2.selective,26,18,Some,High,High,High,Some,NR,NR
Galante 2018,Distress,Clinical Outcomes in Routine Evaluation Measure,Psychological distress,1-6months,D,passive,Randomized controlled trial,263.0,0.89,0.52,243.0,1.1,0.56,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Distress,Clinical Outcomes in Routine Evaluation Measure,Psychological distress,6+months,D,passive,Randomized controlled trial,188.0,0.82,0.51,191.0,0.92,0.55,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Distress,Clinical Outcomes in Routine Evaluation Measure,Psychological distress,Baseline,D,passive,Randomized controlled trial,336.0,1.01,0.55,332.0,0.97,0.52,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Distress,Clinical Outcomes in Routine Evaluation Measure,Psychological distress,Postintervention,D,passive,Randomized controlled trial,280.0,0.89,0.55,254.0,1.03,0.55,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Mental wellbeing,WEMWBS,Wellbeing,1-6months,U,passive,Randomized controlled trial,261.0,48.71,9.21,241.0,46.44,9.03,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Mental wellbeing,WEMWBS,Wellbeing,6+months,U,passive,Randomized controlled trial,187.0,50.93,9.61,189.0,48.92,8.97,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Mental wellbeing,WEMWBS,Wellbeing,Baseline,U,passive,Randomized controlled trial,334.0,48.01,8.75,334.0,48.72,8.5,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Galante 2018,Mental wellbeing,WEMWBS,Wellbeing,Postintervention,U,passive,Randomized controlled trial,278.0,49.71,9.02,248.0,47.14,9.29,,Mindfulness,Control,UK,no,1.universal,11,670,Low,Some,Low,High,Low,N,N
Giannandrea 2018,Cognitive functioning,Sustained Attention to Response Task errors,Sustained attention,Baseline,D,passive,Randomized controlled trial,20.0,13.25,10.73,17.0,11.88,8.88,,Mindfulness,Control,Italy,no,1.universal,,60,Some,High,High,High,Some,N,Y
Giannandrea 2018,Cognitive functioning,Sustained Attention to Response Task errors,Sustained attention,Postintervention,D,passive,Randomized controlled trial,20.0,8.3,8.48,17.0,11.76,8.37,,Mindfulness,Control,Italy,no,1.universal,,60,Some,High,High,High,Some,N,Y
Giannandrea 2018,Mindfulness,FFMQ italian,Mindfulness,Baseline,U,passive,Randomized controlled trial,20.0,134.39,16.98,17.0,134.89,15.63,,Mindfulness,Control,Italy,no,1.universal,,60,Some,High,High,High,Some,N,Y
Giannandrea 2018,Mindfulness,FFMQ italian,Mindfulness,Postintervention,U,passive,Randomized controlled trial,20.0,147.65,14.53,17.0,139.89,13.99,,Mindfulness,Control,Italy,no,1.universal,,60,Some,High,High,High,Some,N,Y
Glass 2019,Anxiety,DASS-21,Anxiety,Baseline,D,passive,Randomized controlled trial,23.0,4.09,3.36,29.0,3.17,2.54,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Anxiety,DASS-21,Anxiety,Postintervention,D,passive,Randomized controlled trial,23.0,3.04,3.66,29.0,2.9,2.32,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Depression,DASS-21,Depression,Baseline,D,passive,Randomized controlled trial,23.0,2.48,2.76,29.0,2.0,2.24,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Depression,DASS-21,Depression,Postintervention,D,passive,Randomized controlled trial,23.0,1.91,2.59,29.0,3.24,2.9,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Distress,DASS-21,Stress,Baseline,D,passive,Randomized controlled trial,23.0,5.3,3.56,29.0,5.28,3.6,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Distress,DASS-21,Stress,Postintervention,D,passive,Randomized controlled trial,23.0,5.39,3.9,29.0,5.0,2.95,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,Baseline,U,passive,Randomized controlled trial,23.0,28.7,3.61,29.0,27.31,4.78,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,Postintervention,U,passive,Randomized controlled trial,23.0,28.22,4.02,29.0,27.21,4.39,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Mindfulness,FFMQ,Mindfulness,Baseline,U,passive,Randomized controlled trial,23.0,108.57,11.65,29.0,114.72,11.28,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Glass 2019,Mindfulness,FFMQ,Mindfulness,Postintervention,U,passive,Randomized controlled trial,23.0,105.87,15.13,29.0,111.48,13.22,,Mindfulness,Control,US,yes,1.universal,4.5,57,Some,High,High,High,Some,N,Y
Grandpierre 2013,Cognitive functioning,mind wandering task modified,Mind wandering,Baseline,D,passive,Randomized controlled trial,20.0,9.25,1.83,20.0,9.74,1.76,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
Grandpierre 2013,Cognitive functioning,mind wandering task modified,Mind wandering,Postintervention,D,passive,Randomized controlled trial,20.0,8.85,1.81,20.0,9.32,1.94,,Mindfulness,Control,Canada,no,2.selective,9,40,Some,High,High,High,Some,NR,Y
