Hyp #	Tokens invested (Non-teams)	Volume (Non-teams)	# Traders (Non-teams)	# Transactions (Non-teams)	Tokens invested (Teams)	Volume (Teams)	# Transactions (Teams)	# Traders (Teams)
1	8.56834532374101	20.174654676259	55	139	12.6431924882629	25.6708169014085	213	64
2	10.5102040816327	22.5438775510204	53	98	11.6315789473684	22.9078245614035	171	58
3	12.8181818181818	24.7086212121212	58	132	7.77304964539007	15.836829787234	141	52
4	11.1339285714286	20.3969107142857	49	112	8.1259842519685	15.4794803149606	127	52
5	6.87323943661972	14.6362816901408	38	71	14.4795081967213	30.7603401639344	244	76
6	6.80555555555556	12.6631944444444	35	72	8.09701492537313	16.6760820895522	134	46
7	7.98979591836735	15.2090306122449	41	98	7.13125	15.86420625	160	52
8	8.79120879120879	19.0722307692308	45	91	7.08510638297872	14.5983546099291	141	52
9	10.4274809160305	21.1177786259542	50	131	9.50561797752809	18.8123033707865	178	56
