income,n,mean,median,sd,iqr,p10,p15,p85,p90,skew,iqr_sd,p10_90_sd,L,se_mean,k21_mean,k21_se,k21_n,k21_sd,mean_diff,sd_ratio,n_diff
15000.0,1494,60.86548527443106,61.175,13.116754541248456,15.803999999999995,45.9867,48.761,73.984,77.1774,-0.44422774658197123,11.715522734037096,12.169116412055374,9.615805480084347,0.3393525310916973,60.863,0.339572336833776,1494,13.125250537893388,0.002485274431059281,0.9993526983259936,0
25000.0,2132,62.03271153846154,61.8785,13.091191667537625,16.655,47.006,49.269,75.42229999999999,78.686,-0.1639199329443814,12.346369978194629,12.360017823707523,10.126631103850338,0.28352122797935014,62.032,0.283709963465988,2132,13.09990626167102,0.0007115384615445919,0.9993347590464146,0
35000.0,2620,62.37601946564885,62.126000000000005,12.217035022083573,14.835,47.422,50.426,74.98,77.6935,-0.21536121528095492,10.997201958962313,11.810488622170524,10.46310334047155,0.23867952957090716,62.379,0.238427840237687,2620,12.204152068090144,-0.0029805343511455362,1.0010556205725356,0
45000.0,2647,62.66094182092936,62.2,12.116730149690687,15.63199999999999,48.261,50.692,75.026,78.2786,0.00472563669841398,11.588018943208544,11.711429009625087,10.714417768752456,0.23550951887253002,62.658,0.235686981684111,2647,12.125860434571852,0.00294182092935813,0.9992470402467165,0
55000.0,2709,62.834313399778516,62.825,12.774312229444995,15.510999999999996,47.7432,50.692,75.56519999999998,78.898,-0.2623634829030911,11.498321508962883,12.155109952463478,10.915088464214607,0.24543303872713723,62.83,0.245644448481494,2709,12.785315695907821,0.004313399778517635,0.999139366854559,0
65000.0,2377,63.01482414808582,62.949,12.499089462670108,15.722000000000001,48.682,51.19,75.46,78.8512,-0.25671959439479153,11.6547360430607,11.770576064614803,11.082142548877775,0.2563679824913995,63.015,0.256370616109618,2377,12.49921786337523,-0.00017585191417879287,0.9999897273008178,0
75000.0,2355,63.28733545647558,63.096,12.668661773094497,16.185000000000002,48.928,51.626,75.899,79.013,-0.19737455126641967,11.997958456744525,11.737725259666693,11.225243392518447,0.261056965679025,63.299,0.260196932694921,2355,12.626925798109196,-0.011664543524418036,1.003305315613049,0
85000.0,2069,63.550883035282745,63.304,12.190592261276839,14.967999999999996,49.1064,52.207,75.6664,79.23540000000001,-0.07035367991368098,11.095795006521595,11.75489195108851,11.350406535472453,0.2680060267826698,63.55,0.268227205461822,2069,12.20065285255085,0.0008830352827473575,0.9991754054970995,0
95000.0,2226,63.739698113207545,63.434,12.080051553746891,15.289750000000005,49.302499999999995,52.09425,76.05574999999999,79.257,-0.08052696583933638,11.334308638493027,11.686810413517899,11.461632170582678,0.2560390503449027,63.737,0.256297622247597,2226,12.092251106552174,0.002698113207543429,0.9989911264083267,0
112500.0,3710,63.91647008086253,63.545,11.73990789837966,14.956000000000003,49.93220000000001,52.659800000000004,76.044,79.2282,-0.11926791033322509,11.086899393207979,11.429895270307304,11.630708500626612,0.1927426097201526,63.916,0.192845030145198,3710,11.746146302843995,0.0004700808625344166,0.9994688977726401,0
137500.0,2856,64.19115791316526,63.79,12.295306356517676,15.455000000000005,49.729,52.323,76.51025,79.469,-0.1726330883473738,11.456808646832664,11.60312279283654,11.831379196088763,0.23007013788746555,64.187,0.230399252163306,2856,12.31289473580461,0.004157913165258265,0.9985715479857236,0
175000.0,3168,64.43803693181819,64.191,12.198169934829439,15.071999999999996,49.853,53.005,76.99784999999999,79.973,-0.096811345710789,11.172890321906298,11.751380582388588,12.072541252905651,0.2167215473610922,64.44,0.216498034125874,3168,12.185589494817481,-0.0019630681818085804,1.001032403070636,0
250000.0,1776,65.53660923423423,65.0,12.25603956362919,15.71,50.654,52.988,78.36725,81.08,-0.13597483946916034,11.64584042974708,11.870767118185762,12.429216196844383,0.2908229487019404,65.537,0.290926571685955,1776,12.26040650715085,-0.0003907657657720165,0.9996438173955233,0
400000.0,832,65.80700600961539,65.622,12.258749107125242,15.79925,50.991499999999995,53.29045,77.533,81.2555,-0.15436286673137478,11.712001553767125,11.807562481587262,12.89921982609012,0.424995658449889,65.81,0.424695591121095,832,12.250093842004775,-0.0029939903846099014,1.0007065468421792,0
625000.0,420,65.34111428571428,64.713,13.10731958735082,16.009499999999996,49.6628,52.5886,78.47425,81.8,-0.1210412689863511,11.867860112032833,12.538395353663299,13.345506928718539,0.6395717070727702,65.341,0.639239729028958,420,13.100516062010174,0.00011428571428950818,1.0005193326208253,0
