income,L,n_wellbeing,good,inspired,proud,interested,confident,bad,bored,upset,afraid,angry,sad,stressed,mean_coverage
15000.0,9.615805480084347,1494,0.5147255689424364,0.49866131191432395,0.4839357429718876,0.4959839357429719,0.31860776439089694,0.5087014725568942,0.4578313253012048,0.4819277108433735,0.501338688085676,0.4939759036144578,0.4799196787148594,0.48527443105756357,0.4767402945113788
25000.0,10.126631103850338,2132,0.551125703564728,0.4774859287054409,0.4831144465290807,0.4821763602251407,0.3330206378986867,0.551594746716698,0.4437148217636023,0.4821763602251407,0.48405253283302063,0.4821763602251407,0.474671669793621,0.4774859287054409,0.4768996247654785
35000.0,10.46310334047155,2620,0.5507633587786259,0.4988549618320611,0.4866412213740458,0.49732824427480915,0.3293893129770992,0.5484732824427481,0.4530534351145038,0.4935114503816794,0.49312977099236643,0.49274809160305344,0.48740458015267174,0.4912213740458015,0.48520992366412213
45000.0,10.714417768752456,2647,0.5406120136003022,0.4914998111069135,0.4862108046845485,0.47487721949376654,0.31356252361163583,0.5470343785417454,0.4416320362674726,0.4809217982621836,0.48129958443520965,0.47638836418587077,0.48129958443520965,0.4809217982621836,0.4746883264072535
55000.0,10.915088464214607,2709,0.5540789959394611,0.48468069398301955,0.4824658545588778,0.48431155407899595,0.3222591362126246,0.5581395348837209,0.45219638242894056,0.4835732742709487,0.47471391657438167,0.47988187523071246,0.47988187523071246,0.48615725359911405,0.47852836224929246
65000.0,11.082142548877775,2377,0.5544804375262936,0.4981068573832562,0.4943205721497686,0.5098864114429954,0.3302482120319731,0.5490113588557005,0.4354228018510728,0.5115692048801009,0.5048380311316786,0.5086243163651661,0.4943205721497686,0.5069415229280606,0.4914808582246529
75000.0,11.225243392518447,2355,0.5639065817409766,0.481104033970276,0.47006369426751593,0.4861995753715499,0.32993630573248406,0.5588110403397027,0.4335456475583864,0.4653927813163482,0.47303609341825903,0.47770700636942676,0.47176220806794056,0.4743099787685775,0.4738145789101203
85000.0,11.350406535472453,2069,0.5674238762687288,0.4983083615273079,0.485741904301595,0.485741904301595,0.31996133397776705,0.5664572257129048,0.4470758820686322,0.4934751087481875,0.4915418076365394,0.4934751087481875,0.4915418076365394,0.49782503624939584,0.48654744643144837
95000.0,11.461632170582678,2226,0.5849056603773585,0.46585804132973946,0.4636118598382749,0.4743935309973046,0.3265947888589398,0.5813117699910153,0.44878706199460916,0.4721473495058401,0.4779874213836478,0.47619047619047616,0.4609164420485175,0.4802336028751123,0.47607816711590306
112500.0,11.630708500626612,3710,0.5733153638814016,0.4919137466307278,0.493800539083558,0.4900269541778976,0.3293800539083558,0.5757412398921833,0.4520215633423181,0.4862533692722372,0.48706199460916444,0.48975741239892184,0.4876010781671159,0.48247978436657685,0.48661275831087153
137500.0,11.831379196088763,2856,0.5714285714285714,0.46603641456582634,0.46253501400560226,0.4677871148459384,0.3070728291316527,0.5700280112044818,0.4376750700280112,0.47093837535014005,0.46673669467787116,0.4688375350140056,0.46218487394957986,0.4726890756302521,0.46866246498599445
175000.0,12.072541252905651,3168,0.584280303030303,0.48484848484848486,0.4810606060606061,0.4753787878787879,0.31565656565656564,0.5858585858585859,0.4494949494949495,0.4744318181818182,0.47821969696969696,0.4722222222222222,0.48390151515151514,0.47821969696969696,0.48029776936026947
250000.0,12.429216196844383,1776,0.5850225225225225,0.4864864864864865,0.4724099099099099,0.4769144144144144,0.31644144144144143,0.5838963963963963,0.44819819819819817,0.47466216216216217,0.4752252252252252,0.46959459459459457,0.47184684684684686,0.4752252252252252,0.4779936186186186
400000.0,12.89921982609012,832,0.5637019230769231,0.4483173076923077,0.4423076923076923,0.453125,0.2824519230769231,0.5625,0.41346153846153844,0.45552884615384615,0.4543269230769231,0.4651442307692308,0.44711538461538464,0.4579326923076923,0.45382612179487186
625000.0,13.345506928718539,420,0.5547619047619048,0.3976190476190476,0.430952380952381,0.41904761904761906,0.27380952380952384,0.5547619047619048,0.4142857142857143,0.4357142857142857,0.4,0.4166666666666667,0.4261904761904762,0.4119047619047619,0.4279761904761905
