knot,n_above,n_income_pts_above,flat_bottom,boundary,slope_above_t15,p_above_t15,slope_above_t30,p_above_t30,nonconverged_fits
45000.0,27145,12,False,True,1.2833217897823488,1.8463897077936053e-11,1.448319160290339,0.0,0
55000.0,24498,11,False,True,1.1985357381136055,2.983111802024041e-08,1.3930531832884299,4.440892098500626e-16,0
65000.0,21789,10,False,True,0.9499135576384106,7.410082616310376e-05,1.3981484560390527,7.145395386487507e-13,0
75000.0,19412,9,False,True,0.7961441998922965,0.0025242480857723404,1.363543047971234,3.2609159816843203e-10,0
85000.0,17057,8,False,True,0.5884391164299814,0.04473794048277191,1.2829598578518926,1.0747201795169303e-07,0
95000.0,14988,7,True,True,0.5305441029108806,0.10301009539760164,1.263971192623103,2.1195176993504816e-06,0
112500.0,12762,6,True,True,0.33628483802021947,0.3565736729737554,1.2327749819614837,3.947420591798867e-05,0
137500.0,9052,5,True,True,0.5355017967569893,0.2453202091146225,1.2673956535054458,0.0007928689404079758,0
175000.0,6196,4,True,False,-2.743765548984811e-06,0.9999962525832438,1.316610483218028,0.006494388818897745,0
250000.0,3028,3,True,False,-0.03616830303053575,0.9701908996715531,0.3808485914546509,0.6323406421114495,0
