tau,printed_below,printed_t_below,printed_above,printed_t_above,split_below,split_t_below,split_se_below,split_above,split_t_above,split_se_above,interact_below,interact_above,interact_t_above,interact_se_above,interact_diff,interact_p,spline_below,spline_above,spline_t_above,spline_se_above,spline_diff,spline_p
0.05,2.34,4.7,0.25,0.5,2.335069940258324,4.859149822392135,0.48055113046684794,0.2230964666645951,0.4195371008669415,0.5317681468541953,2.335069940316316,0.2230964666600812,0.34907682005846413,0.6391042138596214,-2.111973473656235,0.005226408908184434,2.7368657861498735,0.856125543702505,1.638435532140882,0.5225262312175555,-1.8807402424473685,0.01200121357566555
0.1,1.75,6.6,0.52,1.4,1.7594816534377198,6.468448154646635,0.27200985636312003,0.5137607882338692,1.2729948961791535,0.40358432683108386,1.7594817213721399,0.5137607882606972,1.240305478350508,0.41422117150038845,-1.2457209331114427,0.01139713050929681,1.9282650862433233,0.7952333055138079,2.3811289311851027,0.3339732238346352,-1.1330317807295154,0.018190369523716686
0.15,1.9,8.4,0.34,1.0,1.895164402113466,8.10890950607636,0.2337138428654724,0.33628483805043047,0.9055723067721673,0.37135062052536494,1.8951644025655696,0.33628483802021947,0.9219135456871163,0.36476830131569576,-1.5588795645453501,0.0003183677785488031,2.048641836378515,0.6324289971005352,2.1452236273107976,0.29480795803714577,-1.4162128392779796,0.0008192349673819401
0.2,1.84,8.5,0.62,1.8,1.8415621950077297,8.558606726097848,0.215170792857234,0.588598116850402,1.7335746862375623,0.33952855998829623,1.8415621958374686,0.5885981168103172,1.7439454918839903,0.3375094689309656,-1.2529640790271515,0.0017434546068034267,1.974302362314119,0.7524948586733156,2.7649042675617066,0.2721594622648256,-1.2218075036408034,0.0017880422556635614
0.25,1.52,6.8,1.12,3.3,1.5299008416371616,7.314809089380381,0.2091511648415086,1.1196644049804463,3.709834661112608,0.30180978595004293,1.5299008415458957,1.1196644049432507,3.553678465242516,0.3150719503450745,-0.41023643660264497,0.2736238190321205,1.6009443010550752,1.2255133648996424,4.821996339006288,0.2541506211828014,-0.3754309361554328,0.3054784587730818
0.3,1.33,6.3,1.21,4.3,1.3218009219886437,6.758066338814331,0.195588627829384,1.232774981807335,4.233510992559533,0.29119446813152433,1.3217977166805213,1.2327749819614837,4.1105358063614545,0.2999061533665865,-0.08902273471903754,0.8030713301041588,1.3800737573403565,1.3345480418454754,5.519540870084482,0.24178606033676292,-0.045525715494881054,0.8961456147450519
0.35,1.26,6.8,1.21,4.1,1.2401841661446618,6.581055915981326,0.18844759594475094,1.2027030215394436,4.26647770990995,0.2818960049283437,1.2401834715751647,1.2027030215426748,4.192145756131768,0.2868943714047884,-0.0374804500324899,0.9126252045860708,1.3558875276496036,1.3610921428508662,5.882188838530598,0.2313921195346857,0.0052046152012625415,0.987562741338506
