generator,nsim,rate_flat_bottom,rate_boundary20,rate_accel_top,rate_kkm_pattern,rate_all_three,mean_slope_above_t15,mean_slope_above_t30,real_slope_above_t15,real_slope_above_t30
NULL-LOC,30,0.03333333333333333,1.0,0.03333333333333333,0.03333333333333333,0.0,1.302274950080899,1.3350697912978982,0.33628483802021947,1.2327749819614837
LS-LIN,30,0.0,1.0,0.0,0.0,0.0,1.465540421001352,1.3895633436430974,0.33628483802021947,1.2327749819614837
LS-QUAD,30,0.2,0.9333333333333333,0.26666666666666666,0.13333333333333333,0.0,1.0345219214047119,1.2209249641085345,0.33628483802021947,1.2327749819614837
LS-PIECE,30,0.1,0.8666666666666667,0.3,0.03333333333333333,0.0,1.004627191517371,1.113538699791377,0.33628483802021947,1.2327749819614837
