tau,below,above,diff,p,paper_p
0.15,1.8951644025655696,0.33628483802021947,-1.5588795645453501,0.0003183677785488031,0.0002
0.3,1.3217977166805213,1.2327749819614837,-0.08902273471903754,0.8030713301041588,
0.5,1.2388346663119592,1.4637287810855923,0.2248941147736332,0.5234184979604902,
0.7,1.173999877419078,1.9148917683095306,0.7408918908904525,0.06846610437880157,0.075
0.85,0.7836402812445158,1.9737740875480085,1.1901338063034927,0.014629241287238071,0.023
