generator,nsim,rate_flat_bottom,rate_boundary20,rate_accel_top,mean_slope_above_t15
LOCFIX (single dataset),1,1.0,1.0,0.0,0.3159699667617133
LS-SAT,60,0.43333333333333335,0.9166666666666666,0.5666666666666667,0.7656390188217851
