income,L,n,q05,D05,seD05,q10,D10,seD10,q15,D15,seD15,q20,D20,seD20,q30,D30,seD30,q50,D50,seD50,q70,D70,seD70,q85,D85,seD85,q90,D90,seD90,q95,D95,seD95,se_med
15000.0,9.615805480084347,1494,39.628,-21.546999999999997,0.9321587088006684,45.9867,-15.188299999999998,0.5652612766526315,48.761,-12.413999999999994,0.44644545425914745,51.004,-10.171,0.4175423242686648,54.935,-6.239999999999995,0.3883454526393599,61.175,0.0,0.0,67.1119,5.9369000000000085,0.3355907395518396,73.984,12.808999999999997,0.6637064499622644,77.1774,16.00240000000001,0.5564152691240539,81.83324999999999,20.658249999999995,0.6734730931369184,0.385804351395794
25000.0,10.126631103850338,2132,41.463,-20.4155,1.0320356327526679,47.006,-14.872500000000002,0.39621981848945176,49.269,-12.609500000000004,0.3836752571750787,51.364,-10.514500000000005,0.3480130668482232,55.733,-6.1455000000000055,0.32746511916874366,61.8785,0.0,0.0,68.172,6.2934999999999945,0.29429128429584755,75.42229999999999,13.54379999999999,0.4472927115508277,78.686,16.807500000000005,0.3878699539290063,83.40309999999998,21.524599999999978,0.7341553303912675,0.2893864719212412
35000.0,10.46310334047155,2620,43.104,-19.022000000000006,0.45362557318301244,47.422,-14.704000000000008,0.4442767456054778,50.426,-11.700000000000003,0.35979123615571235,53.172,-8.954000000000008,0.3029508022953122,56.895,-5.231000000000002,0.19293631590820237,62.126000000000005,0.0,0.0,68.148,6.021999999999991,0.23187328327206932,74.98,12.854,0.31382146815279577,77.6935,15.567499999999995,0.3298182202690822,82.13914999999996,20.013149999999953,0.5447902585054918,0.23480963582832687
45000.0,10.714417768752456,2647,43.456,-18.744,0.7691669380952407,48.261,-13.939,0.38860327051796545,50.692,-11.508000000000003,0.37219924217526923,53.062000000000005,-9.137999999999998,0.3018063016183692,56.447,-5.753,0.2258528351568182,62.2,0.0,0.0,68.5586,6.358599999999996,0.264204122298909,75.026,12.825999999999993,0.366079222463987,78.2786,16.078599999999994,0.596847720696463,83.10049999999998,20.90049999999998,0.48475114088090615,0.2591570569538112
55000.0,10.915088464214607,2709,42.425,-20.400000000000006,0.660690738271686,47.7432,-15.081800000000001,0.39563613293638444,50.692,-12.133000000000003,0.34807286966524154,53.309,-9.516000000000005,0.23091969374047827,56.895,-5.93,0.24880322848413822,62.825,0.0,0.0,69.0,6.174999999999997,0.22564150916500292,75.56519999999998,12.740199999999973,0.3859241906587439,78.898,16.072999999999993,0.47279863253043836,83.7884,20.963399999999993,0.507852949161925,0.208919189869689
65000.0,11.082142548877775,2377,43.73780000000001,-19.21119999999999,0.9073698850387767,48.682,-14.266999999999996,0.47350240237485175,51.19,-11.759,0.33744945641010704,53.3176,-9.6314,0.3136302317255986,57.004,-5.945,0.2731554564038653,62.949,0.0,0.0,69.212,6.263000000000005,0.2817960679834159,75.46,12.510999999999996,0.3871983800053742,78.8512,15.902200000000008,0.43894157458838157,83.27559999999998,20.326599999999985,0.5369465455617891,0.32084389663434376
75000.0,11.225243392518447,2355,43.399300000000004,-19.696699999999993,0.6278320275356297,48.928,-14.168,0.49511850799140206,51.626,-11.469999999999999,0.3576695696800025,53.637,-9.458999999999996,0.3126860805459828,57.045,-6.050999999999995,0.3022748718254779,63.096,0.0,0.0,69.257,6.1610000000000085,0.3467472159753726,75.899,12.803000000000004,0.36434635567664436,79.013,15.917000000000009,0.4991058034601076,84.30539999999995,21.209399999999953,0.6735840168154564,0.3136146850649062
85000.0,11.350406535472453,2069,44.253,-19.051000000000002,0.784613434571174,49.1064,-14.197600000000001,0.47115448173297775,52.207,-11.097000000000001,0.4201270738019953,54.38,-8.924,0.3105389200681556,57.5458,-5.758200000000002,0.22483556672269805,63.304,0.0,0.0,69.212,5.908000000000001,0.26506693252051017,75.6664,12.362399999999994,0.4170615172470332,79.23540000000001,15.93140000000001,0.4366391054078897,83.711,20.406999999999996,0.6520655033380865,0.2889546280496972
95000.0,11.461632170582678,2226,44.619,-18.814999999999998,0.6396090323092022,49.302499999999995,-14.131500000000003,0.3871225933102482,52.09425,-11.339749999999995,0.38154559725289566,54.571,-8.863,0.3188054447692478,57.707,-5.726999999999997,0.26921237530224923,63.434,0.0,0.0,69.4985,6.0645000000000095,0.2823647003072158,76.05574999999999,12.621749999999992,0.4993916336817818,79.257,15.823000000000008,0.38160902033214283,83.5595,20.125500000000002,0.5957336281853972,0.3302451829718259
112500.0,11.630708500626612,3710,45.586,-17.959000000000003,0.3588402388339556,49.93220000000001,-13.612799999999993,0.27425948815947016,52.659800000000004,-10.885199999999998,0.2643326315575372,54.763,-8.782000000000004,0.2379104860765259,58.036,-5.509,0.21181771967412094,63.545,0.0,0.0,69.443,5.897999999999996,0.21021678765086135,76.044,12.498999999999995,0.2908885320626639,79.2282,15.6832,0.3893900237091418,83.53509999999997,19.99009999999997,0.4164884552297188,0.22090388822569162
