tau,below,below_se,above,above_se,above_lo,above_hi,diff_below_minus_above,diff_se,diff_lo,diff_hi,p_above_eq_0
0.05,2.335069940258324,0.4932336377096934,0.2230964666645951,0.36747188050833507,-0.3102986253796179,1.0896627966262562,2.111973473593729,0.6049366804257175,0.7597333464931627,3.077938253105831,0.342
0.1,1.7594816534377198,0.2743638623189867,0.5137607882338692,0.33905159564017096,-1.4686318295475377e-06,1.23351498915924,1.2457208652038507,0.44051887340273,0.37764083061300996,2.139823640709202,0.072
0.15,1.895164402113466,0.237228001146644,0.33628483805043047,0.33747900944385006,-0.23796572981830721,1.0681942222157021,1.5588795640630355,0.4145952890938805,0.6709638469893111,2.258348948649069,0.238
0.2,1.8415621950077297,0.2358615249334297,0.588598116850402,0.34978124302235636,-0.018244217913440254,1.26156041399713,1.2529640781573277,0.42260052663886427,0.4413611344667654,2.0543404527211795,0.064
0.25,1.5299008416371616,0.22151098705988878,1.1196644049804463,0.3449528891216502,0.36953402024729715,1.7095267209616658,0.4102364366567153,0.41565204053026533,-0.3342075988753964,1.2301501842282867,0.004
0.3,1.3218009219886437,0.22264905939142796,1.232774981807335,0.2956335947360261,0.5907000947794419,1.721438408792436,0.08902594018130872,0.37630912968547964,-0.589059690091312,0.8632821153808579,0.0
0.35,1.2401841661446618,0.19202809462456424,1.2027030215394436,0.2562412205611718,0.663033308853486,1.6884151418621325,0.03748114460521812,0.3248576295459897,-0.5660897734696793,0.716407999577469,0.0
0.5,1.2388346663101246,0.18636040269994236,1.4637287811007411,0.301745243769859,0.8112023957667721,1.993740517370514,-0.2248941147906165,0.35390465689192063,-0.9182915363501127,0.4843774573367884,0.0
0.7,1.1739998774215519,0.2077178967591041,1.9148917682982511,0.3179831487267419,1.3133193764070115,2.580217270771102,-0.7408918908766993,0.38087588822061047,-1.5035571914167036,-0.032040921205088946,0.0
0.85,0.7836402811758684,0.30393021511890317,1.973774087474198,0.47819794000757515,0.8408024990224087,2.638732713332461,-1.1901338062983298,0.5740394009371929,-2.0967577457035698,0.13661920821205578,0.0
