tau,z,b_linear,c_curv,se_c,t_c,p_c,nonconverged,ls_fit
0.05,-1.6448536269514729,2.0820459237725872,-0.6308528111515658,0.20905944479545105,-3.017576229425118,0.0025499695176031934,False,-0.3692778065014838
0.1,-1.2815515655446004,1.5130713132368174,-0.33907117831845374,0.13290130728096636,-2.5513005496749863,0.01073659130217906,False,-0.28662064170815277
0.15,-1.0364333894937898,1.5588336473249056,-0.3370169168672557,0.11739633440174163,-2.870761839240663,0.004097412547395904,False,-0.23085224503786267
0.2,-0.8416212335729142,1.5509686861080716,-0.32307208105874397,0.10731411832695581,-3.0105272828541962,0.002609893641962241,False,-0.18652929125846718
0.25,-0.6744897501960817,1.4579366605197555,-0.11037638241255279,0.10081698404525619,-1.094819324916578,0.2736036961194811,False,-0.14850414350638408
0.3,-0.5244005127080409,1.3614442194298704,-0.03637185982555067,0.09599368481573203,-0.37889846499141605,0.7047656734586494,False,-0.11435638560841663
0.35,-0.38532046640756773,1.346958940199479,-0.0411667754815991,0.09178601138250661,-0.44850816438729163,0.6537894058186831,False,-0.08271339888270231
0.4,-0.2533471031357997,1.3206887604132607,0.015893736703328987,0.09054202828574712,0.175539879150586,0.8606565027106912,False,-0.05268729885441795
0.45,-0.12566134685507402,1.2721856391547355,0.012251245859850424,0.09334161379325291,0.13125170395046235,0.8955769866557464,False,-0.02363669958782818
0.5,0.0,1.2885471215974085,0.04383412787792197,0.0944561075080668,0.46406875144816256,0.6426015146646666,False,0.004953313402820082
0.55,0.12566134685507416,1.3538128070231275,0.07325850422662487,0.09503301982244867,0.7708742115476769,0.44078694903258364,False,0.033543326393468374
0.6,0.2533471031357997,1.3574681201463774,0.12586712466465083,0.09820662047598253,1.2816562066244095,0.19997217401569342,False,0.06259392566005811
0.65,0.38532046640756773,1.3184527792750145,0.15964923912958168,0.10143918957951234,1.5738418237701104,0.1155334972985823,False,0.09262002568834247
0.7,0.5244005127080407,1.351693585718303,0.16093785238903419,0.10924457424165075,1.4731885176561452,0.14070963731248123,False,0.12426301241405674
0.75,0.6744897501960817,1.3244683841411526,0.0697958253347222,0.11128710120098186,0.6271690481781227,0.5305527184354122,False,0.15841077031202422
0.8,0.8416212335729143,1.3295902875477161,0.032828999436208504,0.11987166510852124,0.2738678853462828,0.7841878462714647,False,0.19643591806410735
0.85,1.0364333894937898,1.224509386157248,0.2895109908458632,0.1306610013080907,2.2157414067508476,0.026715936098279016,False,0.2407588718435028
0.9,1.2815515655446004,1.1190621438545534,0.18314509881327107,0.14337690454868307,1.2773682022901036,0.20148116754793993,False,0.2965272685137929
0.95,1.6448536269514722,1.3495276897264044,0.2291016418752557,0.17648558606191522,1.2981323120341484,0.19425083967491255,False,0.37918443330712376
